celebrityid,sentiment_date,fullname,basic_negative_sentiment,percent_negative,signals
10039,8/5/2010,Yahya Abdul-Mateen II,365,0.846867749,1
10039,6/5/2012,Yahya Abdul-Mateen II,2495,0.873293665,1
10039,10/26/2013,Yahya Abdul-Mateen II,1472,0.725123153,1
10039,11/30/2013,Yahya Abdul-Mateen II,1957,0.74325864,1
10039,1/27/2014,Yahya Abdul-Mateen II,1150,0.67251462,1
10039,5/10/2014,Yahya Abdul-Mateen II,1504,0.809037117,1
10039,6/25/2014,Yahya Abdul-Mateen II,1558,0.792069141,1
10039,10/5/2015,Yahya Abdul-Mateen II,857,0.740069085,1
10039,11/20/2015,Yahya Abdul-Mateen II,1359,0.337807606,1
10039,12/14/2016,Yahya Abdul-Mateen II,6101,0.978037833,1
10039,6/12/2018,Yahya Abdul-Mateen II,6640,0.788224122,1
1021,10/22/2010,Liam Neeson,306,0.508305648,1
1021,7/27/2011,Liam Neeson,404,0.442497262,1
1021,5/11/2012,Liam Neeson,1155,0.266374539,1
1021,6/21/2012,Liam Neeson,2737,0.378980892,1
1021,2/24/2013,Liam Neeson,3288,0.278125529,1
1021,10/16/2013,Liam Neeson,1330,0.775058275,1
1021,7/12/2015,Liam Neeson,20094,0.982351503,1
1021,9/29/2015,Liam Neeson,1447,0.907210031,1
1021,2/4/2019,Liam Neeson,33884,0.879258894,1
10326,10/7/2010,Louis C.K.,278,0.761643836,1
10326,11/5/2011,Louis C.K.,636,0.795994994,1
10326,9/23/2012,Louis C.K.,1267,0.231415525,1
10326,11/3/2012,Louis C.K.,961,0.175749817,1
10326,9/20/2013,Louis C.K.,2770,0.623172103,1
10326,3/20/2014,Louis C.K.,698,0.546165884,1
10326,8/25/2014,Louis C.K.,609,0.238636364,1
10326,5/17/2015,Louis C.K.,5461,0.653698827,1
10326,2/28/2016,Louis C.K.,2432,0.23759281,1
10326,4/5/2017,Louis C.K.,4162,0.692858332,1
10326,11/9/2017,Louis C.K.,29499,0.831871634,1
10326,8/28/2018,Louis C.K.,9455,0.790882476,1
10326,12/22/2018,Louis C.K.,2130,0.837264151,1
10326,12/31/2018,Louis C.K.,23041,0.814486196,1
10372,7/1/2013,TY Dolla $ign,206,0.180543383,1
10372,8/25/2014,TY Dolla $ign,514,0.248189281,1
10372,10/14/2014,TY Dolla $ign,566,0.293873313,1
