"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
1039,"Jared Leto",2010-01-01,292,200,37
1039,"Jared Leto",2010-01-02,182,216,38
1039,"Jared Leto",2010-01-03,357,268,65
1039,"Jared Leto",2010-01-04,352,306,51
1039,"Jared Leto",2010-01-05,360,352,54
1039,"Jared Leto",2010-01-06,359,319,65
1039,"Jared Leto",2010-01-07,222,272,71
1039,"Jared Leto",2010-01-08,276,379,56
1039,"Jared Leto",2010-01-09,191,206,41
1039,"Jared Leto",2010-01-10,166,193,41
1039,"Jared Leto",2010-01-11,133,179,35
1039,"Jared Leto",2010-01-12,136,235,43
1039,"Jared Leto",2010-01-13,111,192,34
1039,"Jared Leto",2010-01-14,150,224,43
1039,"Jared Leto",2010-01-15,124,205,28
1039,"Jared Leto",2010-01-16,103,139,34
1039,"Jared Leto",2010-01-17,103,199,29
1039,"Jared Leto",2010-01-18,271,416,62
1039,"Jared Leto",2010-01-19,225,258,56
1039,"Jared Leto",2010-01-20,121,232,47
1039,"Jared Leto",2010-01-21,316,318,85
1039,"Jared Leto",2010-01-22,390,433,95
1039,"Jared Leto",2010-01-23,144,198,29
1039,"Jared Leto",2010-01-24,106,183,32
1039,"Jared Leto",2010-01-25,226,280,53
1039,"Jared Leto",2010-01-26,201,266,118
1039,"Jared Leto",2010-01-27,186,234,69
1039,"Jared Leto",2010-01-28,177,269,52
1039,"Jared Leto",2010-01-29,351,615,111
1039,"Jared Leto",2010-01-30,172,292,54
1039,"Jared Leto",2010-01-31,77,134,33
1039,"Jared Leto",2010-02-01,162,207,44
1039,"Jared Leto",2010-02-02,176,262,55
1039,"Jared Leto",2010-02-03,219,337,56
1039,"Jared Leto",2010-02-04,236,366,72
1039,"Jared Leto",2010-02-05,283,498,134
1039,"Jared Leto",2010-02-06,160,214,55
1039,"Jared Leto",2010-02-07,133,216,38
1039,"Jared Leto",2010-02-08,112,211,30
1039,"Jared Leto",2010-02-09,183,268,33
1039,"Jared Leto",2010-02-10,259,355,59
1039,"Jared Leto",2010-02-11,303,421,71
1039,"Jared Leto",2010-02-12,216,360,41
1039,"Jared Leto",2010-02-13,217,347,47
1039,"Jared Leto",2010-02-14,147,284,41
1039,"Jared Leto",2010-02-15,226,390,62
1039,"Jared Leto",2010-02-16,316,451,75
1039,"Jared Leto",2010-02-17,299,503,105
1039,"Jared Leto",2010-02-18,279,376,100
1039,"Jared Leto",2010-02-19,293,342,81
1039,"Jared Leto",2010-02-20,327,289,61
1039,"Jared Leto",2010-02-21,345,363,71
1039,"Jared Leto",2010-02-22,427,431,98
1039,"Jared Leto",2010-02-23,247,323,69
1039,"Jared Leto",2010-02-24,302,456,97
1039,"Jared Leto",2010-02-25,478,596,99
1039,"Jared Leto",2010-02-26,207,322,42
1039,"Jared Leto",2010-02-27,216,301,42
1039,"Jared Leto",2010-02-28,389,550,83
1039,"Jared Leto",2010-03-01,299,419,50
1039,"Jared Leto",2010-03-02,204,246,61
1039,"Jared Leto",2010-03-03,319,353,73
1039,"Jared Leto",2010-03-04,226,275,56
1039,"Jared Leto",2010-03-05,236,417,65
1039,"Jared Leto",2010-03-06,224,313,51
1039,"Jared Leto",2010-03-07,391,461,52
1039,"Jared Leto",2010-03-08,312,377,62
1039,"Jared Leto",2010-03-09,233,218,39
1039,"Jared Leto",2010-03-10,198,234,34
1039,"Jared Leto",2010-03-11,211,265,46
1039,"Jared Leto",2010-03-12,213,302,36
1039,"Jared Leto",2010-03-13,276,328,43
1039,"Jared Leto",2010-03-14,161,206,25
1039,"Jared Leto",2010-03-15,252,263,39
1039,"Jared Leto",2010-03-16,174,237,32
1039,"Jared Leto",2010-03-17,185,211,35
1039,"Jared Leto",2010-03-18,230,235,46
1039,"Jared Leto",2010-03-19,165,266,31
1039,"Jared Leto",2010-03-20,594,613,105
1039,"Jared Leto",2010-03-21,391,404,67
1039,"Jared Leto",2010-03-22,203,278,34
1039,"Jared Leto",2010-03-23,181,258,32
1039,"Jared Leto",2010-03-24,344,372,54
1039,"Jared Leto",2010-03-25,445,488,67
1039,"Jared Leto",2010-03-26,246,429,63
1039,"Jared Leto",2010-03-27,205,308,30
1039,"Jared Leto",2010-03-28,254,344,61
1039,"Jared Leto",2010-03-29,805,903,149
1039,"Jared Leto",2010-03-30,682,720,152
1039,"Jared Leto",2010-03-31,306,320,66
1039,"Jared Leto",2010-04-01,505,763,95
1039,"Jared Leto",2010-04-02,269,416,61
1039,"Jared Leto",2010-04-03,219,257,41
1039,"Jared Leto",2010-04-04,320,332,58
1039,"Jared Leto",2010-04-05,286,444,65
1039,"Jared Leto",2010-04-06,264,342,68
1039,"Jared Leto",2010-04-07,420,520,87
1039,"Jared Leto",2010-04-08,238,375,54
1039,"Jared Leto",2010-04-09,500,648,92
1039,"Jared Leto",2010-04-10,712,825,155
1039,"Jared Leto",2010-04-11,440,611,77
1039,"Jared Leto",2010-04-12,416,657,94
1039,"Jared Leto",2010-04-13,454,512,102
1039,"Jared Leto",2010-04-14,349,447,51
1039,"Jared Leto",2010-04-15,372,475,82
1039,"Jared Leto",2010-04-16,499,602,88
1039,"Jared Leto",2010-04-17,482,546,99
1039,"Jared Leto",2010-04-18,684,751,93
1039,"Jared Leto",2010-04-19,580,744,87
1039,"Jared Leto",2010-04-20,485,625,100
1039,"Jared Leto",2010-04-21,345,383,63
1039,"Jared Leto",2010-04-22,489,362,64
1039,"Jared Leto",2010-04-23,495,542,120
1039,"Jared Leto",2010-04-24,803,598,154
1039,"Jared Leto",2010-04-25,589,551,137
1039,"Jared Leto",2010-04-26,555,540,139
1039,"Jared Leto",2010-04-27,322,372,64
1039,"Jared Leto",2010-04-28,444,569,196
