"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
14847,"JuJu Smith-Schuster",2010-01-01,33,109,49
14847,"JuJu Smith-Schuster",2010-01-02,32,104,48
14847,"JuJu Smith-Schuster",2010-01-03,31,93,59
14847,"JuJu Smith-Schuster",2010-01-04,58,206,63
14847,"JuJu Smith-Schuster",2010-01-05,42,236,80
14847,"JuJu Smith-Schuster",2010-01-06,45,192,71
14847,"JuJu Smith-Schuster",2010-01-07,52,162,75
14847,"JuJu Smith-Schuster",2010-01-08,28,151,40
14847,"JuJu Smith-Schuster",2010-01-09,32,79,40
14847,"JuJu Smith-Schuster",2010-01-10,33,125,52
14847,"JuJu Smith-Schuster",2010-01-11,52,145,57
14847,"JuJu Smith-Schuster",2010-01-12,40,164,124
14847,"JuJu Smith-Schuster",2010-01-13,36,199,78
14847,"JuJu Smith-Schuster",2010-01-14,33,279,97
14847,"JuJu Smith-Schuster",2010-01-15,63,175,85
14847,"JuJu Smith-Schuster",2010-01-16,65,145,48
14847,"JuJu Smith-Schuster",2010-01-17,40,106,78
14847,"JuJu Smith-Schuster",2010-01-18,78,136,55
14847,"JuJu Smith-Schuster",2010-01-19,37,200,88
14847,"JuJu Smith-Schuster",2010-01-20,34,167,59
14847,"JuJu Smith-Schuster",2010-01-21,45,166,105
14847,"JuJu Smith-Schuster",2010-01-22,58,194,56
14847,"JuJu Smith-Schuster",2010-01-23,33,128,49
14847,"JuJu Smith-Schuster",2010-01-24,42,117,87
14847,"JuJu Smith-Schuster",2010-01-25,66,269,103
14847,"JuJu Smith-Schuster",2010-01-26,52,262,61
14847,"JuJu Smith-Schuster",2010-01-27,76,729,97
14847,"JuJu Smith-Schuster",2010-01-28,77,489,103
14847,"JuJu Smith-Schuster",2010-01-29,55,215,76
14847,"JuJu Smith-Schuster",2010-01-30,46,177,50
14847,"JuJu Smith-Schuster",2010-01-31,36,230,57
14847,"JuJu Smith-Schuster",2010-02-01,70,274,73
14847,"JuJu Smith-Schuster",2010-02-02,39,222,88
14847,"JuJu Smith-Schuster",2010-02-03,92,230,175
14847,"JuJu Smith-Schuster",2010-02-04,66,203,120
14847,"JuJu Smith-Schuster",2010-02-05,52,249,69
14847,"JuJu Smith-Schuster",2010-02-06,45,136,44
14847,"JuJu Smith-Schuster",2010-02-07,31,158,41
14847,"JuJu Smith-Schuster",2010-02-08,52,199,69
14847,"JuJu Smith-Schuster",2010-02-09,61,157,47
14847,"JuJu Smith-Schuster",2010-02-10,61,218,83
14847,"JuJu Smith-Schuster",2010-02-11,47,213,73
14847,"JuJu Smith-Schuster",2010-02-12,59,170,53
14847,"JuJu Smith-Schuster",2010-02-13,29,98,27
14847,"JuJu Smith-Schuster",2010-02-14,31,112,58
14847,"JuJu Smith-Schuster",2010-02-15,49,182,43
14847,"JuJu Smith-Schuster",2010-02-16,57,212,72
14847,"JuJu Smith-Schuster",2010-02-17,53,221,72
14847,"JuJu Smith-Schuster",2010-02-18,68,297,84
14847,"JuJu Smith-Schuster",2010-02-19,47,296,101
14847,"JuJu Smith-Schuster",2010-02-20,48,129,35
14847,"JuJu Smith-Schuster",2010-02-21,50,100,57
14847,"JuJu Smith-Schuster",2010-02-22,111,257,72
14847,"JuJu Smith-Schuster",2010-02-23,66,225,75
14847,"JuJu Smith-Schuster",2010-02-24,47,349,206
14847,"JuJu Smith-Schuster",2010-02-25,51,254,167
14847,"JuJu Smith-Schuster",2010-02-26,42,203,72
14847,"JuJu Smith-Schuster",2010-02-27,51,148,49
14847,"JuJu Smith-Schuster",2010-02-28,46,122,51
14847,"JuJu Smith-Schuster",2010-03-01,63,208,59
14847,"JuJu Smith-Schuster",2010-03-02,44,209,48
14847,"JuJu Smith-Schuster",2010-03-03,39,166,47
14847,"JuJu Smith-Schuster",2010-03-04,36,179,48
14847,"JuJu Smith-Schuster",2010-03-05,50,405,62
14847,"JuJu Smith-Schuster",2010-03-06,34,137,44
14847,"JuJu Smith-Schuster",2010-03-07,34,128,43
14847,"JuJu Smith-Schuster",2010-03-08,58,230,48
14847,"JuJu Smith-Schuster",2010-03-09,46,252,56
14847,"JuJu Smith-Schuster",2010-03-10,78,262,115
14847,"JuJu Smith-Schuster",2010-03-11,55,241,86
14847,"JuJu Smith-Schuster",2010-03-12,59,255,67
14847,"JuJu Smith-Schuster",2010-03-13,32,114,56
14847,"JuJu Smith-Schuster",2010-03-14,51,124,34
14847,"JuJu Smith-Schuster",2010-03-15,77,183,50
14847,"JuJu Smith-Schuster",2010-03-16,58,216,128
14847,"JuJu Smith-Schuster",2010-03-17,38,165,51
14847,"JuJu Smith-Schuster",2010-03-18,64,192,58
14847,"JuJu Smith-Schuster",2010-03-19,33,144,44
14847,"JuJu Smith-Schuster",2010-03-20,45,84,46
14847,"JuJu Smith-Schuster",2010-03-21,34,122,52
14847,"JuJu Smith-Schuster",2010-03-22,46,140,57
14847,"JuJu Smith-Schuster",2010-03-23,50,266,93
14847,"JuJu Smith-Schuster",2010-03-24,67,406,115
14847,"JuJu Smith-Schuster",2010-03-25,82,393,162
14847,"JuJu Smith-Schuster",2010-03-26,46,194,114
14847,"JuJu Smith-Schuster",2010-03-27,31,120,33
14847,"JuJu Smith-Schuster",2010-03-28,40,202,36
14847,"JuJu Smith-Schuster",2010-03-29,58,541,86
14847,"JuJu Smith-Schuster",2010-03-30,32,169,43
14847,"JuJu Smith-Schuster",2010-03-31,59,377,51
14847,"JuJu Smith-Schuster",2010-04-01,44,455,65
14847,"JuJu Smith-Schuster",2010-04-02,33,193,39
14847,"JuJu Smith-Schuster",2010-04-03,45,132,29
14847,"JuJu Smith-Schuster",2010-04-04,26,96,27
14847,"JuJu Smith-Schuster",2010-04-05,41,158,50
14847,"JuJu Smith-Schuster",2010-04-06,66,210,64
14847,"JuJu Smith-Schuster",2010-04-07,157,305,109
14847,"JuJu Smith-Schuster",2010-04-08,92,246,127
14847,"JuJu Smith-Schuster",2010-04-09,124,225,134
14847,"JuJu Smith-Schuster",2010-04-10,72,160,69
14847,"JuJu Smith-Schuster",2010-04-11,61,137,93
14847,"JuJu Smith-Schuster",2010-04-12,99,272,126
14847,"JuJu Smith-Schuster",2010-04-13,121,329,163
14847,"JuJu Smith-Schuster",2010-04-14,94,359,148
14847,"JuJu Smith-Schuster",2010-04-15,102,277,136
14847,"JuJu Smith-Schuster",2010-04-16,76,345,112
14847,"JuJu Smith-Schuster",2010-04-17,78,270,92
14847,"JuJu Smith-Schuster",2010-04-18,91,238,157
14847,"JuJu Smith-Schuster",2010-04-19,107,358,125
14847,"JuJu Smith-Schuster",2010-04-20,198,401,156
14847,"JuJu Smith-Schuster",2010-04-21,278,591,242
14847,"JuJu Smith-Schuster",2010-04-22,190,477,168
14847,"JuJu Smith-Schuster",2010-04-23,140,345,130
14847,"JuJu Smith-Schuster",2010-04-24,111,334,97
14847,"JuJu Smith-Schuster",2010-04-25,138,299,134
14847,"JuJu Smith-Schuster",2010-04-26,196,396,180
14847,"JuJu Smith-Schuster",2010-04-27,163,425,132
14847,"JuJu Smith-Schuster",2010-04-28,145,396,172
14847,"JuJu Smith-Schuster",2010-04-29,135,416,139
14847,"JuJu Smith-Schuster",2010-04-30,139,385,121
14847,"JuJu Smith-Schuster",2010-05-01,139,361,140
14847,"JuJu Smith-Schuster",2010-05-02,168,308,147
14847,"JuJu Smith-Schuster",2010-05-03,189,418,132
14847,"JuJu Smith-Schuster",2010-05-04,191,479,143
14847,"JuJu Smith-Schuster",2010-05-05,222,505,319
14847,"JuJu Smith-Schuster",2010-05-06,137,447,172
14847,"JuJu Smith-Schuster",2010-05-07,179,512,296
14847,"JuJu Smith-Schuster",2010-05-08,153,296,151
14847,"JuJu Smith-Schuster",2010-05-09,120,318,143
14847,"JuJu Smith-Schuster",2010-05-10,161,333,172
14847,"JuJu Smith-Schuster",2010-05-11,143,345,137
14847,"JuJu Smith-Schuster",2010-05-12,155,390,186
14847,"JuJu Smith-Schuster",2010-05-13,130,488,167
14847,"JuJu Smith-Schuster",2010-05-14,126,323,165
14847,"JuJu Smith-Schuster",2010-05-15,101,249,111
14847,"JuJu Smith-Schuster",2010-05-16,123,225,139
14847,"JuJu Smith-Schuster",2010-05-17,156,319,153
14847,"JuJu Smith-Schuster",2010-05-18,136,334,169
14847,"JuJu Smith-Schuster",2010-05-19,173,343,186
14847,"JuJu Smith-Schuster",2010-05-20,164,442,175
14847,"JuJu Smith-Schuster",2010-05-21,154,346,161
14847,"JuJu Smith-Schuster",2010-05-22,97,219,139
14847,"JuJu Smith-Schuster",2010-05-23,91,238,103
14847,"JuJu Smith-Schuster",2010-05-24,107,277,190
14847,"JuJu Smith-Schuster",2010-05-25,161,338,178
14847,"JuJu Smith-Schuster",2010-05-26,132,359,174
14847,"JuJu Smith-Schuster",2010-05-27,125,348,156
14847,"JuJu Smith-Schuster",2010-05-28,145,375,191
14847,"JuJu Smith-Schuster",2010-05-29,127,257,146
14847,"JuJu Smith-Schuster",2010-05-30,121,328,128
14847,"JuJu Smith-Schuster",2010-05-31,142,317,157
14847,"JuJu Smith-Schuster",2010-06-01,157,385,177
14847,"JuJu Smith-Schuster",2010-06-02,183,754,288
14847,"JuJu Smith-Schuster",2010-06-03,185,1230,364
14847,"JuJu Smith-Schuster",2010-06-04,155,560,216
14847,"JuJu Smith-Schuster",2010-06-05,116,388,171
14847,"JuJu Smith-Schuster",2010-06-06,130,407,146
14847,"JuJu Smith-Schuster",2010-06-07,165,677,190
14847,"JuJu Smith-Schuster",2010-06-08,262,606,209
14847,"JuJu Smith-Schuster",2010-06-09,208,555,174
14847,"JuJu Smith-Schuster",2010-06-10,257,1104,324
14847,"JuJu Smith-Schuster",2010-06-11,159,489,175
14847,"JuJu Smith-Schuster",2010-06-12,110,473,133
14847,"JuJu Smith-Schuster",2010-06-13,133,521,168
14847,"JuJu Smith-Schuster",2010-06-14,148,503,158
14847,"JuJu Smith-Schuster",2010-06-15,172,683,159
14847,"JuJu Smith-Schuster",2010-06-16,200,662,182
14847,"JuJu Smith-Schuster",2010-06-17,156,443,189
14847,"JuJu Smith-Schuster",2010-06-18,162,526,176
14847,"JuJu Smith-Schuster",2010-06-19,174,461,157
14847,"JuJu Smith-Schuster",2010-06-20,136,363,141
14847,"JuJu Smith-Schuster",2010-06-21,162,448,227
14847,"JuJu Smith-Schuster",2010-06-22,148,473,198
14847,"JuJu Smith-Schuster",2010-06-23,150,418,184
14847,"JuJu Smith-Schuster",2010-06-24,118,484,200
14847,"JuJu Smith-Schuster",2010-06-25,130,408,190
14847,"JuJu Smith-Schuster",2010-06-26,112,285,142
14847,"JuJu Smith-Schuster",2010-06-27,102,348,150
14847,"JuJu Smith-Schuster",2010-06-28,148,421,189
14847,"JuJu Smith-Schuster",2010-06-29,106,345,143
14847,"JuJu Smith-Schuster",2010-06-30,148,416,136
14847,"JuJu Smith-Schuster",2010-07-01,128,518,178
14847,"JuJu Smith-Schuster",2010-07-02,129,440,150
14847,"JuJu Smith-Schuster",2010-07-03,245,612,311
14847,"JuJu Smith-Schuster",2010-07-04,173,479,139
14847,"JuJu Smith-Schuster",2010-07-05,284,728,288
14847,"JuJu Smith-Schuster",2010-07-06,202,457,251
14847,"JuJu Smith-Schuster",2010-07-07,148,527,218
14847,"JuJu Smith-Schuster",2010-07-08,137,447,174
14847,"JuJu Smith-Schuster",2010-07-09,131,464,124
14847,"JuJu Smith-Schuster",2010-07-10,97,263,98
14847,"JuJu Smith-Schuster",2010-07-11,103,330,94
14847,"JuJu Smith-Schuster",2010-07-12,164,459,148
14847,"JuJu Smith-Schuster",2010-07-13,147,491,122
14847,"JuJu Smith-Schuster",2010-07-14,130,462,129
14847,"JuJu Smith-Schuster",2010-07-15,158,643,163
14847,"JuJu Smith-Schuster",2010-07-16,138,519,142
14847,"JuJu Smith-Schuster",2010-07-17,133,472,107
14847,"JuJu Smith-Schuster",2010-07-18,134,405,128
14847,"JuJu Smith-Schuster",2010-07-19,134,568,136
14847,"JuJu Smith-Schuster",2010-07-20,132,432,164
14847,"JuJu Smith-Schuster",2010-07-21,140,536,178
14847,"JuJu Smith-Schuster",2010-07-22,156,582,166
14847,"JuJu Smith-Schuster",2010-07-23,163,580,134
14847,"JuJu Smith-Schuster",2010-07-24,107,397,93
14847,"JuJu Smith-Schuster",2010-07-25,162,555,167
14847,"JuJu Smith-Schuster",2010-07-26,223,873,207
14847,"JuJu Smith-Schuster",2010-07-27,208,513,190
14847,"JuJu Smith-Schuster",2010-07-28,199,644,183
14847,"JuJu Smith-Schuster",2010-07-29,181,735,163
14847,"JuJu Smith-Schuster",2010-07-30,168,811,170
14847,"JuJu Smith-Schuster",2010-07-31,133,469,121
14847,"JuJu Smith-Schuster",2010-08-01,131,463,109
14847,"JuJu Smith-Schuster",2010-08-02,171,550,259
14847,"JuJu Smith-Schuster",2010-08-03,144,571,176
14847,"JuJu Smith-Schuster",2010-08-04,138,618,158
14847,"JuJu Smith-Schuster",2010-08-05,139,527,139
14847,"JuJu Smith-Schuster",2010-08-06,165,493,269
14847,"JuJu Smith-Schuster",2010-08-07,153,339,114
14847,"JuJu Smith-Schuster",2010-08-08,152,389,93
14847,"JuJu Smith-Schuster",2010-08-09,171,485,129
14847,"JuJu Smith-Schuster",2010-08-10,154,543,195
14847,"JuJu Smith-Schuster",2010-08-11,134,527,128
14847,"JuJu Smith-Schuster",2010-08-12,152,622,169
14847,"JuJu Smith-Schuster",2010-08-13,203,607,295
14847,"JuJu Smith-Schuster",2010-08-14,203,602,188
14847,"JuJu Smith-Schuster",2010-08-15,168,606,250
14847,"JuJu Smith-Schuster",2010-08-16,227,864,322
14847,"JuJu Smith-Schuster",2010-08-17,266,844,309
14847,"JuJu Smith-Schuster",2010-08-18,230,681,333
14847,"JuJu Smith-Schuster",2010-08-19,172,541,186
14847,"JuJu Smith-Schuster",2010-08-20,264,496,154
14847,"JuJu Smith-Schuster",2010-08-21,161,672,141
14847,"JuJu Smith-Schuster",2010-08-22,214,573,138
14847,"JuJu Smith-Schuster",2010-08-23,217,776,269
14847,"JuJu Smith-Schuster",2010-08-24,529,849,432
14847,"JuJu Smith-Schuster",2010-08-25,227,558,331
14847,"JuJu Smith-Schuster",2010-08-26,218,623,414
14847,"JuJu Smith-Schuster",2010-08-27,296,756,424
14847,"JuJu Smith-Schuster",2010-08-28,248,723,424
14847,"JuJu Smith-Schuster",2010-08-29,179,520,222
14847,"JuJu Smith-Schuster",2010-08-30,141,616,240
14847,"JuJu Smith-Schuster",2010-08-31,169,538,186
14847,"JuJu Smith-Schuster",2010-09-01,170,561,210
14847,"JuJu Smith-Schuster",2010-09-02,214,525,205
14847,"JuJu Smith-Schuster",2010-09-03,187,517,250
