"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
14912,"Antonio Brown",2010-01-01,3,8,2
14912,"Antonio Brown",2010-01-02,1,1,1
14912,"Antonio Brown",2010-01-03,2,1,0
14912,"Antonio Brown",2010-01-04,0,12,0
14912,"Antonio Brown",2010-01-05,3,8,0
14912,"Antonio Brown",2010-01-06,15,39,1
14912,"Antonio Brown",2010-01-07,7,86,1
14912,"Antonio Brown",2010-01-08,1,23,2
14912,"Antonio Brown",2010-01-09,1,6,0
14912,"Antonio Brown",2010-01-10,5,10,1
14912,"Antonio Brown",2010-01-11,2,12,0
14912,"Antonio Brown",2010-01-12,2,2,2
14912,"Antonio Brown",2010-01-13,3,11,0
14912,"Antonio Brown",2010-01-14,1,3,0
14912,"Antonio Brown",2010-01-15,4,9,0
14912,"Antonio Brown",2010-01-16,0,6,1
14912,"Antonio Brown",2010-01-17,1,4,0
14912,"Antonio Brown",2010-01-18,8,7,1
14912,"Antonio Brown",2010-01-19,12,14,2
14912,"Antonio Brown",2010-01-20,8,7,1
14912,"Antonio Brown",2010-01-21,0,6,0
14912,"Antonio Brown",2010-01-22,0,3,2
14912,"Antonio Brown",2010-01-23,0,0,0
14912,"Antonio Brown",2010-01-24,5,4,0
14912,"Antonio Brown",2010-01-25,1,2,0
14912,"Antonio Brown",2010-01-26,0,2,0
14912,"Antonio Brown",2010-01-27,1,3,0
14912,"Antonio Brown",2010-01-28,0,1,0
14912,"Antonio Brown",2010-01-29,1,2,0
14912,"Antonio Brown",2010-01-30,0,2,0
14912,"Antonio Brown",2010-01-31,2,5,0
14912,"Antonio Brown",2010-02-01,1,4,0
14912,"Antonio Brown",2010-02-02,0,6,1
14912,"Antonio Brown",2010-02-03,4,4,0
14912,"Antonio Brown",2010-02-04,2,5,0
14912,"Antonio Brown",2010-02-05,0,0,0
14912,"Antonio Brown",2010-02-06,0,5,1
14912,"Antonio Brown",2010-02-07,1,6,0
14912,"Antonio Brown",2010-02-08,0,2,0
14912,"Antonio Brown",2010-02-09,3,3,0
14912,"Antonio Brown",2010-02-10,1,24,0
14912,"Antonio Brown",2010-02-11,0,3,0
14912,"Antonio Brown",2010-02-12,1,7,1
14912,"Antonio Brown",2010-02-13,1,0,0
14912,"Antonio Brown",2010-02-14,0,3,1
14912,"Antonio Brown",2010-02-15,0,2,2
14912,"Antonio Brown",2010-02-16,0,4,0
14912,"Antonio Brown",2010-02-17,0,0,0
14912,"Antonio Brown",2010-02-18,1,0,0
14912,"Antonio Brown",2010-02-19,0,2,0
14912,"Antonio Brown",2010-02-20,0,5,0
14912,"Antonio Brown",2010-02-21,4,1,0
14912,"Antonio Brown",2010-02-22,3,1,0
14912,"Antonio Brown",2010-02-23,1,5,2
14912,"Antonio Brown",2010-02-24,0,5,0
14912,"Antonio Brown",2010-02-25,2,4,0
14912,"Antonio Brown",2010-02-26,0,4,0
14912,"Antonio Brown",2010-02-27,1,11,1
14912,"Antonio Brown",2010-02-28,4,8,2
14912,"Antonio Brown",2010-03-01,1,7,0
14912,"Antonio Brown",2010-03-02,0,7,0
14912,"Antonio Brown",2010-03-03,0,10,0
14912,"Antonio Brown",2010-03-04,1,3,0
14912,"Antonio Brown",2010-03-05,0,1,0
14912,"Antonio Brown",2010-03-06,0,4,0
14912,"Antonio Brown",2010-03-07,1,1,0
14912,"Antonio Brown",2010-03-08,3,5,0
14912,"Antonio Brown",2010-03-09,1,9,0
14912,"Antonio Brown",2010-03-10,2,2,0
14912,"Antonio Brown",2010-03-11,6,6,0
14912,"Antonio Brown",2010-03-12,0,7,1
14912,"Antonio Brown",2010-03-13,1,7,3
14912,"Antonio Brown",2010-03-14,2,7,0
14912,"Antonio Brown",2010-03-15,0,5,2
14912,"Antonio Brown",2010-03-16,2,5,1
14912,"Antonio Brown",2010-03-17,0,3,0
14912,"Antonio Brown",2010-03-18,1,5,0
14912,"Antonio Brown",2010-03-19,0,8,0
14912,"Antonio Brown",2010-03-20,0,2,0
14912,"Antonio Brown",2010-03-21,0,7,3
14912,"Antonio Brown",2010-03-22,1,2,1
14912,"Antonio Brown",2010-03-23,0,5,0
14912,"Antonio Brown",2010-03-24,1,24,5
14912,"Antonio Brown",2010-03-25,0,5,0
14912,"Antonio Brown",2010-03-26,0,13,1
14912,"Antonio Brown",2010-03-27,1,5,1
14912,"Antonio Brown",2010-03-28,5,6,0
14912,"Antonio Brown",2010-03-29,1,6,3
14912,"Antonio Brown",2010-03-30,3,4,2
14912,"Antonio Brown",2010-03-31,4,19,1
14912,"Antonio Brown",2010-04-01,5,3,0
14912,"Antonio Brown",2010-04-02,3,16,0
14912,"Antonio Brown",2010-04-03,0,10,0
14912,"Antonio Brown",2010-04-04,1,8,1
14912,"Antonio Brown",2010-04-05,3,2,0
14912,"Antonio Brown",2010-04-06,0,7,0
14912,"Antonio Brown",2010-04-07,3,13,0
14912,"Antonio Brown",2010-04-08,0,9,1
14912,"Antonio Brown",2010-04-09,6,11,0
14912,"Antonio Brown",2010-04-10,1,4,0
14912,"Antonio Brown",2010-04-11,0,10,1
14912,"Antonio Brown",2010-04-12,0,21,1
14912,"Antonio Brown",2010-04-13,2,21,0
14912,"Antonio Brown",2010-04-14,0,11,0
14912,"Antonio Brown",2010-04-15,5,12,0
14912,"Antonio Brown",2010-04-16,6,19,1
14912,"Antonio Brown",2010-04-17,4,14,2
14912,"Antonio Brown",2010-04-18,4,20,1
14912,"Antonio Brown",2010-04-19,1,16,1
14912,"Antonio Brown",2010-04-20,7,13,0
14912,"Antonio Brown",2010-04-21,1,5,0
14912,"Antonio Brown",2010-04-22,8,11,0
14912,"Antonio Brown",2010-04-23,7,48,3
14912,"Antonio Brown",2010-04-24,20,96,8
14912,"Antonio Brown",2010-04-25,12,38,3
14912,"Antonio Brown",2010-04-26,5,28,1
14912,"Antonio Brown",2010-04-27,3,24,1
14912,"Antonio Brown",2010-04-28,1,8,0
14912,"Antonio Brown",2010-04-29,1,9,0
14912,"Antonio Brown",2010-04-30,1,6,1
14912,"Antonio Brown",2010-05-01,7,6,0
14912,"Antonio Brown",2010-05-02,4,11,0
14912,"Antonio Brown",2010-05-03,3,7,1
14912,"Antonio Brown",2010-05-04,3,15,1
14912,"Antonio Brown",2010-05-05,1,6,3
14912,"Antonio Brown",2010-05-06,2,1,0
14912,"Antonio Brown",2010-05-07,2,2,1
14912,"Antonio Brown",2010-05-08,0,10,0
14912,"Antonio Brown",2010-05-09,1,14,0
14912,"Antonio Brown",2010-05-10,0,6,0
14912,"Antonio Brown",2010-05-11,3,10,0
14912,"Antonio Brown",2010-05-12,0,2,2
14912,"Antonio Brown",2010-05-13,0,8,0
14912,"Antonio Brown",2010-05-14,3,4,1
14912,"Antonio Brown",2010-05-15,1,3,2
14912,"Antonio Brown",2010-05-16,1,3,0
14912,"Antonio Brown",2010-05-17,1,3,2
14912,"Antonio Brown",2010-05-18,1,3,0
14912,"Antonio Brown",2010-05-19,1,6,1
14912,"Antonio Brown",2010-05-20,1,1,0
14912,"Antonio Brown",2010-05-21,1,6,0
14912,"Antonio Brown",2010-05-22,0,7,1
14912,"Antonio Brown",2010-05-23,0,5,1
14912,"Antonio Brown",2010-05-24,0,2,1
14912,"Antonio Brown",2010-05-25,0,7,0
14912,"Antonio Brown",2010-05-26,3,13,0
14912,"Antonio Brown",2010-05-27,2,42,3
14912,"Antonio Brown",2010-05-28,9,4,1
14912,"Antonio Brown",2010-05-29,2,7,4
14912,"Antonio Brown",2010-05-30,0,5,1
14912,"Antonio Brown",2010-05-31,3,3,1
14912,"Antonio Brown",2010-06-01,2,25,2
14912,"Antonio Brown",2010-06-02,1,49,2
14912,"Antonio Brown",2010-06-03,0,7,1
14912,"Antonio Brown",2010-06-04,0,9,0
14912,"Antonio Brown",2010-06-05,1,8,0
14912,"Antonio Brown",2010-06-06,1,5,0
14912,"Antonio Brown",2010-06-07,0,3,0
14912,"Antonio Brown",2010-06-08,0,3,0
14912,"Antonio Brown",2010-06-09,0,2,0
14912,"Antonio Brown",2010-06-10,3,0,0
14912,"Antonio Brown",2010-06-11,2,10,0
14912,"Antonio Brown",2010-06-12,0,3,0
14912,"Antonio Brown",2010-06-13,0,5,0
14912,"Antonio Brown",2010-06-14,1,15,1
14912,"Antonio Brown",2010-06-15,1,74,1
14912,"Antonio Brown",2010-06-16,3,47,3
14912,"Antonio Brown",2010-06-17,0,3,2
14912,"Antonio Brown",2010-06-18,7,0,0
14912,"Antonio Brown",2010-06-19,5,1,2
14912,"Antonio Brown",2010-06-20,5,4,0
14912,"Antonio Brown",2010-06-21,1,3,0
14912,"Antonio Brown",2010-06-22,4,4,0
14912,"Antonio Brown",2010-06-23,0,10,1
14912,"Antonio Brown",2010-06-24,2,3,0
14912,"Antonio Brown",2010-06-25,2,5,0
14912,"Antonio Brown",2010-06-26,1,7,1
14912,"Antonio Brown",2010-06-27,1,7,0
14912,"Antonio Brown",2010-06-28,0,3,2
14912,"Antonio Brown",2010-06-29,0,3,0
14912,"Antonio Brown",2010-06-30,4,3,0
14912,"Antonio Brown",2010-07-01,13,4,0
14912,"Antonio Brown",2010-07-02,0,1,3
14912,"Antonio Brown",2010-07-03,0,1,0
