"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
14934,"Akshay Kumar",2010-01-01,16,64,9
14934,"Akshay Kumar",2010-01-02,14,52,15
14934,"Akshay Kumar",2010-01-03,18,34,11
14934,"Akshay Kumar",2010-01-04,25,54,28
14934,"Akshay Kumar",2010-01-05,14,80,8
14934,"Akshay Kumar",2010-01-06,12,59,7
14934,"Akshay Kumar",2010-01-07,19,51,7
14934,"Akshay Kumar",2010-01-08,19,49,8
14934,"Akshay Kumar",2010-01-09,19,63,6
14934,"Akshay Kumar",2010-01-10,13,81,15
14934,"Akshay Kumar",2010-01-11,20,64,15
14934,"Akshay Kumar",2010-01-12,14,53,5
14934,"Akshay Kumar",2010-01-13,20,66,7
14934,"Akshay Kumar",2010-01-14,14,35,8
14934,"Akshay Kumar",2010-01-15,15,42,5
14934,"Akshay Kumar",2010-01-16,27,47,4
14934,"Akshay Kumar",2010-01-17,31,69,8
14934,"Akshay Kumar",2010-01-18,53,84,17
14934,"Akshay Kumar",2010-01-19,26,72,17
14934,"Akshay Kumar",2010-01-20,21,69,15
14934,"Akshay Kumar",2010-01-21,11,51,8
14934,"Akshay Kumar",2010-01-22,11,72,10
14934,"Akshay Kumar",2010-01-23,16,46,7
14934,"Akshay Kumar",2010-01-24,21,44,1
14934,"Akshay Kumar",2010-01-25,15,78,14
14934,"Akshay Kumar",2010-01-26,9,59,19
14934,"Akshay Kumar",2010-01-27,18,69,16
14934,"Akshay Kumar",2010-01-28,14,55,13
14934,"Akshay Kumar",2010-01-29,6,41,10
14934,"Akshay Kumar",2010-01-30,6,71,5
14934,"Akshay Kumar",2010-01-31,13,51,12
14934,"Akshay Kumar",2010-02-01,17,33,1
14934,"Akshay Kumar",2010-02-02,16,44,4
14934,"Akshay Kumar",2010-02-03,14,52,4
14934,"Akshay Kumar",2010-02-04,17,55,7
14934,"Akshay Kumar",2010-02-05,13,62,12
14934,"Akshay Kumar",2010-02-06,23,79,13
14934,"Akshay Kumar",2010-02-07,10,45,5
14934,"Akshay Kumar",2010-02-08,25,106,21
14934,"Akshay Kumar",2010-02-09,19,119,23
14934,"Akshay Kumar",2010-02-10,15,95,14
14934,"Akshay Kumar",2010-02-11,12,76,12
14934,"Akshay Kumar",2010-02-12,23,64,19
14934,"Akshay Kumar",2010-02-13,24,67,22
14934,"Akshay Kumar",2010-02-14,17,48,15
14934,"Akshay Kumar",2010-02-15,26,99,20
14934,"Akshay Kumar",2010-02-16,29,107,15
14934,"Akshay Kumar",2010-02-17,19,93,31
14934,"Akshay Kumar",2010-02-18,27,68,10
14934,"Akshay Kumar",2010-02-19,23,58,6
14934,"Akshay Kumar",2010-02-20,16,50,7
14934,"Akshay Kumar",2010-02-21,23,54,6
14934,"Akshay Kumar",2010-02-22,26,59,5
14934,"Akshay Kumar",2010-02-23,34,152,19
14934,"Akshay Kumar",2010-02-24,19,82,19
14934,"Akshay Kumar",2010-02-25,29,70,10
14934,"Akshay Kumar",2010-02-26,24,95,13
14934,"Akshay Kumar",2010-02-27,18,103,15
14934,"Akshay Kumar",2010-02-28,24,46,13
14934,"Akshay Kumar",2010-03-01,27,56,3
14934,"Akshay Kumar",2010-03-02,40,95,8
14934,"Akshay Kumar",2010-03-03,38,90,12
