"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
15015,"Daniel Sturridge",2010-01-01,6,16,6
15015,"Daniel Sturridge",2010-01-02,2,12,3
15015,"Daniel Sturridge",2010-01-03,28,549,33
15015,"Daniel Sturridge",2010-01-04,14,423,34
15015,"Daniel Sturridge",2010-01-05,23,12,41
15015,"Daniel Sturridge",2010-01-06,3,8,20
15015,"Daniel Sturridge",2010-01-07,8,22,3
15015,"Daniel Sturridge",2010-01-08,13,33,9
15015,"Daniel Sturridge",2010-01-09,1,8,25
15015,"Daniel Sturridge",2010-01-10,1,3,1
15015,"Daniel Sturridge",2010-01-11,0,1,2
15015,"Daniel Sturridge",2010-01-12,3,8,4
15015,"Daniel Sturridge",2010-01-13,4,28,5
15015,"Daniel Sturridge",2010-01-14,13,158,14
15015,"Daniel Sturridge",2010-01-15,6,65,10
15015,"Daniel Sturridge",2010-01-16,5,11,5
15015,"Daniel Sturridge",2010-01-17,2,15,2
15015,"Daniel Sturridge",2010-01-18,6,12,0
15015,"Daniel Sturridge",2010-01-19,2,5,1
15015,"Daniel Sturridge",2010-01-20,0,4,0
15015,"Daniel Sturridge",2010-01-21,1,5,1
15015,"Daniel Sturridge",2010-01-22,2,32,4
15015,"Daniel Sturridge",2010-01-23,20,479,44
15015,"Daniel Sturridge",2010-01-24,3,282,9
15015,"Daniel Sturridge",2010-01-25,4,35,3
15015,"Daniel Sturridge",2010-01-26,5,18,2
15015,"Daniel Sturridge",2010-01-27,13,34,3
15015,"Daniel Sturridge",2010-01-28,2,17,3
15015,"Daniel Sturridge",2010-01-29,0,11,0
15015,"Daniel Sturridge",2010-01-30,5,21,0
15015,"Daniel Sturridge",2010-01-31,0,11,1
15015,"Daniel Sturridge",2010-02-01,2,14,0
15015,"Daniel Sturridge",2010-02-02,6,36,10
15015,"Daniel Sturridge",2010-02-03,0,17,2
15015,"Daniel Sturridge",2010-02-04,2,4,1
15015,"Daniel Sturridge",2010-02-05,0,1,0
15015,"Daniel Sturridge",2010-02-06,1,3,0
15015,"Daniel Sturridge",2010-02-07,0,1,0
15015,"Daniel Sturridge",2010-02-08,0,2,1
15015,"Daniel Sturridge",2010-02-09,1,6,1
15015,"Daniel Sturridge",2010-02-10,0,6,1
15015,"Daniel Sturridge",2010-02-11,0,8,0
15015,"Daniel Sturridge",2010-02-12,1,132,5
15015,"Daniel Sturridge",2010-02-13,171,187,37
15015,"Daniel Sturridge",2010-02-14,22,233,11
15015,"Daniel Sturridge",2010-02-15,5,37,5
15015,"Daniel Sturridge",2010-02-16,1,25,1
15015,"Daniel Sturridge",2010-02-17,3,8,0
15015,"Daniel Sturridge",2010-02-18,1,4,0
15015,"Daniel Sturridge",2010-02-19,3,8,0
15015,"Daniel Sturridge",2010-02-20,0,5,0
15015,"Daniel Sturridge",2010-02-21,0,1,0
15015,"Daniel Sturridge",2010-02-22,1,4,2
15015,"Daniel Sturridge",2010-02-23,1,4,2
15015,"Daniel Sturridge",2010-02-24,11,22,6
15015,"Daniel Sturridge",2010-02-25,4,6,3
15015,"Daniel Sturridge",2010-02-26,0,8,1
15015,"Daniel Sturridge",2010-02-27,1,22,8
15015,"Daniel Sturridge",2010-02-28,2,7,5
15015,"Daniel Sturridge",2010-03-01,0,1,1
15015,"Daniel Sturridge",2010-03-02,2,3,1
15015,"Daniel Sturridge",2010-03-03,3,14,1
15015,"Daniel Sturridge",2010-03-04,1,4,1
15015,"Daniel Sturridge",2010-03-05,4,4,1
15015,"Daniel Sturridge",2010-03-06,0,4,1
15015,"Daniel Sturridge",2010-03-07,0,2,2
15015,"Daniel Sturridge",2010-03-08,1,1,2
15015,"Daniel Sturridge",2010-03-09,3,0,0
15015,"Daniel Sturridge",2010-03-10,3,5,2
15015,"Daniel Sturridge",2010-03-11,3,5,1
15015,"Daniel Sturridge",2010-03-12,2,9,1
15015,"Daniel Sturridge",2010-03-13,1,1,0
15015,"Daniel Sturridge",2010-03-14,0,7,0
15015,"Daniel Sturridge",2010-03-15,0,2,0
15015,"Daniel Sturridge",2010-03-16,2,3,2
15015,"Daniel Sturridge",2010-03-17,0,8,2
15015,"Daniel Sturridge",2010-03-18,0,6,1
15015,"Daniel Sturridge",2010-03-19,1,0,1
15015,"Daniel Sturridge",2010-03-20,0,6,0
15015,"Daniel Sturridge",2010-03-21,1,7,2
15015,"Daniel Sturridge",2010-03-22,1,6,1
15015,"Daniel Sturridge",2010-03-23,1,4,0
15015,"Daniel Sturridge",2010-03-24,1,37,22
15015,"Daniel Sturridge",2010-03-25,18,409,174
15015,"Daniel Sturridge",2010-03-26,2,14,6
15015,"Daniel Sturridge",2010-03-27,0,5,0
15015,"Daniel Sturridge",2010-03-28,0,3,0
15015,"Daniel Sturridge",2010-03-29,0,4,1
15015,"Daniel Sturridge",2010-03-30,0,3,3
15015,"Daniel Sturridge",2010-03-31,0,2,0
15015,"Daniel Sturridge",2010-04-01,1,3,1
15015,"Daniel Sturridge",2010-04-02,2,1,0
15015,"Daniel Sturridge",2010-04-03,0,6,1
15015,"Daniel Sturridge",2010-04-04,0,1,0
15015,"Daniel Sturridge",2010-04-05,0,4,1
15015,"Daniel Sturridge",2010-04-06,0,3,0
15015,"Daniel Sturridge",2010-04-07,1,0,0
15015,"Daniel Sturridge",2010-04-08,2,2,2
15015,"Daniel Sturridge",2010-04-09,1,5,0
15015,"Daniel Sturridge",2010-04-10,1,6,6
15015,"Daniel Sturridge",2010-04-11,2,10,2
15015,"Daniel Sturridge",2010-04-12,4,3,1
15015,"Daniel Sturridge",2010-04-13,0,6,1
15015,"Daniel Sturridge",2010-04-14,0,1,3
15015,"Daniel Sturridge",2010-04-15,2,7,3
15015,"Daniel Sturridge",2010-04-16,0,3,1
15015,"Daniel Sturridge",2010-04-17,2,3,0
15015,"Daniel Sturridge",2010-04-18,0,7,5
15015,"Daniel Sturridge",2010-04-19,3,1,0
15015,"Daniel Sturridge",2010-04-20,0,3,2
15015,"Daniel Sturridge",2010-04-21,0,2,0
15015,"Daniel Sturridge",2010-04-22,2,1,0
15015,"Daniel Sturridge",2010-04-23,2,7,0
15015,"Daniel Sturridge",2010-04-24,0,10,0
15015,"Daniel Sturridge",2010-04-25,68,435,19
15015,"Daniel Sturridge",2010-04-26,17,64,10
15015,"Daniel Sturridge",2010-04-27,244,10,1
15015,"Daniel Sturridge",2010-04-28,1,15,1
15015,"Daniel Sturridge",2010-04-29,2,4,2
15015,"Daniel Sturridge",2010-04-30,1,2,3
15015,"Daniel Sturridge",2010-05-01,1,4,2
15015,"Daniel Sturridge",2010-05-02,1,4,0
15015,"Daniel Sturridge",2010-05-03,1,4,0
15015,"Daniel Sturridge",2010-05-04,0,2,0
15015,"Daniel Sturridge",2010-05-05,0,4,0
15015,"Daniel Sturridge",2010-05-06,0,1,1
15015,"Daniel Sturridge",2010-05-07,1,1,0
15015,"Daniel Sturridge",2010-05-08,0,8,1
15015,"Daniel Sturridge",2010-05-09,5,15,4
15015,"Daniel Sturridge",2010-05-10,1,8,0
15015,"Daniel Sturridge",2010-05-11,1,3,0
15015,"Daniel Sturridge",2010-05-12,0,6,4
15015,"Daniel Sturridge",2010-05-13,0,15,160
15015,"Daniel Sturridge",2010-05-14,1,12,140
15015,"Daniel Sturridge",2010-05-15,1,23,10
15015,"Daniel Sturridge",2010-05-16,1,5,1
15015,"Daniel Sturridge",2010-05-17,2,4,0
15015,"Daniel Sturridge",2010-05-18,0,3,0
15015,"Daniel Sturridge",2010-05-19,0,1,0
15015,"Daniel Sturridge",2010-05-20,0,1,0
