"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
15172,"Bol Bol",2010-01-01,3,29,3
15172,"Bol Bol",2010-01-02,5,26,2
15172,"Bol Bol",2010-01-03,8,52,4
15172,"Bol Bol",2010-01-04,6,32,5
15172,"Bol Bol",2010-01-05,9,25,6
15172,"Bol Bol",2010-01-06,2,39,4
15172,"Bol Bol",2010-01-07,1,55,2
15172,"Bol Bol",2010-01-08,4,30,6
15172,"Bol Bol",2010-01-09,4,77,1
15172,"Bol Bol",2010-01-10,5,19,4
15172,"Bol Bol",2010-01-11,6,32,5
15172,"Bol Bol",2010-01-12,5,35,6
15172,"Bol Bol",2010-01-13,6,35,4
15172,"Bol Bol",2010-01-14,1,27,4
15172,"Bol Bol",2010-01-15,6,30,3
15172,"Bol Bol",2010-01-16,5,36,3
15172,"Bol Bol",2010-01-17,5,35,3
15172,"Bol Bol",2010-01-18,2,28,1
15172,"Bol Bol",2010-01-19,5,30,5
15172,"Bol Bol",2010-01-20,2,25,3
15172,"Bol Bol",2010-01-21,7,33,3
15172,"Bol Bol",2010-01-22,2,36,2
15172,"Bol Bol",2010-01-23,4,30,5
15172,"Bol Bol",2010-01-24,4,42,4
15172,"Bol Bol",2010-01-25,4,26,0
15172,"Bol Bol",2010-01-26,14,26,4
15172,"Bol Bol",2010-01-27,2,40,1
15172,"Bol Bol",2010-01-28,6,56,3
15172,"Bol Bol",2010-01-29,11,43,4
15172,"Bol Bol",2010-01-30,3,39,9
15172,"Bol Bol",2010-01-31,2,37,5
15172,"Bol Bol",2010-02-01,1,26,7
15172,"Bol Bol",2010-02-02,8,36,6
15172,"Bol Bol",2010-02-03,2,29,3
15172,"Bol Bol",2010-02-04,6,54,5
15172,"Bol Bol",2010-02-05,3,40,4
15172,"Bol Bol",2010-02-06,11,50,9
15172,"Bol Bol",2010-02-07,5,38,4
15172,"Bol Bol",2010-02-08,3,36,6
15172,"Bol Bol",2010-02-09,5,34,10
15172,"Bol Bol",2010-02-10,4,49,3
15172,"Bol Bol",2010-02-11,1,45,7
15172,"Bol Bol",2010-02-12,11,53,3
15172,"Bol Bol",2010-02-13,3,58,1
15172,"Bol Bol",2010-02-14,3,47,5
15172,"Bol Bol",2010-02-15,13,62,8
15172,"Bol Bol",2010-02-16,10,53,6
15172,"Bol Bol",2010-02-17,4,46,4
15172,"Bol Bol",2010-02-18,2,47,1
15172,"Bol Bol",2010-02-19,6,43,3
15172,"Bol Bol",2010-02-20,4,39,5
15172,"Bol Bol",2010-02-21,8,44,24
15172,"Bol Bol",2010-02-22,4,50,4
15172,"Bol Bol",2010-02-23,5,41,2
15172,"Bol Bol",2010-02-24,4,44,4
15172,"Bol Bol",2010-02-25,5,108,2
15172,"Bol Bol",2010-02-26,3,50,12
15172,"Bol Bol",2010-02-27,2,55,9
15172,"Bol Bol",2010-02-28,4,62,1
15172,"Bol Bol",2010-03-01,6,55,2
15172,"Bol Bol",2010-03-02,5,51,6
15172,"Bol Bol",2010-03-03,2,63,7
15172,"Bol Bol",2010-03-04,2,60,9
15172,"Bol Bol",2010-03-05,14,55,5
15172,"Bol Bol",2010-03-06,6,34,4
15172,"Bol Bol",2010-03-07,1,72,4
15172,"Bol Bol",2010-03-08,5,47,5
15172,"Bol Bol",2010-03-09,6,60,7
15172,"Bol Bol",2010-03-10,5,67,2
15172,"Bol Bol",2010-03-11,3,58,6
15172,"Bol Bol",2010-03-12,5,82,4
15172,"Bol Bol",2010-03-13,4,57,2
15172,"Bol Bol",2010-03-14,5,48,0
15172,"Bol Bol",2010-03-15,6,54,2
15172,"Bol Bol",2010-03-16,8,57,3
15172,"Bol Bol",2010-03-17,4,23,1
15172,"Bol Bol",2010-03-18,16,25,10
15172,"Bol Bol",2010-03-19,10,36,1
15172,"Bol Bol",2010-03-20,17,26,4
15172,"Bol Bol",2010-03-21,6,27,7
15172,"Bol Bol",2010-03-22,11,52,2
15172,"Bol Bol",2010-03-23,7,43,3
15172,"Bol Bol",2010-03-24,12,31,5
15172,"Bol Bol",2010-03-25,16,52,23
15172,"Bol Bol",2010-03-26,5,50,6
15172,"Bol Bol",2010-03-27,16,50,3
15172,"Bol Bol",2010-03-28,30,40,5
15172,"Bol Bol",2010-03-29,7,50,6
15172,"Bol Bol",2010-03-30,8,45,3
15172,"Bol Bol",2010-03-31,6,44,5
15172,"Bol Bol",2010-04-01,11,51,4
15172,"Bol Bol",2010-04-02,6,45,1
15172,"Bol Bol",2010-04-03,11,31,4
15172,"Bol Bol",2010-04-04,8,52,11
15172,"Bol Bol",2010-04-05,17,57,9
15172,"Bol Bol",2010-04-06,6,42,4
15172,"Bol Bol",2010-04-07,15,49,6
15172,"Bol Bol",2010-04-08,8,43,9
15172,"Bol Bol",2010-04-09,16,40,6
15172,"Bol Bol",2010-04-10,7,54,2
15172,"Bol Bol",2010-04-11,8,50,5
15172,"Bol Bol",2010-04-12,15,67,7
15172,"Bol Bol",2010-04-13,5,64,9
15172,"Bol Bol",2010-04-14,10,55,17
15172,"Bol Bol",2010-04-15,15,56,7
15172,"Bol Bol",2010-04-16,10,63,2
15172,"Bol Bol",2010-04-17,25,62,14
15172,"Bol Bol",2010-04-18,14,58,10
15172,"Bol Bol",2010-04-19,12,81,6
15172,"Bol Bol",2010-04-20,9,66,1
15172,"Bol Bol",2010-04-21,17,69,9
15172,"Bol Bol",2010-04-22,13,82,5
15172,"Bol Bol",2010-04-23,14,73,11
15172,"Bol Bol",2010-04-24,22,60,7
15172,"Bol Bol",2010-04-25,14,56,6
15172,"Bol Bol",2010-04-26,24,67,8
15172,"Bol Bol",2010-04-27,6,69,12
15172,"Bol Bol",2010-04-28,19,61,9
15172,"Bol Bol",2010-04-29,15,49,8
15172,"Bol Bol",2010-04-30,19,56,6
15172,"Bol Bol",2010-05-01,8,64,7
15172,"Bol Bol",2010-05-02,7,50,3
15172,"Bol Bol",2010-05-03,8,60,13
15172,"Bol Bol",2010-05-04,14,59,9
15172,"Bol Bol",2010-05-05,19,64,8
15172,"Bol Bol",2010-05-06,12,55,9
15172,"Bol Bol",2010-05-07,19,76,16
15172,"Bol Bol",2010-05-08,14,58,6
15172,"Bol Bol",2010-05-09,12,50,4
15172,"Bol Bol",2010-05-10,9,58,9
15172,"Bol Bol",2010-05-11,11,50,8
15172,"Bol Bol",2010-05-12,9,61,10
15172,"Bol Bol",2010-05-13,5,75,6
15172,"Bol Bol",2010-05-14,3,58,12
15172,"Bol Bol",2010-05-15,8,48,5
15172,"Bol Bol",2010-05-16,7,55,4
15172,"Bol Bol",2010-05-17,10,62,3
15172,"Bol Bol",2010-05-18,9,75,5
15172,"Bol Bol",2010-05-19,13,50,9
15172,"Bol Bol",2010-05-20,15,71,4
15172,"Bol Bol",2010-05-21,7,48,6
15172,"Bol Bol",2010-05-22,9,72,17
15172,"Bol Bol",2010-05-23,14,72,5
15172,"Bol Bol",2010-05-24,9,73,6
15172,"Bol Bol",2010-05-25,11,53,12
15172,"Bol Bol",2010-05-26,8,58,5
15172,"Bol Bol",2010-05-27,14,81,3
15172,"Bol Bol",2010-05-28,8,48,3
15172,"Bol Bol",2010-05-29,8,58,3
15172,"Bol Bol",2010-05-30,10,103,19
15172,"Bol Bol",2010-05-31,7,68,10
15172,"Bol Bol",2010-06-01,12,75,5
15172,"Bol Bol",2010-06-02,16,70,7
15172,"Bol Bol",2010-06-03,11,77,7
15172,"Bol Bol",2010-06-04,9,72,7
15172,"Bol Bol",2010-06-05,11,66,5
15172,"Bol Bol",2010-06-06,11,62,1
15172,"Bol Bol",2010-06-07,7,81,5
15172,"Bol Bol",2010-06-08,21,74,15
15172,"Bol Bol",2010-06-09,17,97,5
15172,"Bol Bol",2010-06-10,20,83,11
15172,"Bol Bol",2010-06-11,10,84,8
15172,"Bol Bol",2010-06-12,21,66,7
15172,"Bol Bol",2010-06-13,12,81,8
15172,"Bol Bol",2010-06-14,15,106,5
15172,"Bol Bol",2010-06-15,23,111,2
15172,"Bol Bol",2010-06-16,14,98,5
15172,"Bol Bol",2010-06-17,19,180,12
15172,"Bol Bol",2010-06-18,17,111,7
15172,"Bol Bol",2010-06-19,16,68,12
15172,"Bol Bol",2010-06-20,15,76,6
15172,"Bol Bol",2010-06-21,16,101,15
15172,"Bol Bol",2010-06-22,14,75,28
15172,"Bol Bol",2010-06-23,15,69,7
15172,"Bol Bol",2010-06-24,11,80,7
15172,"Bol Bol",2010-06-25,12,65,6
15172,"Bol Bol",2010-06-26,21,77,67
15172,"Bol Bol",2010-06-27,12,89,22
15172,"Bol Bol",2010-06-28,21,96,28
15172,"Bol Bol",2010-06-29,10,77,15
15172,"Bol Bol",2010-06-30,16,71,18
15172,"Bol Bol",2010-07-01,54,195,22
15172,"Bol Bol",2010-07-02,55,123,12
15172,"Bol Bol",2010-07-03,52,112,17
15172,"Bol Bol",2010-07-04,35,113,12
15172,"Bol Bol",2010-07-05,42,131,10
15172,"Bol Bol",2010-07-06,58,129,28
15172,"Bol Bol",2010-07-07,59,150,22
15172,"Bol Bol",2010-07-08,65,161,16
15172,"Bol Bol",2010-07-09,63,86,7
15172,"Bol Bol",2010-07-10,37,111,19
15172,"Bol Bol",2010-07-11,45,124,21
15172,"Bol Bol",2010-07-12,48,104,19
15172,"Bol Bol",2010-07-13,47,112,15
15172,"Bol Bol",2010-07-14,44,87,10
15172,"Bol Bol",2010-07-15,44,148,24
15172,"Bol Bol",2010-07-16,46,126,15
15172,"Bol Bol",2010-07-17,40,99,22
15172,"Bol Bol",2010-07-18,31,114,12
15172,"Bol Bol",2010-07-19,46,118,19
15172,"Bol Bol",2010-07-20,54,130,27
15172,"Bol Bol",2010-07-21,49,118,17
15172,"Bol Bol",2010-07-22,49,130,26
15172,"Bol Bol",2010-07-23,59,138,20
15172,"Bol Bol",2010-07-24,53,117,25
15172,"Bol Bol",2010-07-25,51,89,28
15172,"Bol Bol",2010-07-26,54,181,28
15172,"Bol Bol",2010-07-27,69,118,21
15172,"Bol Bol",2010-07-28,58,125,32
15172,"Bol Bol",2010-07-29,44,135,20
15172,"Bol Bol",2010-07-30,53,153,12
15172,"Bol Bol",2010-07-31,59,134,26
15172,"Bol Bol",2010-08-01,49,104,29
15172,"Bol Bol",2010-08-02,64,131,24
15172,"Bol Bol",2010-08-03,51,112,16
15172,"Bol Bol",2010-08-04,52,123,23
15172,"Bol Bol",2010-08-05,53,130,40
15172,"Bol Bol",2010-08-06,83,151,33
15172,"Bol Bol",2010-08-07,81,129,22
15172,"Bol Bol",2010-08-08,61,138,24
15172,"Bol Bol",2010-08-09,66,156,21
15172,"Bol Bol",2010-08-10,100,213,26
15172,"Bol Bol",2010-08-11,71,166,28
15172,"Bol Bol",2010-08-12,66,141,25
15172,"Bol Bol",2010-08-13,75,165,19
15172,"Bol Bol",2010-08-14,61,132,24
15172,"Bol Bol",2010-08-15,56,124,26
15172,"Bol Bol",2010-08-16,64,123,28
15172,"Bol Bol",2010-08-17,60,137,104
15172,"Bol Bol",2010-08-18,62,136,54
15172,"Bol Bol",2010-08-19,65,130,30
15172,"Bol Bol",2010-08-20,45,124,21
15172,"Bol Bol",2010-08-21,49,124,31
15172,"Bol Bol",2010-08-22,52,96,27
15172,"Bol Bol",2010-08-23,59,119,22
15172,"Bol Bol",2010-08-24,72,138,25
15172,"Bol Bol",2010-08-25,71,160,23
15172,"Bol Bol",2010-08-26,64,149,25
15172,"Bol Bol",2010-08-27,65,148,28
15172,"Bol Bol",2010-08-28,63,134,38
15172,"Bol Bol",2010-08-29,69,119,24
15172,"Bol Bol",2010-08-30,54,143,23
15172,"Bol Bol",2010-08-31,81,123,24
15172,"Bol Bol",2010-09-01,65,185,29
15172,"Bol Bol",2010-09-02,56,145,22
15172,"Bol Bol",2010-09-03,59,126,10
15172,"Bol Bol",2010-09-04,73,163,32
15172,"Bol Bol",2010-09-05,100,210,28
15172,"Bol Bol",2010-09-06,66,171,12
15172,"Bol Bol",2010-09-07,79,158,32
