"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
15216,"Steven Gerrard",2010-01-01,47,120,27
15216,"Steven Gerrard",2010-01-02,58,552,105
15216,"Steven Gerrard",2010-01-03,49,234,341
15216,"Steven Gerrard",2010-01-04,299,151,55
15216,"Steven Gerrard",2010-01-05,13,100,69
15216,"Steven Gerrard",2010-01-06,18,60,28
15216,"Steven Gerrard",2010-01-07,30,51,19
15216,"Steven Gerrard",2010-01-08,29,297,25
15216,"Steven Gerrard",2010-01-09,19,33,28
15216,"Steven Gerrard",2010-01-10,37,143,111
15216,"Steven Gerrard",2010-01-11,27,94,41
15216,"Steven Gerrard",2010-01-12,20,100,311
15216,"Steven Gerrard",2010-01-13,51,309,397
15216,"Steven Gerrard",2010-01-14,26,643,1165
15216,"Steven Gerrard",2010-01-15,24,357,225
15216,"Steven Gerrard",2010-01-16,34,227,158
15216,"Steven Gerrard",2010-01-17,25,153,357
15216,"Steven Gerrard",2010-01-18,22,638,75
15216,"Steven Gerrard",2010-01-19,35,180,124
15216,"Steven Gerrard",2010-01-20,42,321,507
15216,"Steven Gerrard",2010-01-21,24,114,57
15216,"Steven Gerrard",2010-01-22,33,239,320
15216,"Steven Gerrard",2010-01-23,22,65,41
15216,"Steven Gerrard",2010-01-24,31,78,31
15216,"Steven Gerrard",2010-01-25,35,338,300
15216,"Steven Gerrard",2010-01-26,36,323,143
15216,"Steven Gerrard",2010-01-27,29,227,367
15216,"Steven Gerrard",2010-01-28,33,112,63
15216,"Steven Gerrard",2010-01-29,31,140,66
15216,"Steven Gerrard",2010-01-30,41,164,82
15216,"Steven Gerrard",2010-01-31,28,67,27
15216,"Steven Gerrard",2010-02-01,33,99,32
15216,"Steven Gerrard",2010-02-02,16,330,57
15216,"Steven Gerrard",2010-02-03,30,132,35
15216,"Steven Gerrard",2010-02-04,26,111,52
15216,"Steven Gerrard",2010-02-05,113,869,138
15216,"Steven Gerrard",2010-02-06,80,346,223
15216,"Steven Gerrard",2010-02-07,46,116,56
15216,"Steven Gerrard",2010-02-08,53,269,278
