"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
15229,"John Wall",2010-01-01,61,96,37
15229,"John Wall",2010-01-02,284,386,164
15229,"John Wall",2010-01-03,67,110,53
15229,"John Wall",2010-01-04,53,102,62
15229,"John Wall",2010-01-05,63,171,51
15229,"John Wall",2010-01-06,54,87,34
15229,"John Wall",2010-01-07,53,108,44
15229,"John Wall",2010-01-08,37,74,28
15229,"John Wall",2010-01-09,76,148,56
15229,"John Wall",2010-01-10,60,81,37
15229,"John Wall",2010-01-11,78,113,46
15229,"John Wall",2010-01-12,182,292,115
15229,"John Wall",2010-01-13,134,172,85
15229,"John Wall",2010-01-14,71,104,51
15229,"John Wall",2010-01-15,75,100,37
15229,"John Wall",2010-01-16,67,126,44
15229,"John Wall",2010-01-17,42,74,33
15229,"John Wall",2010-01-18,51,57,33
15229,"John Wall",2010-01-19,48,75,45
15229,"John Wall",2010-01-20,48,88,65
15229,"John Wall",2010-01-21,39,77,41
15229,"John Wall",2010-01-22,68,71,38
15229,"John Wall",2010-01-23,65,124,61
15229,"John Wall",2010-01-24,35,76,44
15229,"John Wall",2010-01-25,74,122,58
15229,"John Wall",2010-01-26,216,364,197
15229,"John Wall",2010-01-27,129,196,108
15229,"John Wall",2010-01-28,29,80,61
15229,"John Wall",2010-01-29,44,60,40
15229,"John Wall",2010-01-30,118,151,114
15229,"John Wall",2010-01-31,38,68,68
15229,"John Wall",2010-02-01,64,187,131
15229,"John Wall",2010-02-02,117,294,113
15229,"John Wall",2010-02-03,51,135,74
15229,"John Wall",2010-02-04,35,84,41
15229,"John Wall",2010-02-05,38,114,51
15229,"John Wall",2010-02-06,39,77,48
15229,"John Wall",2010-02-07,19,57,46
15229,"John Wall",2010-02-08,32,71,56
15229,"John Wall",2010-02-09,68,128,60
15229,"John Wall",2010-02-10,55,207,69
15229,"John Wall",2010-02-11,52,118,51
15229,"John Wall",2010-02-12,50,95,61
15229,"John Wall",2010-02-13,95,157,72
15229,"John Wall",2010-02-14,58,154,45
15229,"John Wall",2010-02-15,76,91,41
15229,"John Wall",2010-02-16,202,347,150
15229,"John Wall",2010-02-17,121,256,86
15229,"John Wall",2010-02-18,59,145,64
15229,"John Wall",2010-02-19,65,153,60
15229,"John Wall",2010-02-20,143,286,154
15229,"John Wall",2010-02-21,61,129,77
15229,"John Wall",2010-02-22,64,92,60
15229,"John Wall",2010-02-23,42,75,34
15229,"John Wall",2010-02-24,55,98,42
15229,"John Wall",2010-02-25,90,182,69
15229,"John Wall",2010-02-26,66,152,60
15229,"John Wall",2010-02-27,138,220,116
15229,"John Wall",2010-02-28,48,126,38
15229,"John Wall",2010-03-01,63,78,43
15229,"John Wall",2010-03-02,73,95,48
15229,"John Wall",2010-03-03,79,200,59
15229,"John Wall",2010-03-04,69,155,67
15229,"John Wall",2010-03-05,45,140,62
15229,"John Wall",2010-03-06,53,95,48
15229,"John Wall",2010-03-07,77,126,40
15229,"John Wall",2010-03-08,79,218,61
15229,"John Wall",2010-03-09,94,254,84
15229,"John Wall",2010-03-10,66,112,46
15229,"John Wall",2010-03-11,57,105,60
15229,"John Wall",2010-03-12,201,287,115
15229,"John Wall",2010-03-13,180,288,124
15229,"John Wall",2010-03-14,373,585,254
15229,"John Wall",2010-03-15,165,300,149
15229,"John Wall",2010-03-16,156,197,106
15229,"John Wall",2010-03-17,166,217,104
15229,"John Wall",2010-03-18,189,332,138
15229,"John Wall",2010-03-19,131,175,85
15229,"John Wall",2010-03-20,236,279,163
15229,"John Wall",2010-03-21,120,182,86
15229,"John Wall",2010-03-22,107,190,74
15229,"John Wall",2010-03-23,99,161,82
15229,"John Wall",2010-03-24,95,159,78
15229,"John Wall",2010-03-25,293,359,207
15229,"John Wall",2010-03-26,202,372,189
15229,"John Wall",2010-03-27,808,974,714
15229,"John Wall",2010-03-28,155,226,160
15229,"John Wall",2010-03-29,123,356,111
15229,"John Wall",2010-03-30,111,215,68
15229,"John Wall",2010-03-31,89,178,70
15229,"John Wall",2010-04-01,84,181,71
15229,"John Wall",2010-04-02,89,274,81
15229,"John Wall",2010-04-03,68,165,51
15229,"John Wall",2010-04-04,47,93,38
15229,"John Wall",2010-04-05,83,130,61
15229,"John Wall",2010-04-06,76,147,55
15229,"John Wall",2010-04-07,131,446,119
15229,"John Wall",2010-04-08,83,325,114
15229,"John Wall",2010-04-09,58,144,66
15229,"John Wall",2010-04-10,49,99,38
15229,"John Wall",2010-04-11,40,72,19
15229,"John Wall",2010-04-12,52,101,34
15229,"John Wall",2010-04-13,76,194,37
15229,"John Wall",2010-04-14,89,187,77
15229,"John Wall",2010-04-15,61,131,41
15229,"John Wall",2010-04-16,54,94,35
15229,"John Wall",2010-04-17,37,57,21
15229,"John Wall",2010-04-18,33,54,16
15229,"John Wall",2010-04-19,40,47,24
15229,"John Wall",2010-04-20,31,39,34
15229,"John Wall",2010-04-21,24,66,18
15229,"John Wall",2010-04-22,56,174,24
15229,"John Wall",2010-04-23,24,81,15
15229,"John Wall",2010-04-24,25,41,31
15229,"John Wall",2010-04-25,21,38,32
15229,"John Wall",2010-04-26,26,51,24
