"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
15263,"Larry Fitzgerald",2010-01-01,8,53,11
15263,"Larry Fitzgerald",2010-01-02,8,54,12
15263,"Larry Fitzgerald",2010-01-03,15,132,26
15263,"Larry Fitzgerald",2010-01-04,7,89,22
15263,"Larry Fitzgerald",2010-01-05,16,104,21
15263,"Larry Fitzgerald",2010-01-06,23,76,47
15263,"Larry Fitzgerald",2010-01-07,33,84,24
15263,"Larry Fitzgerald",2010-01-08,26,119,34
15263,"Larry Fitzgerald",2010-01-09,19,98,25
15263,"Larry Fitzgerald",2010-01-10,127,274,186
15263,"Larry Fitzgerald",2010-01-11,41,114,114
15263,"Larry Fitzgerald",2010-01-12,26,78,34
15263,"Larry Fitzgerald",2010-01-13,13,100,24
15263,"Larry Fitzgerald",2010-01-14,16,109,39
15263,"Larry Fitzgerald",2010-01-15,18,177,37
15263,"Larry Fitzgerald",2010-01-16,50,201,52
15263,"Larry Fitzgerald",2010-01-17,21,58,12
15263,"Larry Fitzgerald",2010-01-18,15,74,23
15263,"Larry Fitzgerald",2010-01-19,13,130,22
15263,"Larry Fitzgerald",2010-01-20,23,213,21
15263,"Larry Fitzgerald",2010-01-21,23,125,13
15263,"Larry Fitzgerald",2010-01-22,10,36,11
15263,"Larry Fitzgerald",2010-01-23,13,53,19
15263,"Larry Fitzgerald",2010-01-24,12,57,11
15263,"Larry Fitzgerald",2010-01-25,11,88,9
15263,"Larry Fitzgerald",2010-01-26,12,95,19
15263,"Larry Fitzgerald",2010-01-27,9,66,10
15263,"Larry Fitzgerald",2010-01-28,24,78,10
15263,"Larry Fitzgerald",2010-01-29,21,75,11
15263,"Larry Fitzgerald",2010-01-30,11,51,9
15263,"Larry Fitzgerald",2010-01-31,14,66,19
15263,"Larry Fitzgerald",2010-02-01,13,115,14
15263,"Larry Fitzgerald",2010-02-02,13,39,9
15263,"Larry Fitzgerald",2010-02-03,29,97,16
15263,"Larry Fitzgerald",2010-02-04,19,196,25
15263,"Larry Fitzgerald",2010-02-05,17,78,13
15263,"Larry Fitzgerald",2010-02-06,23,70,9
15263,"Larry Fitzgerald",2010-02-07,26,99,20
15263,"Larry Fitzgerald",2010-02-08,20,33,9
15263,"Larry Fitzgerald",2010-02-09,11,43,14
15263,"Larry Fitzgerald",2010-02-10,8,33,11
15263,"Larry Fitzgerald",2010-02-11,14,52,5
15263,"Larry Fitzgerald",2010-02-12,13,28,10
15263,"Larry Fitzgerald",2010-02-13,5,35,5
15263,"Larry Fitzgerald",2010-02-14,11,25,5
15263,"Larry Fitzgerald",2010-02-15,9,32,7
15263,"Larry Fitzgerald",2010-02-16,15,30,18
15263,"Larry Fitzgerald",2010-02-17,17,13,11
15263,"Larry Fitzgerald",2010-02-18,9,21,9
15263,"Larry Fitzgerald",2010-02-19,6,20,11
15263,"Larry Fitzgerald",2010-02-20,11,14,7
15263,"Larry Fitzgerald",2010-02-21,9,40,4
15263,"Larry Fitzgerald",2010-02-22,18,35,9
15263,"Larry Fitzgerald",2010-02-23,7,64,9
15263,"Larry Fitzgerald",2010-02-24,5,41,3
15263,"Larry Fitzgerald",2010-02-25,5,41,6
15263,"Larry Fitzgerald",2010-02-26,10,43,10
15263,"Larry Fitzgerald",2010-02-27,8,20,2
15263,"Larry Fitzgerald",2010-02-28,3,26,9
15263,"Larry Fitzgerald",2010-03-01,6,37,4
15263,"Larry Fitzgerald",2010-03-02,8,30,8
15263,"Larry Fitzgerald",2010-03-03,12,37,9
15263,"Larry Fitzgerald",2010-03-04,14,30,11
15263,"Larry Fitzgerald",2010-03-05,7,71,19
15263,"Larry Fitzgerald",2010-03-06,12,56,10
15263,"Larry Fitzgerald",2010-03-07,7,37,16
15263,"Larry Fitzgerald",2010-03-08,17,37,9
15263,"Larry Fitzgerald",2010-03-09,10,22,17
15263,"Larry Fitzgerald",2010-03-10,11,36,15
15263,"Larry Fitzgerald",2010-03-11,15,20,7
15263,"Larry Fitzgerald",2010-03-12,5,19,6
15263,"Larry Fitzgerald",2010-03-13,4,13,8
15263,"Larry Fitzgerald",2010-03-14,5,10,5
15263,"Larry Fitzgerald",2010-03-15,9,15,3
15263,"Larry Fitzgerald",2010-03-16,10,16,5
15263,"Larry Fitzgerald",2010-03-17,10,61,5
15263,"Larry Fitzgerald",2010-03-18,9,20,8
15263,"Larry Fitzgerald",2010-03-19,13,18,5
15263,"Larry Fitzgerald",2010-03-20,1,15,1
15263,"Larry Fitzgerald",2010-03-21,9,22,4
15263,"Larry Fitzgerald",2010-03-22,13,30,8
15263,"Larry Fitzgerald",2010-03-23,6,24,8
15263,"Larry Fitzgerald",2010-03-24,6,50,12
15263,"Larry Fitzgerald",2010-03-25,10,30,5
15263,"Larry Fitzgerald",2010-03-26,6,17,5
15263,"Larry Fitzgerald",2010-03-27,4,22,6
15263,"Larry Fitzgerald",2010-03-28,2,20,10
15263,"Larry Fitzgerald",2010-03-29,7,26,20
15263,"Larry Fitzgerald",2010-03-30,14,39,32
15263,"Larry Fitzgerald",2010-03-31,10,21,7
15263,"Larry Fitzgerald",2010-04-01,3,16,10
15263,"Larry Fitzgerald",2010-04-02,7,14,4
15263,"Larry Fitzgerald",2010-04-03,2,9,6
15263,"Larry Fitzgerald",2010-04-04,2,23,6
15263,"Larry Fitzgerald",2010-04-05,6,31,9
15263,"Larry Fitzgerald",2010-04-06,3,43,13
15263,"Larry Fitzgerald",2010-04-07,13,19,13
15263,"Larry Fitzgerald",2010-04-08,8,39,15
15263,"Larry Fitzgerald",2010-04-09,8,53,6
