"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
15300,"Abhishek Bachchan",2010-01-01,68,108,14
15300,"Abhishek Bachchan",2010-01-02,72,136,53
15300,"Abhishek Bachchan",2010-01-03,78,103,23
15300,"Abhishek Bachchan",2010-01-04,155,224,46
15300,"Abhishek Bachchan",2010-01-05,120,177,32
15300,"Abhishek Bachchan",2010-01-06,68,180,41
15300,"Abhishek Bachchan",2010-01-07,78,134,24
15300,"Abhishek Bachchan",2010-01-08,240,231,40
15300,"Abhishek Bachchan",2010-01-09,375,318,41
15300,"Abhishek Bachchan",2010-01-10,327,326,68
15300,"Abhishek Bachchan",2010-01-11,138,219,31
15300,"Abhishek Bachchan",2010-01-12,181,349,53
15300,"Abhishek Bachchan",2010-01-13,119,226,42
15300,"Abhishek Bachchan",2010-01-14,171,279,54
15300,"Abhishek Bachchan",2010-01-15,88,265,44
15300,"Abhishek Bachchan",2010-01-16,158,150,20
15300,"Abhishek Bachchan",2010-01-17,251,283,47
15300,"Abhishek Bachchan",2010-01-18,150,330,33
15300,"Abhishek Bachchan",2010-01-19,99,269,25
15300,"Abhishek Bachchan",2010-01-20,169,273,17
15300,"Abhishek Bachchan",2010-01-21,65,215,119
15300,"Abhishek Bachchan",2010-01-22,72,188,14
15300,"Abhishek Bachchan",2010-01-23,180,340,53
15300,"Abhishek Bachchan",2010-01-24,49,91,8
15300,"Abhishek Bachchan",2010-01-25,38,141,22
15300,"Abhishek Bachchan",2010-01-26,58,127,20
15300,"Abhishek Bachchan",2010-01-27,56,262,24
15300,"Abhishek Bachchan",2010-01-28,140,206,46
15300,"Abhishek Bachchan",2010-01-29,269,248,145
15300,"Abhishek Bachchan",2010-01-30,129,222,56
15300,"Abhishek Bachchan",2010-01-31,61,166,25
15300,"Abhishek Bachchan",2010-02-01,63,149,37
15300,"Abhishek Bachchan",2010-02-02,95,129,65
15300,"Abhishek Bachchan",2010-02-03,46,106,27
15300,"Abhishek Bachchan",2010-02-04,288,248,46
15300,"Abhishek Bachchan",2010-02-05,409,272,51
15300,"Abhishek Bachchan",2010-02-06,161,300,115
15300,"Abhishek Bachchan",2010-02-07,120,166,25
15300,"Abhishek Bachchan",2010-02-08,105,169,30
15300,"Abhishek Bachchan",2010-02-09,56,150,25
