"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
15551,"Derrick Rose",2010-01-01,53,57,39
15551,"Derrick Rose",2010-01-02,91,94,26
15551,"Derrick Rose",2010-01-03,85,123,43
15551,"Derrick Rose",2010-01-04,105,135,32
15551,"Derrick Rose",2010-01-05,79,175,41
15551,"Derrick Rose",2010-01-06,53,150,27
15551,"Derrick Rose",2010-01-07,29,102,19
15551,"Derrick Rose",2010-01-08,33,77,17
15551,"Derrick Rose",2010-01-09,63,64,29
15551,"Derrick Rose",2010-01-10,33,48,12
15551,"Derrick Rose",2010-01-11,39,79,20
15551,"Derrick Rose",2010-01-12,47,118,38
15551,"Derrick Rose",2010-01-13,40,84,27
15551,"Derrick Rose",2010-01-14,56,109,26
15551,"Derrick Rose",2010-01-15,129,173,43
15551,"Derrick Rose",2010-01-16,108,170,28
15551,"Derrick Rose",2010-01-17,25,61,41
15551,"Derrick Rose",2010-01-18,61,54,22
15551,"Derrick Rose",2010-01-19,41,59,21
15551,"Derrick Rose",2010-01-20,58,120,20
15551,"Derrick Rose",2010-01-21,76,137,33
15551,"Derrick Rose",2010-01-22,90,183,46
15551,"Derrick Rose",2010-01-23,323,544,189
15551,"Derrick Rose",2010-01-24,66,102,74
15551,"Derrick Rose",2010-01-25,62,175,46
15551,"Derrick Rose",2010-01-26,119,215,50
15551,"Derrick Rose",2010-01-27,133,370,46
15551,"Derrick Rose",2010-01-28,245,552,70
15551,"Derrick Rose",2010-01-29,165,350,34
15551,"Derrick Rose",2010-01-30,58,102,17
15551,"Derrick Rose",2010-01-31,45,54,23
15551,"Derrick Rose",2010-02-01,72,87,46
15551,"Derrick Rose",2010-02-02,110,227,75
15551,"Derrick Rose",2010-02-03,83,172,57
15551,"Derrick Rose",2010-02-04,67,128,42
15551,"Derrick Rose",2010-02-05,118,178,54
15551,"Derrick Rose",2010-02-06,153,248,75
15551,"Derrick Rose",2010-02-07,69,118,44
15551,"Derrick Rose",2010-02-08,54,69,42
15551,"Derrick Rose",2010-02-09,84,122,39
15551,"Derrick Rose",2010-02-10,138,348,81
15551,"Derrick Rose",2010-02-11,97,526,123
15551,"Derrick Rose",2010-02-12,80,320,65
15551,"Derrick Rose",2010-02-13,127,335,51
15551,"Derrick Rose",2010-02-14,205,295,61
15551,"Derrick Rose",2010-02-15,68,136,42
15551,"Derrick Rose",2010-02-16,112,163,31
15551,"Derrick Rose",2010-02-17,144,185,63
15551,"Derrick Rose",2010-02-18,105,103,52
15551,"Derrick Rose",2010-02-19,85,90,22
15551,"Derrick Rose",2010-02-20,58,86,32
15551,"Derrick Rose",2010-02-21,53,74,25
15551,"Derrick Rose",2010-02-22,61,95,49
15551,"Derrick Rose",2010-02-23,62,68,37
15551,"Derrick Rose",2010-02-24,46,68,37
15551,"Derrick Rose",2010-02-25,82,82,38
15551,"Derrick Rose",2010-02-26,127,110,36
15551,"Derrick Rose",2010-02-27,72,148,61
15551,"Derrick Rose",2010-02-28,66,104,38
15551,"Derrick Rose",2010-03-01,63,124,58
15551,"Derrick Rose",2010-03-02,58,110,42
15551,"Derrick Rose",2010-03-03,82,72,56
15551,"Derrick Rose",2010-03-04,63,98,58
15551,"Derrick Rose",2010-03-05,95,127,51
15551,"Derrick Rose",2010-03-06,45,75,32
15551,"Derrick Rose",2010-03-07,69,86,40
15551,"Derrick Rose",2010-03-08,55,61,34
15551,"Derrick Rose",2010-03-09,92,107,38
15551,"Derrick Rose",2010-03-10,110,225,72
15551,"Derrick Rose",2010-03-11,114,208,61
15551,"Derrick Rose",2010-03-12,86,544,207
15551,"Derrick Rose",2010-03-13,50,160,50
15551,"Derrick Rose",2010-03-14,45,102,49
15551,"Derrick Rose",2010-03-15,49,92,77
15551,"Derrick Rose",2010-03-16,79,124,72
15551,"Derrick Rose",2010-03-17,43,142,44
15551,"Derrick Rose",2010-03-18,54,82,47
15551,"Derrick Rose",2010-03-19,68,117,77
