"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
15678,"Jeff Bezos",2010-01-01,5,33,13
15678,"Jeff Bezos",2010-01-02,5,16,5
15678,"Jeff Bezos",2010-01-03,6,23,6
15678,"Jeff Bezos",2010-01-04,16,34,6
15678,"Jeff Bezos",2010-01-05,12,47,10
15678,"Jeff Bezos",2010-01-06,4,65,14
15678,"Jeff Bezos",2010-01-07,4,35,8
15678,"Jeff Bezos",2010-01-08,15,51,16
15678,"Jeff Bezos",2010-01-09,3,20,6
15678,"Jeff Bezos",2010-01-10,3,24,16
15678,"Jeff Bezos",2010-01-11,6,30,9
15678,"Jeff Bezos",2010-01-12,25,59,8
15678,"Jeff Bezos",2010-01-13,5,25,4
15678,"Jeff Bezos",2010-01-14,6,28,4
15678,"Jeff Bezos",2010-01-15,9,21,11
15678,"Jeff Bezos",2010-01-16,5,14,4
15678,"Jeff Bezos",2010-01-17,11,166,3
15678,"Jeff Bezos",2010-01-18,3,15,3
15678,"Jeff Bezos",2010-01-19,2,13,2
15678,"Jeff Bezos",2010-01-20,11,43,6
15678,"Jeff Bezos",2010-01-21,4,64,9
15678,"Jeff Bezos",2010-01-22,5,44,2
15678,"Jeff Bezos",2010-01-23,0,12,1
15678,"Jeff Bezos",2010-01-24,2,26,4
15678,"Jeff Bezos",2010-01-25,4,25,13
15678,"Jeff Bezos",2010-01-26,10,33,20
15678,"Jeff Bezos",2010-01-27,16,134,46
15678,"Jeff Bezos",2010-01-28,23,193,48
15678,"Jeff Bezos",2010-01-29,62,304,36
15678,"Jeff Bezos",2010-01-30,6,123,20
15678,"Jeff Bezos",2010-01-31,6,95,19
15678,"Jeff Bezos",2010-02-01,15,110,27
15678,"Jeff Bezos",2010-02-02,18,113,18
15678,"Jeff Bezos",2010-02-03,4,56,16
15678,"Jeff Bezos",2010-02-04,9,52,15
15678,"Jeff Bezos",2010-02-05,14,65,17
15678,"Jeff Bezos",2010-02-06,5,19,6
15678,"Jeff Bezos",2010-02-07,3,30,6
15678,"Jeff Bezos",2010-02-08,5,34,11
15678,"Jeff Bezos",2010-02-09,4,34,15
