"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
15941,"Ashley Wagner",2010-01-01,4,1,0
15941,"Ashley Wagner",2010-01-02,1,5,0
15941,"Ashley Wagner",2010-01-03,2,4,2
15941,"Ashley Wagner",2010-01-04,5,6,4
15941,"Ashley Wagner",2010-01-05,1,2,2
15941,"Ashley Wagner",2010-01-06,3,2,1
15941,"Ashley Wagner",2010-01-07,1,6,0
15941,"Ashley Wagner",2010-01-08,1,0,0
15941,"Ashley Wagner",2010-01-09,0,0,2
15941,"Ashley Wagner",2010-01-10,3,1,1
15941,"Ashley Wagner",2010-01-11,1,5,1
15941,"Ashley Wagner",2010-01-12,4,4,1
15941,"Ashley Wagner",2010-01-13,2,12,3
15941,"Ashley Wagner",2010-01-14,3,8,1
15941,"Ashley Wagner",2010-01-15,2,4,1
15941,"Ashley Wagner",2010-01-16,5,4,0
15941,"Ashley Wagner",2010-01-17,2,4,2
15941,"Ashley Wagner",2010-01-18,2,13,1
15941,"Ashley Wagner",2010-01-19,7,10,2
15941,"Ashley Wagner",2010-01-20,12,9,5
15941,"Ashley Wagner",2010-01-21,41,33,5
15941,"Ashley Wagner",2010-01-22,32,38,28
15941,"Ashley Wagner",2010-01-23,51,79,9
15941,"Ashley Wagner",2010-01-24,56,163,29
15941,"Ashley Wagner",2010-01-25,9,16,10
15941,"Ashley Wagner",2010-01-26,4,9,3
15941,"Ashley Wagner",2010-01-27,1,6,0
15941,"Ashley Wagner",2010-01-28,1,12,3
15941,"Ashley Wagner",2010-01-29,1,8,0
15941,"Ashley Wagner",2010-01-30,1,2,5
15941,"Ashley Wagner",2010-01-31,7,7,0
15941,"Ashley Wagner",2010-02-01,2,3,3
15941,"Ashley Wagner",2010-02-02,3,2,2
15941,"Ashley Wagner",2010-02-03,1,6,0
15941,"Ashley Wagner",2010-02-04,3,5,4
15941,"Ashley Wagner",2010-02-05,3,4,1
15941,"Ashley Wagner",2010-02-06,5,1,0
15941,"Ashley Wagner",2010-02-07,2,2,0
15941,"Ashley Wagner",2010-02-08,0,3,0
15941,"Ashley Wagner",2010-02-09,12,12,1
15941,"Ashley Wagner",2010-02-10,3,3,0
15941,"Ashley Wagner",2010-02-11,0,6,1
15941,"Ashley Wagner",2010-02-12,3,7,2
15941,"Ashley Wagner",2010-02-13,6,11,3
15941,"Ashley Wagner",2010-02-14,5,2,0
15941,"Ashley Wagner",2010-02-15,5,6,1
15941,"Ashley Wagner",2010-02-16,1,0,1
15941,"Ashley Wagner",2010-02-17,10,2,0
15941,"Ashley Wagner",2010-02-18,1,2,0
15941,"Ashley Wagner",2010-02-19,1,0,0
15941,"Ashley Wagner",2010-02-20,2,3,0
15941,"Ashley Wagner",2010-02-21,1,0,0
15941,"Ashley Wagner",2010-02-22,0,1,0
15941,"Ashley Wagner",2010-02-23,2,6,0
15941,"Ashley Wagner",2010-02-24,1,8,1
15941,"Ashley Wagner",2010-02-25,1,6,1
15941,"Ashley Wagner",2010-02-26,0,10,1
15941,"Ashley Wagner",2010-02-27,4,5,5
15941,"Ashley Wagner",2010-02-28,7,4,3
15941,"Ashley Wagner",2010-03-01,0,8,2
15941,"Ashley Wagner",2010-03-02,0,7,0
15941,"Ashley Wagner",2010-03-03,3,3,4
15941,"Ashley Wagner",2010-03-04,1,5,1
15941,"Ashley Wagner",2010-03-05,2,10,0
15941,"Ashley Wagner",2010-03-06,1,1,1
15941,"Ashley Wagner",2010-03-07,4,5,0
15941,"Ashley Wagner",2010-03-08,1,0,3
15941,"Ashley Wagner",2010-03-09,0,5,0
15941,"Ashley Wagner",2010-03-10,0,3,1
15941,"Ashley Wagner",2010-03-11,3,0,2
15941,"Ashley Wagner",2010-03-12,0,1,0
15941,"Ashley Wagner",2010-03-13,3,0,0
15941,"Ashley Wagner",2010-03-14,1,4,1
15941,"Ashley Wagner",2010-03-15,1,2,0
15941,"Ashley Wagner",2010-03-16,1,0,1
15941,"Ashley Wagner",2010-03-17,1,0,0
15941,"Ashley Wagner",2010-03-18,0,6,1
15941,"Ashley Wagner",2010-03-19,1,5,0
15941,"Ashley Wagner",2010-03-20,1,3,1
15941,"Ashley Wagner",2010-03-21,1,0,0
15941,"Ashley Wagner",2010-03-22,0,2,4
15941,"Ashley Wagner",2010-03-23,0,1,1
15941,"Ashley Wagner",2010-03-24,0,1,0
15941,"Ashley Wagner",2010-03-25,0,1,0
15941,"Ashley Wagner",2010-03-26,1,2,0
15941,"Ashley Wagner",2010-03-27,4,5,0
15941,"Ashley Wagner",2010-03-28,0,5,0
15941,"Ashley Wagner",2010-03-29,0,1,0
15941,"Ashley Wagner",2010-03-30,4,0,2
15941,"Ashley Wagner",2010-03-31,3,1,1
15941,"Ashley Wagner",2010-04-01,1,0,0
15941,"Ashley Wagner",2010-04-02,0,1,0
15941,"Ashley Wagner",2010-04-03,1,1,1
15941,"Ashley Wagner",2010-04-04,1,0,0
15941,"Ashley Wagner",2010-04-05,2,0,1
15941,"Ashley Wagner",2010-04-06,0,2,0
15941,"Ashley Wagner",2010-04-07,1,0,0
15941,"Ashley Wagner",2010-04-08,2,2,0
15941,"Ashley Wagner",2010-04-09,0,2,0
15941,"Ashley Wagner",2010-04-10,1,0,0
15941,"Ashley Wagner",2010-04-11,1,0,0
15941,"Ashley Wagner",2010-04-12,0,0,0
15941,"Ashley Wagner",2010-04-13,0,0,0
15941,"Ashley Wagner",2010-04-14,1,3,0
15941,"Ashley Wagner",2010-04-15,1,3,0
15941,"Ashley Wagner",2010-04-16,1,0,1
15941,"Ashley Wagner",2010-04-17,0,2,0
15941,"Ashley Wagner",2010-04-18,0,0,0
15941,"Ashley Wagner",2010-04-19,1,4,0
15941,"Ashley Wagner",2010-04-20,1,9,0
15941,"Ashley Wagner",2010-04-21,0,0,0
15941,"Ashley Wagner",2010-04-22,0,0,0
15941,"Ashley Wagner",2010-04-23,1,1,1
15941,"Ashley Wagner",2010-04-24,0,0,0
15941,"Ashley Wagner",2010-04-25,0,0,0
15941,"Ashley Wagner",2010-04-26,0,1,1
15941,"Ashley Wagner",2010-04-27,0,2,0
15941,"Ashley Wagner",2010-04-28,0,1,2
15941,"Ashley Wagner",2010-04-29,1,3,2
15941,"Ashley Wagner",2010-04-30,2,4,0
15941,"Ashley Wagner",2010-05-01,0,1,0
15941,"Ashley Wagner",2010-05-02,1,0,0
15941,"Ashley Wagner",2010-05-03,1,0,0
15941,"Ashley Wagner",2010-05-04,0,3,0
15941,"Ashley Wagner",2010-05-05,0,6,0
15941,"Ashley Wagner",2010-05-06,1,4,0
15941,"Ashley Wagner",2010-05-07,0,0,0
15941,"Ashley Wagner",2010-05-08,2,6,0
15941,"Ashley Wagner",2010-05-09,0,1,0
15941,"Ashley Wagner",2010-05-10,0,3,0
15941,"Ashley Wagner",2010-05-11,0,1,0
15941,"Ashley Wagner",2010-05-12,0,3,0
15941,"Ashley Wagner",2010-05-13,0,1,0
15941,"Ashley Wagner",2010-05-14,0,1,0
15941,"Ashley Wagner",2010-05-15,0,1,0
15941,"Ashley Wagner",2010-05-16,0,0,0
15941,"Ashley Wagner",2010-05-17,1,1,0
15941,"Ashley Wagner",2010-05-18,0,5,0
15941,"Ashley Wagner",2010-05-19,0,1,0
15941,"Ashley Wagner",2010-05-20,0,1,0
15941,"Ashley Wagner",2010-05-21,0,1,0
15941,"Ashley Wagner",2010-05-22,0,0,0
15941,"Ashley Wagner",2010-05-23,1,0,0
15941,"Ashley Wagner",2010-05-24,0,0,0
15941,"Ashley Wagner",2010-05-25,0,1,0
15941,"Ashley Wagner",2010-05-26,0,2,0
15941,"Ashley Wagner",2010-05-27,0,0,0
15941,"Ashley Wagner",2010-05-28,0,1,0
15941,"Ashley Wagner",2010-05-29,0,0,0
15941,"Ashley Wagner",2010-05-30,0,1,0
15941,"Ashley Wagner",2010-05-31,0,3,0
15941,"Ashley Wagner",2010-06-01,1,2,0
15941,"Ashley Wagner",2010-06-02,0,0,0
15941,"Ashley Wagner",2010-06-03,0,0,0
15941,"Ashley Wagner",2010-06-04,0,2,0
15941,"Ashley Wagner",2010-06-05,0,1,0
15941,"Ashley Wagner",2010-06-06,0,2,0
15941,"Ashley Wagner",2010-06-07,0,2,0
15941,"Ashley Wagner",2010-06-08,0,1,0
15941,"Ashley Wagner",2010-06-09,0,0,0
15941,"Ashley Wagner",2010-06-10,0,0,0
15941,"Ashley Wagner",2010-06-11,0,1,0
15941,"Ashley Wagner",2010-06-12,0,1,0
15941,"Ashley Wagner",2010-06-13,3,7,2
15941,"Ashley Wagner",2010-06-14,2,4,0
15941,"Ashley Wagner",2010-06-15,1,0,0
15941,"Ashley Wagner",2010-06-16,4,1,0
15941,"Ashley Wagner",2010-06-17,1,0,0
15941,"Ashley Wagner",2010-06-18,1,0,0
15941,"Ashley Wagner",2010-06-19,2,0,0
15941,"Ashley Wagner",2010-06-20,0,0,1
15941,"Ashley Wagner",2010-06-21,0,1,1
15941,"Ashley Wagner",2010-06-22,0,2,0
15941,"Ashley Wagner",2010-06-23,1,1,0
15941,"Ashley Wagner",2010-06-24,1,0,0
15941,"Ashley Wagner",2010-06-25,0,1,0
15941,"Ashley Wagner",2010-06-26,0,1,0
15941,"Ashley Wagner",2010-06-27,0,2,0
15941,"Ashley Wagner",2010-06-28,0,0,0
15941,"Ashley Wagner",2010-06-29,0,2,0
15941,"Ashley Wagner",2010-06-30,0,0,0
15941,"Ashley Wagner",2010-07-01,0,0,0
15941,"Ashley Wagner",2010-07-02,0,0,0
15941,"Ashley Wagner",2010-07-03,0,1,0
15941,"Ashley Wagner",2010-07-04,0,3,0
15941,"Ashley Wagner",2010-07-05,0,1,0
15941,"Ashley Wagner",2010-07-06,0,0,0
15941,"Ashley Wagner",2010-07-07,0,3,0
15941,"Ashley Wagner",2010-07-08,2,4,0
15941,"Ashley Wagner",2010-07-09,0,1,0
15941,"Ashley Wagner",2010-07-10,1,5,0
15941,"Ashley Wagner",2010-07-11,2,1,1
15941,"Ashley Wagner",2010-07-12,0,2,0
15941,"Ashley Wagner",2010-07-13,1,5,0
15941,"Ashley Wagner",2010-07-14,5,4,1
15941,"Ashley Wagner",2010-07-15,9,10,0
15941,"Ashley Wagner",2010-07-16,14,9,2
15941,"Ashley Wagner",2010-07-17,4,9,2
15941,"Ashley Wagner",2010-07-18,2,3,0
15941,"Ashley Wagner",2010-07-19,3,4,1
15941,"Ashley Wagner",2010-07-20,0,3,0
15941,"Ashley Wagner",2010-07-21,2,1,1
15941,"Ashley Wagner",2010-07-22,1,4,1
15941,"Ashley Wagner",2010-07-23,1,3,0
15941,"Ashley Wagner",2010-07-24,0,0,0
15941,"Ashley Wagner",2010-07-25,0,0,0
15941,"Ashley Wagner",2010-07-26,0,2,0
15941,"Ashley Wagner",2010-07-27,1,3,0
15941,"Ashley Wagner",2010-07-28,1,4,0
15941,"Ashley Wagner",2010-07-29,1,0,0
15941,"Ashley Wagner",2010-07-30,0,2,0
15941,"Ashley Wagner",2010-07-31,1,2,0
15941,"Ashley Wagner",2010-08-01,1,0,0
15941,"Ashley Wagner",2010-08-02,1,0,0
15941,"Ashley Wagner",2010-08-03,3,3,0
15941,"Ashley Wagner",2010-08-04,0,0,0
15941,"Ashley Wagner",2010-08-05,0,1,0
15941,"Ashley Wagner",2010-08-06,0,2,0
15941,"Ashley Wagner",2010-08-07,0,6,0
15941,"Ashley Wagner",2010-08-08,0,3,1
15941,"Ashley Wagner",2010-08-09,0,2,0
15941,"Ashley Wagner",2010-08-10,0,2,0
15941,"Ashley Wagner",2010-08-11,0,1,0
15941,"Ashley Wagner",2010-08-12,0,1,0
15941,"Ashley Wagner",2010-08-13,1,2,0
15941,"Ashley Wagner",2010-08-14,0,0,0
15941,"Ashley Wagner",2010-08-15,1,1,0
15941,"Ashley Wagner",2010-08-16,0,0,0
15941,"Ashley Wagner",2010-08-17,1,2,0
15941,"Ashley Wagner",2010-08-18,1,5,0
15941,"Ashley Wagner",2010-08-19,0,4,2
15941,"Ashley Wagner",2010-08-20,1,3,1
15941,"Ashley Wagner",2010-08-21,2,5,0
15941,"Ashley Wagner",2010-08-22,1,2,0
15941,"Ashley Wagner",2010-08-23,0,1,0
