"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
16087,"Vince Carter",2010-01-01,13,129,40
16087,"Vince Carter",2010-01-02,10,179,27
16087,"Vince Carter",2010-01-03,34,218,27
16087,"Vince Carter",2010-01-04,53,216,51
16087,"Vince Carter",2010-01-05,20,138,62
16087,"Vince Carter",2010-01-06,10,160,66
16087,"Vince Carter",2010-01-07,5,134,41
16087,"Vince Carter",2010-01-08,18,193,48
16087,"Vince Carter",2010-01-09,18,314,80
16087,"Vince Carter",2010-01-10,9,222,116
16087,"Vince Carter",2010-01-11,7,120,81
16087,"Vince Carter",2010-01-12,16,123,54
16087,"Vince Carter",2010-01-13,11,174,51
16087,"Vince Carter",2010-01-14,17,100,48
16087,"Vince Carter",2010-01-15,18,148,66
16087,"Vince Carter",2010-01-16,8,158,44
16087,"Vince Carter",2010-01-17,19,130,30
16087,"Vince Carter",2010-01-18,33,165,97
16087,"Vince Carter",2010-01-19,32,299,102
16087,"Vince Carter",2010-01-20,38,488,81
16087,"Vince Carter",2010-01-21,20,209,70
16087,"Vince Carter",2010-01-22,12,138,52
16087,"Vince Carter",2010-01-23,28,137,31
16087,"Vince Carter",2010-01-24,11,108,35
16087,"Vince Carter",2010-01-25,11,101,34
16087,"Vince Carter",2010-01-26,20,132,20
16087,"Vince Carter",2010-01-27,18,77,30
16087,"Vince Carter",2010-01-28,23,219,96
16087,"Vince Carter",2010-01-29,18,197,82
16087,"Vince Carter",2010-01-30,15,104,35
16087,"Vince Carter",2010-01-31,15,85,36
16087,"Vince Carter",2010-02-01,11,86,29
16087,"Vince Carter",2010-02-02,10,301,32
16087,"Vince Carter",2010-02-03,32,206,66
16087,"Vince Carter",2010-02-04,18,63,28
16087,"Vince Carter",2010-02-05,12,98,33
16087,"Vince Carter",2010-02-06,19,93,26
16087,"Vince Carter",2010-02-07,36,244,49
16087,"Vince Carter",2010-02-08,158,608,132
16087,"Vince Carter",2010-02-09,146,545,146
16087,"Vince Carter",2010-02-10,32,158,64
16087,"Vince Carter",2010-02-11,49,202,77
16087,"Vince Carter",2010-02-12,47,155,29
16087,"Vince Carter",2010-02-13,77,329,110
16087,"Vince Carter",2010-02-14,35,168,32
16087,"Vince Carter",2010-02-15,14,76,35
16087,"Vince Carter",2010-02-16,15,111,27
16087,"Vince Carter",2010-02-17,16,79,21
16087,"Vince Carter",2010-02-18,24,111,37
16087,"Vince Carter",2010-02-19,19,112,22
16087,"Vince Carter",2010-02-20,9,99,38
16087,"Vince Carter",2010-02-21,48,336,95
16087,"Vince Carter",2010-02-22,20,140,39
16087,"Vince Carter",2010-02-23,21,368,19
16087,"Vince Carter",2010-02-24,40,309,52
16087,"Vince Carter",2010-02-25,43,333,43
16087,"Vince Carter",2010-02-26,16,191,25
16087,"Vince Carter",2010-02-27,12,111,24
16087,"Vince Carter",2010-02-28,11,174,31
16087,"Vince Carter",2010-03-01,13,221,43
16087,"Vince Carter",2010-03-02,10,182,22
16087,"Vince Carter",2010-03-03,14,106,26
16087,"Vince Carter",2010-03-04,23,81,23
16087,"Vince Carter",2010-03-05,9,134,23
16087,"Vince Carter",2010-03-06,9,87,22
16087,"Vince Carter",2010-03-07,39,439,86
16087,"Vince Carter",2010-03-08,24,329,68
16087,"Vince Carter",2010-03-09,36,101,15
16087,"Vince Carter",2010-03-10,11,92,26
16087,"Vince Carter",2010-03-11,20,129,22
16087,"Vince Carter",2010-03-12,35,225,61
16087,"Vince Carter",2010-03-13,20,127,17
16087,"Vince Carter",2010-03-14,25,116,15
16087,"Vince Carter",2010-03-15,33,102,17
16087,"Vince Carter",2010-03-16,8,69,20
16087,"Vince Carter",2010-03-17,40,147,44
16087,"Vince Carter",2010-03-18,39,250,52
16087,"Vince Carter",2010-03-19,27,214,58
16087,"Vince Carter",2010-03-20,10,55,12
16087,"Vince Carter",2010-03-21,14,71,20
16087,"Vince Carter",2010-03-22,6,128,21
16087,"Vince Carter",2010-03-23,30,122,17
16087,"Vince Carter",2010-03-24,13,108,26
16087,"Vince Carter",2010-03-25,12,97,37
16087,"Vince Carter",2010-03-26,8,86,16
16087,"Vince Carter",2010-03-27,12,129,22
16087,"Vince Carter",2010-03-28,14,240,35
16087,"Vince Carter",2010-03-29,13,218,71
16087,"Vince Carter",2010-03-30,15,113,53
16087,"Vince Carter",2010-03-31,19,88,19
16087,"Vince Carter",2010-04-01,27,142,46
16087,"Vince Carter",2010-04-02,36,140,29
16087,"Vince Carter",2010-04-03,19,46,27
16087,"Vince Carter",2010-04-04,28,153,16
16087,"Vince Carter",2010-04-05,52,186,28
16087,"Vince Carter",2010-04-06,12,90,15
16087,"Vince Carter",2010-04-07,6,58,22
16087,"Vince Carter",2010-04-08,16,92,20
16087,"Vince Carter",2010-04-09,18,112,23
16087,"Vince Carter",2010-04-10,19,125,10
16087,"Vince Carter",2010-04-11,19,125,15
16087,"Vince Carter",2010-04-12,18,140,29
16087,"Vince Carter",2010-04-13,34,123,31
16087,"Vince Carter",2010-04-14,16,125,37
16087,"Vince Carter",2010-04-15,20,169,59
16087,"Vince Carter",2010-04-16,34,147,59
16087,"Vince Carter",2010-04-17,18,144,63
16087,"Vince Carter",2010-04-18,36,233,116
16087,"Vince Carter",2010-04-19,18,137,57
16087,"Vince Carter",2010-04-20,19,112,32
16087,"Vince Carter",2010-04-21,32,235,70
16087,"Vince Carter",2010-04-22,40,232,67
16087,"Vince Carter",2010-04-23,7,62,21
16087,"Vince Carter",2010-04-24,30,125,49
16087,"Vince Carter",2010-04-25,7,122,35
16087,"Vince Carter",2010-04-26,32,175,58
16087,"Vince Carter",2010-04-27,41,292,65
16087,"Vince Carter",2010-04-28,14,88,27
16087,"Vince Carter",2010-04-29,8,59,13
16087,"Vince Carter",2010-04-30,6,43,29
16087,"Vince Carter",2010-05-01,6,37,22
16087,"Vince Carter",2010-05-02,8,67,25
16087,"Vince Carter",2010-05-03,9,74,39
16087,"Vince Carter",2010-05-04,38,159,78
16087,"Vince Carter",2010-05-05,63,149,78
16087,"Vince Carter",2010-05-06,55,245,73
16087,"Vince Carter",2010-05-07,53,308,109
16087,"Vince Carter",2010-05-08,14,114,22
16087,"Vince Carter",2010-05-09,13,101,22
16087,"Vince Carter",2010-05-10,31,168,72
16087,"Vince Carter",2010-05-11,66,243,85
16087,"Vince Carter",2010-05-12,27,111,63
16087,"Vince Carter",2010-05-13,18,114,44
16087,"Vince Carter",2010-05-14,27,114,50
16087,"Vince Carter",2010-05-15,16,159,50
16087,"Vince Carter",2010-05-16,105,377,182
16087,"Vince Carter",2010-05-17,67,245,100
16087,"Vince Carter",2010-05-18,97,516,432
16087,"Vince Carter",2010-05-19,78,410,232
