"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
16618,"Ted Ligety",2010-01-01,0,2,0
16618,"Ted Ligety",2010-01-02,0,0,0
16618,"Ted Ligety",2010-01-03,0,0,8
16618,"Ted Ligety",2010-01-04,1,1,0
16618,"Ted Ligety",2010-01-05,3,4,0
16618,"Ted Ligety",2010-01-06,5,10,1
16618,"Ted Ligety",2010-01-07,5,5,0
16618,"Ted Ligety",2010-01-08,2,19,1
16618,"Ted Ligety",2010-01-09,1,25,20
16618,"Ted Ligety",2010-01-10,1,30,5
16618,"Ted Ligety",2010-01-11,1,1,1
16618,"Ted Ligety",2010-01-12,0,4,0
16618,"Ted Ligety",2010-01-13,0,3,0
16618,"Ted Ligety",2010-01-14,0,7,1
16618,"Ted Ligety",2010-01-15,7,81,1
16618,"Ted Ligety",2010-01-16,1,23,0
16618,"Ted Ligety",2010-01-17,14,51,5
16618,"Ted Ligety",2010-01-18,2,11,0
16618,"Ted Ligety",2010-01-19,1,3,1
16618,"Ted Ligety",2010-01-20,3,6,0
16618,"Ted Ligety",2010-01-21,0,6,0
16618,"Ted Ligety",2010-01-22,2,15,9
16618,"Ted Ligety",2010-01-23,2,8,3
16618,"Ted Ligety",2010-01-24,15,23,5
16618,"Ted Ligety",2010-01-25,0,10,0
16618,"Ted Ligety",2010-01-26,4,64,4
16618,"Ted Ligety",2010-01-27,3,37,2
16618,"Ted Ligety",2010-01-28,4,39,7
16618,"Ted Ligety",2010-01-29,57,437,373
16618,"Ted Ligety",2010-01-30,67,219,360
16618,"Ted Ligety",2010-01-31,30,72,11
16618,"Ted Ligety",2010-02-01,2,13,1
16618,"Ted Ligety",2010-02-02,2,22,0
16618,"Ted Ligety",2010-02-03,2,13,0
16618,"Ted Ligety",2010-02-04,3,4,4
16618,"Ted Ligety",2010-02-05,1,13,1
16618,"Ted Ligety",2010-02-06,2,7,0
16618,"Ted Ligety",2010-02-07,1,1,0
16618,"Ted Ligety",2010-02-08,2,12,2
16618,"Ted Ligety",2010-02-09,2,8,4
16618,"Ted Ligety",2010-02-10,4,19,3
16618,"Ted Ligety",2010-02-11,7,22,7
16618,"Ted Ligety",2010-02-12,18,26,7
16618,"Ted Ligety",2010-02-13,14,15,0
16618,"Ted Ligety",2010-02-14,3,12,1
16618,"Ted Ligety",2010-02-15,4,14,3
16618,"Ted Ligety",2010-02-16,16,44,11
16618,"Ted Ligety",2010-02-17,1,15,5
16618,"Ted Ligety",2010-02-18,3,16,5
16618,"Ted Ligety",2010-02-19,37,45,7
16618,"Ted Ligety",2010-02-20,8,29,5
16618,"Ted Ligety",2010-02-21,53,117,31
16618,"Ted Ligety",2010-02-22,25,57,11
16618,"Ted Ligety",2010-02-23,48,120,31
16618,"Ted Ligety",2010-02-24,11,42,9
16618,"Ted Ligety",2010-02-25,1,11,5
16618,"Ted Ligety",2010-02-26,7,8,5
16618,"Ted Ligety",2010-02-27,24,60,45
16618,"Ted Ligety",2010-02-28,6,17,20
16618,"Ted Ligety",2010-03-01,2,9,5
16618,"Ted Ligety",2010-03-02,1,3,2
16618,"Ted Ligety",2010-03-03,2,4,0
16618,"Ted Ligety",2010-03-04,0,6,0
16618,"Ted Ligety",2010-03-05,1,2,0
16618,"Ted Ligety",2010-03-06,0,5,0
16618,"Ted Ligety",2010-03-07,0,2,0
16618,"Ted Ligety",2010-03-08,1,6,1
16618,"Ted Ligety",2010-03-09,0,9,1
16618,"Ted Ligety",2010-03-10,0,7,4
16618,"Ted Ligety",2010-03-11,2,31,11
16618,"Ted Ligety",2010-03-12,41,241,33
16618,"Ted Ligety",2010-03-13,5,33,6
16618,"Ted Ligety",2010-03-14,2,4,0
16618,"Ted Ligety",2010-03-15,2,10,2
16618,"Ted Ligety",2010-03-16,0,5,1
16618,"Ted Ligety",2010-03-17,0,5,0
16618,"Ted Ligety",2010-03-18,0,1,0
16618,"Ted Ligety",2010-03-19,0,3,0
16618,"Ted Ligety",2010-03-20,2,1,0
16618,"Ted Ligety",2010-03-21,1,1,0
16618,"Ted Ligety",2010-03-22,0,0,0
16618,"Ted Ligety",2010-03-23,0,6,0
16618,"Ted Ligety",2010-03-24,0,5,0
16618,"Ted Ligety",2010-03-25,0,2,0
16618,"Ted Ligety",2010-03-26,0,2,0
16618,"Ted Ligety",2010-03-27,0,0,0
16618,"Ted Ligety",2010-03-28,0,4,0
16618,"Ted Ligety",2010-03-29,0,1,0
16618,"Ted Ligety",2010-03-30,0,3,0
16618,"Ted Ligety",2010-03-31,1,3,0
