"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
16629,"Takkarist McKinley",2010-01-01,9,307,7
16629,"Takkarist McKinley",2010-01-02,18,270,3
16629,"Takkarist McKinley",2010-01-03,17,327,8
16629,"Takkarist McKinley",2010-01-04,10,392,10
16629,"Takkarist McKinley",2010-01-05,11,333,6
16629,"Takkarist McKinley",2010-01-06,8,376,8
16629,"Takkarist McKinley",2010-01-07,11,320,4
16629,"Takkarist McKinley",2010-01-08,18,347,7
16629,"Takkarist McKinley",2010-01-09,12,311,8
16629,"Takkarist McKinley",2010-01-10,8,282,3
16629,"Takkarist McKinley",2010-01-11,11,289,9
16629,"Takkarist McKinley",2010-01-12,14,359,1
16629,"Takkarist McKinley",2010-01-13,8,376,6
16629,"Takkarist McKinley",2010-01-14,13,275,6
16629,"Takkarist McKinley",2010-01-15,18,383,8
16629,"Takkarist McKinley",2010-01-16,16,354,10
16629,"Takkarist McKinley",2010-01-17,20,340,9
16629,"Takkarist McKinley",2010-01-18,14,351,6
16629,"Takkarist McKinley",2010-01-19,8,341,5
16629,"Takkarist McKinley",2010-01-20,14,297,5
16629,"Takkarist McKinley",2010-01-21,10,315,6
16629,"Takkarist McKinley",2010-01-22,20,256,7
16629,"Takkarist McKinley",2010-01-23,12,230,11
16629,"Takkarist McKinley",2010-01-24,7,278,6
16629,"Takkarist McKinley",2010-01-25,11,293,7
16629,"Takkarist McKinley",2010-01-26,8,293,6
16629,"Takkarist McKinley",2010-01-27,20,284,16
16629,"Takkarist McKinley",2010-01-28,21,313,8
16629,"Takkarist McKinley",2010-01-29,19,348,6
16629,"Takkarist McKinley",2010-01-30,34,313,9
16629,"Takkarist McKinley",2010-01-31,16,393,8
16629,"Takkarist McKinley",2010-02-01,12,330,5
16629,"Takkarist McKinley",2010-02-02,32,366,12
16629,"Takkarist McKinley",2010-02-03,23,325,6
16629,"Takkarist McKinley",2010-02-04,26,384,16
16629,"Takkarist McKinley",2010-02-05,22,432,11
16629,"Takkarist McKinley",2010-02-06,30,375,12
16629,"Takkarist McKinley",2010-02-07,30,403,16
16629,"Takkarist McKinley",2010-02-08,26,385,17
16629,"Takkarist McKinley",2010-02-09,31,438,16
16629,"Takkarist McKinley",2010-02-10,25,435,13
16629,"Takkarist McKinley",2010-02-11,22,432,8
16629,"Takkarist McKinley",2010-02-12,25,398,27
16629,"Takkarist McKinley",2010-02-13,20,323,14
16629,"Takkarist McKinley",2010-02-14,16,393,8
16629,"Takkarist McKinley",2010-02-15,25,460,17
16629,"Takkarist McKinley",2010-02-16,28,472,11
16629,"Takkarist McKinley",2010-02-17,26,437,20
16629,"Takkarist McKinley",2010-02-18,33,433,22
16629,"Takkarist McKinley",2010-02-19,29,657,17
16629,"Takkarist McKinley",2010-02-20,27,370,23
16629,"Takkarist McKinley",2010-02-21,23,549,21
16629,"Takkarist McKinley",2010-02-22,26,582,11
16629,"Takkarist McKinley",2010-02-23,22,466,12
16629,"Takkarist McKinley",2010-02-24,16,362,11
16629,"Takkarist McKinley",2010-02-25,27,546,14
16629,"Takkarist McKinley",2010-02-26,34,430,20
16629,"Takkarist McKinley",2010-02-27,14,459,13
16629,"Takkarist McKinley",2010-02-28,11,423,8
16629,"Takkarist McKinley",2010-03-01,17,385,8
16629,"Takkarist McKinley",2010-03-02,14,500,11
16629,"Takkarist McKinley",2010-03-03,16,436,9
16629,"Takkarist McKinley",2010-03-04,21,416,10
16629,"Takkarist McKinley",2010-03-05,24,567,14
16629,"Takkarist McKinley",2010-03-06,21,388,13
16629,"Takkarist McKinley",2010-03-07,16,475,9
16629,"Takkarist McKinley",2010-03-08,22,490,9
16629,"Takkarist McKinley",2010-03-09,22,463,9
16629,"Takkarist McKinley",2010-03-10,23,488,14
16629,"Takkarist McKinley",2010-03-11,20,424,11
16629,"Takkarist McKinley",2010-03-12,24,441,20
16629,"Takkarist McKinley",2010-03-13,20,426,18
16629,"Takkarist McKinley",2010-03-14,23,427,8
16629,"Takkarist McKinley",2010-03-15,20,440,12
16629,"Takkarist McKinley",2010-03-16,43,509,16
16629,"Takkarist McKinley",2010-03-17,45,371,8
16629,"Takkarist McKinley",2010-03-18,58,292,3
16629,"Takkarist McKinley",2010-03-19,103,356,4
16629,"Takkarist McKinley",2010-03-20,47,351,5
16629,"Takkarist McKinley",2010-03-21,56,290,5
16629,"Takkarist McKinley",2010-03-22,42,350,4
16629,"Takkarist McKinley",2010-03-23,56,410,8
16629,"Takkarist McKinley",2010-03-24,59,326,4
16629,"Takkarist McKinley",2010-03-25,65,402,9
16629,"Takkarist McKinley",2010-03-26,125,442,16
16629,"Takkarist McKinley",2010-03-27,68,370,11
16629,"Takkarist McKinley",2010-03-28,51,404,13
16629,"Takkarist McKinley",2010-03-29,46,354,9
16629,"Takkarist McKinley",2010-03-30,50,382,6
16629,"Takkarist McKinley",2010-03-31,69,589,11
16629,"Takkarist McKinley",2010-04-01,49,423,8
16629,"Takkarist McKinley",2010-04-02,83,439,11
16629,"Takkarist McKinley",2010-04-03,57,366,14
16629,"Takkarist McKinley",2010-04-04,57,444,13
16629,"Takkarist McKinley",2010-04-05,69,408,13
16629,"Takkarist McKinley",2010-04-06,59,446,14
16629,"Takkarist McKinley",2010-04-07,88,511,10
16629,"Takkarist McKinley",2010-04-08,78,461,15
16629,"Takkarist McKinley",2010-04-09,137,527,20
16629,"Takkarist McKinley",2010-04-10,73,415,15
16629,"Takkarist McKinley",2010-04-11,41,495,19
16629,"Takkarist McKinley",2010-04-12,73,508,13
16629,"Takkarist McKinley",2010-04-13,75,551,11
16629,"Takkarist McKinley",2010-04-14,60,576,15
16629,"Takkarist McKinley",2010-04-15,68,492,17
16629,"Takkarist McKinley",2010-04-16,109,570,25
16629,"Takkarist McKinley",2010-04-17,81,590,13
16629,"Takkarist McKinley",2010-04-18,58,576,11
16629,"Takkarist McKinley",2010-04-19,79,629,11
16629,"Takkarist McKinley",2010-04-20,68,545,13
16629,"Takkarist McKinley",2010-04-21,95,553,17
16629,"Takkarist McKinley",2010-04-22,87,446,12
16629,"Takkarist McKinley",2010-04-23,129,456,16
16629,"Takkarist McKinley",2010-04-24,68,497,15
16629,"Takkarist McKinley",2010-04-25,50,387,21
16629,"Takkarist McKinley",2010-04-26,69,580,15
16629,"Takkarist McKinley",2010-04-27,87,443,8
16629,"Takkarist McKinley",2010-04-28,84,610,19
16629,"Takkarist McKinley",2010-04-29,96,453,16
16629,"Takkarist McKinley",2010-04-30,156,536,16
16629,"Takkarist McKinley",2010-05-01,73,402,11
16629,"Takkarist McKinley",2010-05-02,62,490,15
16629,"Takkarist McKinley",2010-05-03,95,429,14
16629,"Takkarist McKinley",2010-05-04,77,464,15
16629,"Takkarist McKinley",2010-05-05,64,448,14
16629,"Takkarist McKinley",2010-05-06,73,415,17
16629,"Takkarist McKinley",2010-05-07,129,410,17
16629,"Takkarist McKinley",2010-05-08,78,388,15
16629,"Takkarist McKinley",2010-05-09,71,379,20
16629,"Takkarist McKinley",2010-05-10,59,345,9
16629,"Takkarist McKinley",2010-05-11,78,361,13
16629,"Takkarist McKinley",2010-05-12,75,377,7
16629,"Takkarist McKinley",2010-05-13,63,335,16
16629,"Takkarist McKinley",2010-05-14,125,415,15
16629,"Takkarist McKinley",2010-05-15,68,363,15
16629,"Takkarist McKinley",2010-05-16,87,344,19
16629,"Takkarist McKinley",2010-05-17,74,440,28
16629,"Takkarist McKinley",2010-05-18,68,460,8
16629,"Takkarist McKinley",2010-05-19,74,420,17
16629,"Takkarist McKinley",2010-05-20,70,392,15
16629,"Takkarist McKinley",2010-05-21,128,374,19
16629,"Takkarist McKinley",2010-05-22,66,361,20
16629,"Takkarist McKinley",2010-05-23,68,445,15
16629,"Takkarist McKinley",2010-05-24,69,423,17
16629,"Takkarist McKinley",2010-05-25,75,419,19
16629,"Takkarist McKinley",2010-05-26,86,430,21
16629,"Takkarist McKinley",2010-05-27,88,446,26
16629,"Takkarist McKinley",2010-05-28,132,444,19
16629,"Takkarist McKinley",2010-05-29,77,420,19
16629,"Takkarist McKinley",2010-05-30,70,463,17
16629,"Takkarist McKinley",2010-05-31,80,502,11
16629,"Takkarist McKinley",2010-06-01,79,457,20
16629,"Takkarist McKinley",2010-06-02,96,586,23
16629,"Takkarist McKinley",2010-06-03,73,557,13
16629,"Takkarist McKinley",2010-06-04,155,557,17
16629,"Takkarist McKinley",2010-06-05,83,500,24
16629,"Takkarist McKinley",2010-06-06,77,545,23
16629,"Takkarist McKinley",2010-06-07,76,636,24
16629,"Takkarist McKinley",2010-06-08,82,619,28
16629,"Takkarist McKinley",2010-06-09,97,621,20
16629,"Takkarist McKinley",2010-06-10,85,504,13
