"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
17071,"Manuel Neuer",2010-01-01,4,5,0
17071,"Manuel Neuer",2010-01-02,2,2,4
17071,"Manuel Neuer",2010-01-03,12,11,4
17071,"Manuel Neuer",2010-01-04,12,30,3
17071,"Manuel Neuer",2010-01-05,4,5,2
17071,"Manuel Neuer",2010-01-06,0,0,2
17071,"Manuel Neuer",2010-01-07,6,1,1
17071,"Manuel Neuer",2010-01-08,4,0,5
17071,"Manuel Neuer",2010-01-09,5,7,3
17071,"Manuel Neuer",2010-01-10,0,12,8
17071,"Manuel Neuer",2010-01-11,2,5,3
17071,"Manuel Neuer",2010-01-12,1,3,2
17071,"Manuel Neuer",2010-01-13,2,4,3
17071,"Manuel Neuer",2010-01-14,6,7,3
17071,"Manuel Neuer",2010-01-15,6,8,4
17071,"Manuel Neuer",2010-01-16,0,4,4
17071,"Manuel Neuer",2010-01-17,22,97,53
17071,"Manuel Neuer",2010-01-18,19,19,8
17071,"Manuel Neuer",2010-01-19,6,8,4
17071,"Manuel Neuer",2010-01-20,5,33,16
17071,"Manuel Neuer",2010-01-21,8,38,60
17071,"Manuel Neuer",2010-01-22,8,8,9
17071,"Manuel Neuer",2010-01-23,11,11,25
17071,"Manuel Neuer",2010-01-24,5,30,21
17071,"Manuel Neuer",2010-01-25,3,11,4
17071,"Manuel Neuer",2010-01-26,3,10,4
17071,"Manuel Neuer",2010-01-27,0,3,17
17071,"Manuel Neuer",2010-01-28,2,3,0
17071,"Manuel Neuer",2010-01-29,2,2,2
17071,"Manuel Neuer",2010-01-30,2,4,11
17071,"Manuel Neuer",2010-01-31,9,2,2
17071,"Manuel Neuer",2010-02-01,3,5,1
17071,"Manuel Neuer",2010-02-02,0,2,2
17071,"Manuel Neuer",2010-02-03,4,1,5
17071,"Manuel Neuer",2010-02-04,2,2,7
17071,"Manuel Neuer",2010-02-05,0,2,2
17071,"Manuel Neuer",2010-02-06,6,8,2
17071,"Manuel Neuer",2010-02-07,1,3,13
17071,"Manuel Neuer",2010-02-08,1,5,18
17071,"Manuel Neuer",2010-02-09,6,6,19
17071,"Manuel Neuer",2010-02-10,3,11,19
17071,"Manuel Neuer",2010-02-11,1,6,9
17071,"Manuel Neuer",2010-02-12,2,3,5
17071,"Manuel Neuer",2010-02-13,0,1,1
17071,"Manuel Neuer",2010-02-14,2,12,34
17071,"Manuel Neuer",2010-02-15,5,7,5
17071,"Manuel Neuer",2010-02-16,4,5,6
17071,"Manuel Neuer",2010-02-17,1,4,1
17071,"Manuel Neuer",2010-02-18,3,3,0
17071,"Manuel Neuer",2010-02-19,3,5,1
