"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
17086,"Ronaldinho",2010-01-01,46,97,25
17086,"Ronaldinho",2010-01-02,57,133,31
17086,"Ronaldinho",2010-01-03,41,109,41
17086,"Ronaldinho",2010-01-04,45,129,40
17086,"Ronaldinho",2010-01-05,64,179,64
17086,"Ronaldinho",2010-01-06,177,561,240
17086,"Ronaldinho",2010-01-07,154,395,223
17086,"Ronaldinho",2010-01-08,147,323,84
17086,"Ronaldinho",2010-01-09,255,425,94
17086,"Ronaldinho",2010-01-10,279,727,204
17086,"Ronaldinho",2010-01-11,195,463,241
17086,"Ronaldinho",2010-01-12,158,319,89
17086,"Ronaldinho",2010-01-13,75,189,67
17086,"Ronaldinho",2010-01-14,43,182,43
17086,"Ronaldinho",2010-01-15,58,140,58
17086,"Ronaldinho",2010-01-16,49,200,64
17086,"Ronaldinho",2010-01-17,550,1410,320
17086,"Ronaldinho",2010-01-18,379,917,204
17086,"Ronaldinho",2010-01-19,188,497,154
17086,"Ronaldinho",2010-01-20,117,355,133
17086,"Ronaldinho",2010-01-21,169,463,132
17086,"Ronaldinho",2010-01-22,189,475,188
17086,"Ronaldinho",2010-01-23,140,305,169
17086,"Ronaldinho",2010-01-24,220,675,345
17086,"Ronaldinho",2010-01-25,115,459,286
17086,"Ronaldinho",2010-01-26,73,197,110
17086,"Ronaldinho",2010-01-27,59,167,124
17086,"Ronaldinho",2010-01-28,66,115,76
17086,"Ronaldinho",2010-01-29,48,150,118
17086,"Ronaldinho",2010-01-30,46,170,96
17086,"Ronaldinho",2010-01-31,74,199,152
17086,"Ronaldinho",2010-02-01,56,198,170
17086,"Ronaldinho",2010-02-02,97,528,446
17086,"Ronaldinho",2010-02-03,289,498,259
17086,"Ronaldinho",2010-02-04,238,759,291
17086,"Ronaldinho",2010-02-05,210,323,173
17086,"Ronaldinho",2010-02-06,157,389,159
17086,"Ronaldinho",2010-02-07,269,484,228
17086,"Ronaldinho",2010-02-08,315,459,227
17086,"Ronaldinho",2010-02-09,337,1052,508
17086,"Ronaldinho",2010-02-10,234,540,328
17086,"Ronaldinho",2010-02-11,271,442,129
17086,"Ronaldinho",2010-02-12,362,676,236
17086,"Ronaldinho",2010-02-13,142,512,452
17086,"Ronaldinho",2010-02-14,234,294,101
17086,"Ronaldinho",2010-02-15,346,429,202
17086,"Ronaldinho",2010-02-16,660,1814,529
17086,"Ronaldinho",2010-02-17,256,632,276
17086,"Ronaldinho",2010-02-18,93,281,119
17086,"Ronaldinho",2010-02-19,72,248,73
17086,"Ronaldinho",2010-02-20,66,246,62
17086,"Ronaldinho",2010-02-21,124,357,106
17086,"Ronaldinho",2010-02-22,151,324,115
17086,"Ronaldinho",2010-02-23,179,350,157
17086,"Ronaldinho",2010-02-24,174,404,165
17086,"Ronaldinho",2010-02-25,110,381,74
17086,"Ronaldinho",2010-02-26,126,375,103
17086,"Ronaldinho",2010-02-27,101,343,91
17086,"Ronaldinho",2010-02-28,150,552,216
17086,"Ronaldinho",2010-03-01,158,414,212
17086,"Ronaldinho",2010-03-02,241,743,245
17086,"Ronaldinho",2010-03-03,146,465,250
17086,"Ronaldinho",2010-03-04,96,260,194
17086,"Ronaldinho",2010-03-05,90,353,151
17086,"Ronaldinho",2010-03-06,122,456,176
17086,"Ronaldinho",2010-03-07,102,276,93
17086,"Ronaldinho",2010-03-08,162,511,142
17086,"Ronaldinho",2010-03-09,184,585,480
17086,"Ronaldinho",2010-03-10,290,1066,500
17086,"Ronaldinho",2010-03-11,138,441,321
17086,"Ronaldinho",2010-03-12,95,265,134
17086,"Ronaldinho",2010-03-13,57,180,75
17086,"Ronaldinho",2010-03-14,59,286,153
17086,"Ronaldinho",2010-03-15,97,294,122
17086,"Ronaldinho",2010-03-16,78,238,100
17086,"Ronaldinho",2010-03-17,68,170,65
17086,"Ronaldinho",2010-03-18,51,144,48
17086,"Ronaldinho",2010-03-19,59,231,66
17086,"Ronaldinho",2010-03-20,58,178,37
17086,"Ronaldinho",2010-03-21,250,602,167
17086,"Ronaldinho",2010-03-22,142,291,114
17086,"Ronaldinho",2010-03-23,97,381,91
17086,"Ronaldinho",2010-03-24,146,635,210
17086,"Ronaldinho",2010-03-25,86,325,145
17086,"Ronaldinho",2010-03-26,120,565,218
17086,"Ronaldinho",2010-03-27,90,320,122
17086,"Ronaldinho",2010-03-28,71,302,128
17086,"Ronaldinho",2010-03-29,102,336,115
17086,"Ronaldinho",2010-03-30,83,376,118
17086,"Ronaldinho",2010-03-31,69,271,65
17086,"Ronaldinho",2010-04-01,76,284,93
17086,"Ronaldinho",2010-04-02,85,358,157
17086,"Ronaldinho",2010-04-03,133,339,174
17086,"Ronaldinho",2010-04-04,83,131,96
17086,"Ronaldinho",2010-04-05,110,189,55
17086,"Ronaldinho",2010-04-06,199,322,82
17086,"Ronaldinho",2010-04-07,159,326,114
17086,"Ronaldinho",2010-04-08,119,358,97
17086,"Ronaldinho",2010-04-09,113,320,112
17086,"Ronaldinho",2010-04-10,110,301,99
17086,"Ronaldinho",2010-04-11,88,373,126
17086,"Ronaldinho",2010-04-12,129,350,185
17086,"Ronaldinho",2010-04-13,162,614,205
17086,"Ronaldinho",2010-04-14,121,298,126
17086,"Ronaldinho",2010-04-15,113,266,141
17086,"Ronaldinho",2010-04-16,113,290,108
17086,"Ronaldinho",2010-04-17,83,203,74
17086,"Ronaldinho",2010-04-18,132,329,99
17086,"Ronaldinho",2010-04-19,124,297,137
17086,"Ronaldinho",2010-04-20,141,520,187
17086,"Ronaldinho",2010-04-21,185,494,229
17086,"Ronaldinho",2010-04-22,144,466,162
17086,"Ronaldinho",2010-04-23,121,486,121
17086,"Ronaldinho",2010-04-24,118,531,134
17086,"Ronaldinho",2010-04-25,99,344,77
17086,"Ronaldinho",2010-04-26,92,271,95
17086,"Ronaldinho",2010-04-27,77,244,101
17086,"Ronaldinho",2010-04-28,147,292,203
17086,"Ronaldinho",2010-04-29,75,308,116
17086,"Ronaldinho",2010-04-30,71,219,72
17086,"Ronaldinho",2010-05-01,251,795,234
17086,"Ronaldinho",2010-05-02,200,447,153
17086,"Ronaldinho",2010-05-03,127,320,113
17086,"Ronaldinho",2010-05-04,102,456,112
17086,"Ronaldinho",2010-05-05,83,235,90
17086,"Ronaldinho",2010-05-06,100,268,76
17086,"Ronaldinho",2010-05-07,115,256,91
17086,"Ronaldinho",2010-05-08,73,266,82
17086,"Ronaldinho",2010-05-09,97,291,105
17086,"Ronaldinho",2010-05-10,269,658,334
17086,"Ronaldinho",2010-05-11,1797,4357,2143
17086,"Ronaldinho",2010-05-12,605,1624,973
17086,"Ronaldinho",2010-05-13,234,602,458
17086,"Ronaldinho",2010-05-14,142,476,297
17086,"Ronaldinho",2010-05-15,357,969,352
17086,"Ronaldinho",2010-05-16,283,853,259
17086,"Ronaldinho",2010-05-17,269,839,385
17086,"Ronaldinho",2010-05-18,158,482,246
17086,"Ronaldinho",2010-05-19,200,517,272
17086,"Ronaldinho",2010-05-20,213,567,247
17086,"Ronaldinho",2010-05-21,340,732,319
17086,"Ronaldinho",2010-05-22,209,387,216
17086,"Ronaldinho",2010-05-23,208,338,140
17086,"Ronaldinho",2010-05-24,177,364,206
17086,"Ronaldinho",2010-05-25,200,361,176
17086,"Ronaldinho",2010-05-26,197,484,193
17086,"Ronaldinho",2010-05-27,202,440,210
17086,"Ronaldinho",2010-05-28,164,431,246
17086,"Ronaldinho",2010-05-29,119,307,165
17086,"Ronaldinho",2010-05-30,190,345,179
17086,"Ronaldinho",2010-05-31,175,465,272
17086,"Ronaldinho",2010-06-01,167,448,189
17086,"Ronaldinho",2010-06-02,199,605,221
17086,"Ronaldinho",2010-06-03,222,596,243
17086,"Ronaldinho",2010-06-04,220,663,241
17086,"Ronaldinho",2010-06-05,161,615,196
17086,"Ronaldinho",2010-06-06,156,572,218
17086,"Ronaldinho",2010-06-07,213,648,271
17086,"Ronaldinho",2010-06-08,253,634,327
17086,"Ronaldinho",2010-06-09,216,639,314
17086,"Ronaldinho",2010-06-10,260,617,338
17086,"Ronaldinho",2010-06-11,262,617,298
17086,"Ronaldinho",2010-06-12,192,465,213
17086,"Ronaldinho",2010-06-13,174,513,329
17086,"Ronaldinho",2010-06-14,229,525,282
17086,"Ronaldinho",2010-06-15,662,1434,802
17086,"Ronaldinho",2010-06-16,271,556,274
17086,"Ronaldinho",2010-06-17,263,514,306
17086,"Ronaldinho",2010-06-18,149,457,289
17086,"Ronaldinho",2010-06-19,155,380,155
17086,"Ronaldinho",2010-06-20,263,553,245
17086,"Ronaldinho",2010-06-21,166,363,185
17086,"Ronaldinho",2010-06-22,137,387,164
17086,"Ronaldinho",2010-06-23,133,399,130
17086,"Ronaldinho",2010-06-24,174,303,145
17086,"Ronaldinho",2010-06-25,305,748,269
17086,"Ronaldinho",2010-06-26,110,321,129
17086,"Ronaldinho",2010-06-27,158,454,187
17086,"Ronaldinho",2010-06-28,223,404,224
17086,"Ronaldinho",2010-06-29,171,422,319
17086,"Ronaldinho",2010-06-30,213,616,288
17086,"Ronaldinho",2010-07-01,368,825,295
17086,"Ronaldinho",2010-07-02,3563,9784,2306
17086,"Ronaldinho",2010-07-03,718,1974,597
17086,"Ronaldinho",2010-07-04,388,1490,417
17086,"Ronaldinho",2010-07-05,1204,4299,806
17086,"Ronaldinho",2010-07-06,599,2123,785
17086,"Ronaldinho",2010-07-07,673,2178,389
17086,"Ronaldinho",2010-07-08,533,1501,316
17086,"Ronaldinho",2010-07-09,479,1552,246
17086,"Ronaldinho",2010-07-10,278,986,153
17086,"Ronaldinho",2010-07-11,552,1639,271
17086,"Ronaldinho",2010-07-12,423,1500,343
17086,"Ronaldinho",2010-07-13,894,3492,576
17086,"Ronaldinho",2010-07-14,442,2307,397
17086,"Ronaldinho",2010-07-15,426,2654,381
17086,"Ronaldinho",2010-07-16,436,2573,355
17086,"Ronaldinho",2010-07-17,320,1702,308
17086,"Ronaldinho",2010-07-18,526,2473,416
17086,"Ronaldinho",2010-07-19,593,3178,387
17086,"Ronaldinho",2010-07-20,606,3147,512
17086,"Ronaldinho",2010-07-21,648,2266,435
17086,"Ronaldinho",2010-07-22,446,1384,318
17086,"Ronaldinho",2010-07-23,569,1580,248
17086,"Ronaldinho",2010-07-24,240,980,154
17086,"Ronaldinho",2010-07-25,224,1258,188
17086,"Ronaldinho",2010-07-26,443,2070,415
17086,"Ronaldinho",2010-07-27,626,2018,299
17086,"Ronaldinho",2010-07-28,263,942,150
17086,"Ronaldinho",2010-07-29,452,2647,594
17086,"Ronaldinho",2010-07-30,408,2255,375
17086,"Ronaldinho",2010-07-31,205,1135,159
17086,"Ronaldinho",2010-08-01,315,778,128
17086,"Ronaldinho",2010-08-02,229,702,154
17086,"Ronaldinho",2010-08-03,248,968,152
17086,"Ronaldinho",2010-08-04,382,1375,248
17086,"Ronaldinho",2010-08-05,1447,3572,576
17086,"Ronaldinho",2010-08-06,626,2979,407
17086,"Ronaldinho",2010-08-07,241,1013,218
17086,"Ronaldinho",2010-08-08,194,660,152
17086,"Ronaldinho",2010-08-09,191,893,125
17086,"Ronaldinho",2010-08-10,339,836,170
17086,"Ronaldinho",2010-08-11,325,761,149
17086,"Ronaldinho",2010-08-12,233,782,198
17086,"Ronaldinho",2010-08-13,596,1906,275
17086,"Ronaldinho",2010-08-14,255,864,164
17086,"Ronaldinho",2010-08-15,268,841,137
17086,"Ronaldinho",2010-08-16,322,870,220
17086,"Ronaldinho",2010-08-17,269,844,170
17086,"Ronaldinho",2010-08-18,286,910,179
17086,"Ronaldinho",2010-08-19,464,1635,357
17086,"Ronaldinho",2010-08-20,212,774,209
17086,"Ronaldinho",2010-08-21,157,522,123
17086,"Ronaldinho",2010-08-22,326,782,180
17086,"Ronaldinho",2010-08-23,378,1068,240
17086,"Ronaldinho",2010-08-24,764,2004,291
17086,"Ronaldinho",2010-08-25,3198,5432,776
17086,"Ronaldinho",2010-08-26,1187,2511,394
17086,"Ronaldinho",2010-08-27,436,1120,218
17086,"Ronaldinho",2010-08-28,527,1040,282
17086,"Ronaldinho",2010-08-29,1411,2346,408
17086,"Ronaldinho",2010-08-30,747,1553,312
17086,"Ronaldinho",2010-08-31,1636,3560,674
17086,"Ronaldinho",2010-09-01,764,1395,343
17086,"Ronaldinho",2010-09-02,311,922,204
17086,"Ronaldinho",2010-09-03,344,1049,183
17086,"Ronaldinho",2010-09-04,294,752,168
17086,"Ronaldinho",2010-09-05,483,888,166
17086,"Ronaldinho",2010-09-06,543,1607,257
17086,"Ronaldinho",2010-09-07,283,772,249
17086,"Ronaldinho",2010-09-08,351,710,216
17086,"Ronaldinho",2010-09-09,440,869,228
17086,"Ronaldinho",2010-09-10,469,1287,288
17086,"Ronaldinho",2010-09-11,577,1539,396
17086,"Ronaldinho",2010-09-12,316,745,274
17086,"Ronaldinho",2010-09-13,273,731,213
17086,"Ronaldinho",2010-09-14,412,802,204
17086,"Ronaldinho",2010-09-15,3656,6233,1174
17086,"Ronaldinho",2010-09-16,975,1814,510
17086,"Ronaldinho",2010-09-17,431,1274,313
17086,"Ronaldinho",2010-09-18,800,1929,527
17086,"Ronaldinho",2010-09-19,748,1750,398
17086,"Ronaldinho",2010-09-20,293,937,160
17086,"Ronaldinho",2010-09-21,366,863,218
17086,"Ronaldinho",2010-09-22,487,1221,288
17086,"Ronaldinho",2010-09-23,455,1274,242
17086,"Ronaldinho",2010-09-24,232,890,170
17086,"Ronaldinho",2010-09-25,420,1450,317
17086,"Ronaldinho",2010-09-26,196,674,166
17086,"Ronaldinho",2010-09-27,321,1259,335
17086,"Ronaldinho",2010-09-28,1221,3259,698
17086,"Ronaldinho",2010-09-29,222,742,239
17086,"Ronaldinho",2010-09-30,191,600,133
17086,"Ronaldinho",2010-10-01,248,867,178
17086,"Ronaldinho",2010-10-02,380,1177,250
17086,"Ronaldinho",2010-10-03,369,681,187
17086,"Ronaldinho",2010-10-04,259,743,116
17086,"Ronaldinho",2010-10-05,153,576,96
17086,"Ronaldinho",2010-10-06,227,856,149
17086,"Ronaldinho",2010-10-07,455,1165,331
17086,"Ronaldinho",2010-10-08,572,1961,527
17086,"Ronaldinho",2010-10-09,249,811,260
17086,"Ronaldinho",2010-10-10,189,696,157
17086,"Ronaldinho",2010-10-11,357,893,193
17086,"Ronaldinho",2010-10-12,240,793,184
17086,"Ronaldinho",2010-10-13,289,1338,125
17086,"Ronaldinho",2010-10-14,346,1738,175
17086,"Ronaldinho",2010-10-15,656,1680,221
17086,"Ronaldinho",2010-10-16,1250,2647,355
17086,"Ronaldinho",2010-10-17,617,1947,276
17086,"Ronaldinho",2010-10-18,1100,3541,783
17086,"Ronaldinho",2010-10-19,3268,7925,1948
17086,"Ronaldinho",2010-10-20,597,1883,386
17086,"Ronaldinho",2010-10-21,297,926,251
17086,"Ronaldinho",2010-10-22,285,908,223
17086,"Ronaldinho",2010-10-23,253,816,152
17086,"Ronaldinho",2010-10-24,196,716,179
17086,"Ronaldinho",2010-10-25,361,1716,381
17086,"Ronaldinho",2010-10-26,246,830,182
17086,"Ronaldinho",2010-10-27,256,689,169
17086,"Ronaldinho",2010-10-28,224,981,149
17086,"Ronaldinho",2010-10-29,6285,12504,1454
17086,"Ronaldinho",2010-10-30,714,1906,442
17086,"Ronaldinho",2010-10-31,286,814,169
17086,"Ronaldinho",2010-11-01,410,1539,423
17086,"Ronaldinho",2010-11-02,258,1484,469
17086,"Ronaldinho",2010-11-03,1606,3722,1190
17086,"Ronaldinho",2010-11-04,272,851,278
17086,"Ronaldinho",2010-11-05,280,744,159
17086,"Ronaldinho",2010-11-06,208,645,116
17086,"Ronaldinho",2010-11-07,225,667,183
17086,"Ronaldinho",2010-11-08,254,724,244
17086,"Ronaldinho",2010-11-09,334,1147,230
17086,"Ronaldinho",2010-11-10,405,1606,289
17086,"Ronaldinho",2010-11-11,270,848,259
17086,"Ronaldinho",2010-11-12,296,881,189
17086,"Ronaldinho",2010-11-13,186,829,174
17086,"Ronaldinho",2010-11-14,420,1201,299
17086,"Ronaldinho",2010-11-15,644,1732,262
17086,"Ronaldinho",2010-11-16,1638,4432,569
17086,"Ronaldinho",2010-11-17,10005,17980,2706
17086,"Ronaldinho",2010-11-18,496,1675,359
17086,"Ronaldinho",2010-11-19,467,2168,650
17086,"Ronaldinho",2010-11-20,376,1652,454
