"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
17126,"Jose Mourinho",2010-01-01,10,87,11
17126,"Jose Mourinho",2010-01-02,19,146,42
17126,"Jose Mourinho",2010-01-03,19,146,34
17126,"Jose Mourinho",2010-01-04,26,169,176
17126,"Jose Mourinho",2010-01-05,28,138,288
17126,"Jose Mourinho",2010-01-06,28,449,139
17126,"Jose Mourinho",2010-01-07,21,449,48
17126,"Jose Mourinho",2010-01-08,59,410,33
17126,"Jose Mourinho",2010-01-09,27,138,45
17126,"Jose Mourinho",2010-01-10,14,125,279
17126,"Jose Mourinho",2010-01-11,10,145,52
17126,"Jose Mourinho",2010-01-12,9,96,26
17126,"Jose Mourinho",2010-01-13,14,99,16
17126,"Jose Mourinho",2010-01-14,17,49,25
17126,"Jose Mourinho",2010-01-15,15,87,24
17126,"Jose Mourinho",2010-01-16,19,114,32
17126,"Jose Mourinho",2010-01-17,14,68,18
17126,"Jose Mourinho",2010-01-18,52,105,278
17126,"Jose Mourinho",2010-01-19,21,86,25
17126,"Jose Mourinho",2010-01-20,8,70,9
17126,"Jose Mourinho",2010-01-21,11,73,22
17126,"Jose Mourinho",2010-01-22,18,135,34
17126,"Jose Mourinho",2010-01-23,20,97,40
17126,"Jose Mourinho",2010-01-24,28,211,42
17126,"Jose Mourinho",2010-01-25,26,154,46
17126,"Jose Mourinho",2010-01-26,24,195,37
17126,"Jose Mourinho",2010-01-27,20,102,19
17126,"Jose Mourinho",2010-01-28,15,100,34
17126,"Jose Mourinho",2010-01-29,10,87,17
17126,"Jose Mourinho",2010-01-30,22,94,25
17126,"Jose Mourinho",2010-01-31,6,62,14
17126,"Jose Mourinho",2010-02-01,11,96,18
17126,"Jose Mourinho",2010-02-02,19,142,41
17126,"Jose Mourinho",2010-02-03,25,130,38
17126,"Jose Mourinho",2010-02-04,23,202,73
17126,"Jose Mourinho",2010-02-05,22,220,47
17126,"Jose Mourinho",2010-02-06,13,210,25
17126,"Jose Mourinho",2010-02-07,14,196,55
17126,"Jose Mourinho",2010-02-08,8,86,28
17126,"Jose Mourinho",2010-02-09,12,129,23
17126,"Jose Mourinho",2010-02-10,26,214,66
17126,"Jose Mourinho",2010-02-11,18,255,58
17126,"Jose Mourinho",2010-02-12,19,124,243
17126,"Jose Mourinho",2010-02-13,5,95,18
