"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
17141,"Josh Gordon",2010-01-01,0,1,0
17141,"Josh Gordon",2010-01-02,0,1,0
17141,"Josh Gordon",2010-01-03,0,1,0
17141,"Josh Gordon",2010-01-04,0,0,1
17141,"Josh Gordon",2010-01-05,0,0,3
17141,"Josh Gordon",2010-01-06,0,1,0
17141,"Josh Gordon",2010-01-07,2,2,2
17141,"Josh Gordon",2010-01-08,1,1,0
17141,"Josh Gordon",2010-01-09,0,3,0
17141,"Josh Gordon",2010-01-10,0,2,0
17141,"Josh Gordon",2010-01-11,0,3,0
17141,"Josh Gordon",2010-01-12,0,2,0
17141,"Josh Gordon",2010-01-13,0,6,0
17141,"Josh Gordon",2010-01-14,1,15,0
17141,"Josh Gordon",2010-01-15,0,4,0
17141,"Josh Gordon",2010-01-16,1,3,1
17141,"Josh Gordon",2010-01-17,1,2,2
17141,"Josh Gordon",2010-01-18,0,2,0
17141,"Josh Gordon",2010-01-19,1,5,0
17141,"Josh Gordon",2010-01-20,2,7,0
17141,"Josh Gordon",2010-01-21,0,3,1
17141,"Josh Gordon",2010-01-22,0,1,0
17141,"Josh Gordon",2010-01-23,0,1,0
17141,"Josh Gordon",2010-01-24,0,2,0
17141,"Josh Gordon",2010-01-25,1,4,0
17141,"Josh Gordon",2010-01-26,0,2,0
17141,"Josh Gordon",2010-01-27,0,3,0
17141,"Josh Gordon",2010-01-28,0,1,0
17141,"Josh Gordon",2010-01-29,0,2,4
17141,"Josh Gordon",2010-01-30,0,1,0
17141,"Josh Gordon",2010-01-31,1,0,4
17141,"Josh Gordon",2010-02-01,0,3,0
17141,"Josh Gordon",2010-02-02,1,0,1
17141,"Josh Gordon",2010-02-03,0,0,0
17141,"Josh Gordon",2010-02-04,0,1,0
17141,"Josh Gordon",2010-02-05,0,1,0
17141,"Josh Gordon",2010-02-06,0,6,1
17141,"Josh Gordon",2010-02-07,0,2,1
17141,"Josh Gordon",2010-02-08,0,17,0
17141,"Josh Gordon",2010-02-09,0,3,1
17141,"Josh Gordon",2010-02-10,0,1,0
17141,"Josh Gordon",2010-02-11,2,0,0
17141,"Josh Gordon",2010-02-12,1,3,0
17141,"Josh Gordon",2010-02-13,0,3,0
17141,"Josh Gordon",2010-02-14,2,0,0
17141,"Josh Gordon",2010-02-15,0,3,0
17141,"Josh Gordon",2010-02-16,0,3,0
17141,"Josh Gordon",2010-02-17,0,8,0
17141,"Josh Gordon",2010-02-18,0,4,0
17141,"Josh Gordon",2010-02-19,1,2,4
17141,"Josh Gordon",2010-02-20,1,1,4
17141,"Josh Gordon",2010-02-21,0,1,0
17141,"Josh Gordon",2010-02-22,0,4,0
17141,"Josh Gordon",2010-02-23,2,0,0
17141,"Josh Gordon",2010-02-24,0,3,0
17141,"Josh Gordon",2010-02-25,0,1,0
17141,"Josh Gordon",2010-02-26,0,0,1
17141,"Josh Gordon",2010-02-27,1,4,0
17141,"Josh Gordon",2010-02-28,0,4,0
17141,"Josh Gordon",2010-03-01,0,3,1
17141,"Josh Gordon",2010-03-02,0,4,0
17141,"Josh Gordon",2010-03-03,0,0,1
17141,"Josh Gordon",2010-03-04,0,3,0
17141,"Josh Gordon",2010-03-05,0,1,0
17141,"Josh Gordon",2010-03-06,0,1,0
17141,"Josh Gordon",2010-03-07,0,3,0
17141,"Josh Gordon",2010-03-08,0,2,2
17141,"Josh Gordon",2010-03-09,0,1,1
17141,"Josh Gordon",2010-03-10,0,1,0
17141,"Josh Gordon",2010-03-11,0,4,0
17141,"Josh Gordon",2010-03-12,0,3,0
17141,"Josh Gordon",2010-03-13,0,0,7
17141,"Josh Gordon",2010-03-14,1,2,1
17141,"Josh Gordon",2010-03-15,1,0,0
17141,"Josh Gordon",2010-03-16,0,2,0
17141,"Josh Gordon",2010-03-17,0,4,0
17141,"Josh Gordon",2010-03-18,3,17,5
17141,"Josh Gordon",2010-03-19,3,20,2
17141,"Josh Gordon",2010-03-20,0,11,1
17141,"Josh Gordon",2010-03-21,2,8,1
17141,"Josh Gordon",2010-03-22,0,12,3
17141,"Josh Gordon",2010-03-23,0,10,0
17141,"Josh Gordon",2010-03-24,0,10,1
17141,"Josh Gordon",2010-03-25,0,7,1
17141,"Josh Gordon",2010-03-26,1,4,0
17141,"Josh Gordon",2010-03-27,2,5,1
17141,"Josh Gordon",2010-03-28,0,10,1
17141,"Josh Gordon",2010-03-29,0,9,1
17141,"Josh Gordon",2010-03-30,0,10,0
17141,"Josh Gordon",2010-03-31,1,12,1
17141,"Josh Gordon",2010-04-01,0,11,0
17141,"Josh Gordon",2010-04-02,0,4,0
17141,"Josh Gordon",2010-04-03,1,6,2
17141,"Josh Gordon",2010-04-04,1,7,1
17141,"Josh Gordon",2010-04-05,0,6,0
17141,"Josh Gordon",2010-04-06,0,5,1
17141,"Josh Gordon",2010-04-07,0,4,0
17141,"Josh Gordon",2010-04-08,0,4,0
17141,"Josh Gordon",2010-04-09,0,9,0
17141,"Josh Gordon",2010-04-10,0,6,1
17141,"Josh Gordon",2010-04-11,0,3,4
17141,"Josh Gordon",2010-04-12,1,3,2
17141,"Josh Gordon",2010-04-13,0,3,3
17141,"Josh Gordon",2010-04-14,0,3,4
17141,"Josh Gordon",2010-04-15,0,2,3
17141,"Josh Gordon",2010-04-16,0,2,4
17141,"Josh Gordon",2010-04-17,1,2,2
17141,"Josh Gordon",2010-04-18,1,2,2
17141,"Josh Gordon",2010-04-19,0,2,2
17141,"Josh Gordon",2010-04-20,0,3,1
17141,"Josh Gordon",2010-04-21,1,6,1
17141,"Josh Gordon",2010-04-22,0,0,3
17141,"Josh Gordon",2010-04-23,1,9,3
17141,"Josh Gordon",2010-04-24,1,4,2
17141,"Josh Gordon",2010-04-25,1,4,3
17141,"Josh Gordon",2010-04-26,1,1,1
17141,"Josh Gordon",2010-04-27,1,1,2
17141,"Josh Gordon",2010-04-28,3,5,3
17141,"Josh Gordon",2010-04-29,0,6,2
17141,"Josh Gordon",2010-04-30,0,2,4
17141,"Josh Gordon",2010-05-01,0,4,1
17141,"Josh Gordon",2010-05-02,0,5,0
17141,"Josh Gordon",2010-05-03,0,5,0
17141,"Josh Gordon",2010-05-04,0,5,0
17141,"Josh Gordon",2010-05-05,1,5,0
17141,"Josh Gordon",2010-05-06,1,4,0
17141,"Josh Gordon",2010-05-07,0,8,0
17141,"Josh Gordon",2010-05-08,1,3,1
17141,"Josh Gordon",2010-05-09,1,2,0
17141,"Josh Gordon",2010-05-10,0,3,0
17141,"Josh Gordon",2010-05-11,0,4,0
17141,"Josh Gordon",2010-05-12,1,5,2
17141,"Josh Gordon",2010-05-13,0,5,0
17141,"Josh Gordon",2010-05-14,0,5,0
17141,"Josh Gordon",2010-05-15,1,5,0
17141,"Josh Gordon",2010-05-16,1,2,0
17141,"Josh Gordon",2010-05-17,0,5,0
17141,"Josh Gordon",2010-05-18,1,6,0
17141,"Josh Gordon",2010-05-19,1,4,0
17141,"Josh Gordon",2010-05-20,0,5,2
17141,"Josh Gordon",2010-05-21,1,28,0
17141,"Josh Gordon",2010-05-22,1,8,0
17141,"Josh Gordon",2010-05-23,1,9,0
17141,"Josh Gordon",2010-05-24,0,8,0
17141,"Josh Gordon",2010-05-25,1,14,0
17141,"Josh Gordon",2010-05-26,1,4,1
17141,"Josh Gordon",2010-05-27,2,5,1
17141,"Josh Gordon",2010-05-28,0,4,2
17141,"Josh Gordon",2010-05-29,2,9,0
17141,"Josh Gordon",2010-05-30,1,8,2
17141,"Josh Gordon",2010-05-31,0,4,1
17141,"Josh Gordon",2010-06-01,0,6,0
17141,"Josh Gordon",2010-06-02,2,10,3
17141,"Josh Gordon",2010-06-03,0,6,1
17141,"Josh Gordon",2010-06-04,0,7,1
17141,"Josh Gordon",2010-06-05,1,4,0
17141,"Josh Gordon",2010-06-06,0,0,1
17141,"Josh Gordon",2010-06-07,4,19,11
17141,"Josh Gordon",2010-06-08,3,8,2
17141,"Josh Gordon",2010-06-09,1,5,1
17141,"Josh Gordon",2010-06-10,0,6,0
17141,"Josh Gordon",2010-06-11,1,6,1
17141,"Josh Gordon",2010-06-12,1,5,1
17141,"Josh Gordon",2010-06-13,1,10,0
17141,"Josh Gordon",2010-06-14,0,5,0
17141,"Josh Gordon",2010-06-15,0,7,0
17141,"Josh Gordon",2010-06-16,0,8,1
17141,"Josh Gordon",2010-06-17,0,9,0
17141,"Josh Gordon",2010-06-18,0,7,0
17141,"Josh Gordon",2010-06-19,0,26,3
17141,"Josh Gordon",2010-06-20,0,7,2
17141,"Josh Gordon",2010-06-21,1,7,0
17141,"Josh Gordon",2010-06-22,0,6,0
17141,"Josh Gordon",2010-06-23,0,6,1
17141,"Josh Gordon",2010-06-24,0,13,0
17141,"Josh Gordon",2010-06-25,0,6,1
17141,"Josh Gordon",2010-06-26,0,2,5
17141,"Josh Gordon",2010-06-27,1,3,2
17141,"Josh Gordon",2010-06-28,3,3,1
17141,"Josh Gordon",2010-06-29,4,3,1
17141,"Josh Gordon",2010-06-30,2,1,0
17141,"Josh Gordon",2010-07-01,3,2,1
17141,"Josh Gordon",2010-07-02,3,2,0
17141,"Josh Gordon",2010-07-03,5,2,2
17141,"Josh Gordon",2010-07-04,3,2,1
17141,"Josh Gordon",2010-07-05,1,1,3
17141,"Josh Gordon",2010-07-06,2,9,1
17141,"Josh Gordon",2010-07-07,2,6,0
17141,"Josh Gordon",2010-07-08,1,7,0
17141,"Josh Gordon",2010-07-09,0,7,1
17141,"Josh Gordon",2010-07-10,2,3,1
17141,"Josh Gordon",2010-07-11,0,2,0
17141,"Josh Gordon",2010-07-12,1,6,0
17141,"Josh Gordon",2010-07-13,0,2,0
17141,"Josh Gordon",2010-07-14,0,13,5
17141,"Josh Gordon",2010-07-15,1,5,1
17141,"Josh Gordon",2010-07-16,1,2,0
17141,"Josh Gordon",2010-07-17,1,2,1
17141,"Josh Gordon",2010-07-18,2,2,0
17141,"Josh Gordon",2010-07-19,2,5,1
17141,"Josh Gordon",2010-07-20,3,9,0
17141,"Josh Gordon",2010-07-21,2,23,1
17141,"Josh Gordon",2010-07-22,3,21,0
17141,"Josh Gordon",2010-07-23,4,6,0
17141,"Josh Gordon",2010-07-24,1,5,0
17141,"Josh Gordon",2010-07-25,0,6,0
17141,"Josh Gordon",2010-07-26,1,3,2
17141,"Josh Gordon",2010-07-27,3,4,2
