"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
17830,"Keenan Allen",2010-01-01,0,1,0
17830,"Keenan Allen",2010-01-02,1,0,0
17830,"Keenan Allen",2010-01-03,0,2,0
17830,"Keenan Allen",2010-01-04,1,4,0
17830,"Keenan Allen",2010-01-05,2,5,0
17830,"Keenan Allen",2010-01-06,1,0,0
17830,"Keenan Allen",2010-01-07,2,1,0
17830,"Keenan Allen",2010-01-08,1,3,0
17830,"Keenan Allen",2010-01-09,1,6,1
17830,"Keenan Allen",2010-01-10,0,0,0
17830,"Keenan Allen",2010-01-11,0,3,0
17830,"Keenan Allen",2010-01-12,3,0,0
17830,"Keenan Allen",2010-01-13,4,9,0
17830,"Keenan Allen",2010-01-14,4,5,0
17830,"Keenan Allen",2010-01-15,1,3,1
17830,"Keenan Allen",2010-01-16,0,0,0
17830,"Keenan Allen",2010-01-17,0,15,0
17830,"Keenan Allen",2010-01-18,0,5,0
17830,"Keenan Allen",2010-01-19,1,15,0
17830,"Keenan Allen",2010-01-20,1,4,1
17830,"Keenan Allen",2010-01-21,0,10,2
17830,"Keenan Allen",2010-01-22,0,17,0
17830,"Keenan Allen",2010-01-23,1,12,2
17830,"Keenan Allen",2010-01-24,4,10,1
17830,"Keenan Allen",2010-01-25,2,10,0
17830,"Keenan Allen",2010-01-26,3,14,0
17830,"Keenan Allen",2010-01-27,0,11,0
17830,"Keenan Allen",2010-01-28,1,37,1
17830,"Keenan Allen",2010-01-29,2,15,4
17830,"Keenan Allen",2010-01-30,1,3,2
17830,"Keenan Allen",2010-01-31,0,7,1
17830,"Keenan Allen",2010-02-01,7,41,7
17830,"Keenan Allen",2010-02-02,10,55,14
17830,"Keenan Allen",2010-02-03,53,249,43
17830,"Keenan Allen",2010-02-04,9,29,15
17830,"Keenan Allen",2010-02-05,3,17,3
17830,"Keenan Allen",2010-02-06,3,6,0
17830,"Keenan Allen",2010-02-07,2,3,0
17830,"Keenan Allen",2010-02-08,1,2,0
17830,"Keenan Allen",2010-02-09,1,1,1
17830,"Keenan Allen",2010-02-10,5,1,4
17830,"Keenan Allen",2010-02-11,0,0,0
17830,"Keenan Allen",2010-02-12,0,3,1
17830,"Keenan Allen",2010-02-13,0,0,0
17830,"Keenan Allen",2010-02-14,0,12,0
17830,"Keenan Allen",2010-02-15,0,3,0
17830,"Keenan Allen",2010-02-16,1,1,0
17830,"Keenan Allen",2010-02-17,0,2,1
17830,"Keenan Allen",2010-02-18,0,0,0
17830,"Keenan Allen",2010-02-19,0,3,0
17830,"Keenan Allen",2010-02-20,2,16,0
17830,"Keenan Allen",2010-02-21,1,0,0
17830,"Keenan Allen",2010-02-22,0,5,0
17830,"Keenan Allen",2010-02-23,0,0,1
17830,"Keenan Allen",2010-02-24,1,0,0
17830,"Keenan Allen",2010-02-25,0,0,0
17830,"Keenan Allen",2010-02-26,1,2,0
17830,"Keenan Allen",2010-02-27,0,1,0
17830,"Keenan Allen",2010-02-28,0,0,0
17830,"Keenan Allen",2010-03-01,0,1,0
17830,"Keenan Allen",2010-03-02,0,1,0
17830,"Keenan Allen",2010-03-03,0,0,0
17830,"Keenan Allen",2010-03-04,0,1,0
17830,"Keenan Allen",2010-03-05,0,0,0
17830,"Keenan Allen",2010-03-06,0,0,0
17830,"Keenan Allen",2010-03-07,0,0,0
17830,"Keenan Allen",2010-03-08,0,0,0
17830,"Keenan Allen",2010-03-09,0,0,1
17830,"Keenan Allen",2010-03-10,0,1,0
17830,"Keenan Allen",2010-03-11,0,2,0
17830,"Keenan Allen",2010-03-12,0,0,0
17830,"Keenan Allen",2010-03-13,0,0,0
17830,"Keenan Allen",2010-03-14,1,1,1
17830,"Keenan Allen",2010-03-15,1,4,2
17830,"Keenan Allen",2010-03-16,0,1,0
17830,"Keenan Allen",2010-03-17,0,0,0
17830,"Keenan Allen",2010-03-18,0,0,0
17830,"Keenan Allen",2010-03-19,0,0,0
17830,"Keenan Allen",2010-03-20,0,0,0
17830,"Keenan Allen",2010-03-21,0,1,0
17830,"Keenan Allen",2010-03-22,0,0,0
17830,"Keenan Allen",2010-03-23,0,0,0
17830,"Keenan Allen",2010-03-24,0,0,0
17830,"Keenan Allen",2010-03-25,1,0,0
17830,"Keenan Allen",2010-03-26,0,1,0
17830,"Keenan Allen",2010-03-27,0,0,0
17830,"Keenan Allen",2010-03-28,0,0,0
17830,"Keenan Allen",2010-03-29,1,1,0
17830,"Keenan Allen",2010-03-30,0,0,0
17830,"Keenan Allen",2010-03-31,0,0,0
17830,"Keenan Allen",2010-04-01,0,0,0
17830,"Keenan Allen",2010-04-02,0,0,0
17830,"Keenan Allen",2010-04-03,0,0,0
17830,"Keenan Allen",2010-04-04,0,0,0
17830,"Keenan Allen",2010-04-05,0,0,0
17830,"Keenan Allen",2010-04-06,0,1,0
