"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
18744,"DeMarco Murray",2010-01-01,11,6,1
18744,"DeMarco Murray",2010-01-02,1,6,1
18744,"DeMarco Murray",2010-01-03,1,3,1
18744,"DeMarco Murray",2010-01-04,1,3,0
18744,"DeMarco Murray",2010-01-05,1,3,1
18744,"DeMarco Murray",2010-01-06,2,2,1
18744,"DeMarco Murray",2010-01-07,1,2,4
18744,"DeMarco Murray",2010-01-08,1,6,1
18744,"DeMarco Murray",2010-01-09,0,1,1
18744,"DeMarco Murray",2010-01-10,0,3,4
18744,"DeMarco Murray",2010-01-11,1,4,0
18744,"DeMarco Murray",2010-01-12,1,6,3
18744,"DeMarco Murray",2010-01-13,0,1,0
18744,"DeMarco Murray",2010-01-14,0,5,1
18744,"DeMarco Murray",2010-01-15,6,57,1
18744,"DeMarco Murray",2010-01-16,2,6,2
18744,"DeMarco Murray",2010-01-17,0,4,0
18744,"DeMarco Murray",2010-01-18,1,5,2
18744,"DeMarco Murray",2010-01-19,1,3,0
18744,"DeMarco Murray",2010-01-20,1,0,1
18744,"DeMarco Murray",2010-01-21,0,5,1
18744,"DeMarco Murray",2010-01-22,1,0,0
18744,"DeMarco Murray",2010-01-23,0,0,1
18744,"DeMarco Murray",2010-01-24,0,4,0
18744,"DeMarco Murray",2010-01-25,1,1,1
18744,"DeMarco Murray",2010-01-26,0,2,0
18744,"DeMarco Murray",2010-01-27,0,3,2
18744,"DeMarco Murray",2010-01-28,0,0,0
18744,"DeMarco Murray",2010-01-29,0,0,1
18744,"DeMarco Murray",2010-01-30,1,0,0
18744,"DeMarco Murray",2010-01-31,1,1,2
18744,"DeMarco Murray",2010-02-01,0,2,0
18744,"DeMarco Murray",2010-02-02,1,2,0
18744,"DeMarco Murray",2010-02-03,0,3,1
18744,"DeMarco Murray",2010-02-04,0,0,0
18744,"DeMarco Murray",2010-02-05,2,0,0
18744,"DeMarco Murray",2010-02-06,0,0,0
18744,"DeMarco Murray",2010-02-07,1,2,0
18744,"DeMarco Murray",2010-02-08,0,1,0
18744,"DeMarco Murray",2010-02-09,0,1,2
18744,"DeMarco Murray",2010-02-10,1,25,1
18744,"DeMarco Murray",2010-02-11,0,8,1
18744,"DeMarco Murray",2010-02-12,0,1,1
18744,"DeMarco Murray",2010-02-13,0,2,0
18744,"DeMarco Murray",2010-02-14,0,0,2
18744,"DeMarco Murray",2010-02-15,0,0,1
18744,"DeMarco Murray",2010-02-16,1,2,0
18744,"DeMarco Murray",2010-02-17,2,1,0
