"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
20644,"Ricky Whittle",2010-01-01,3,17,1
20644,"Ricky Whittle",2010-01-02,2,12,0
20644,"Ricky Whittle",2010-01-03,3,13,0
20644,"Ricky Whittle",2010-01-04,11,24,0
20644,"Ricky Whittle",2010-01-05,2,22,1
20644,"Ricky Whittle",2010-01-06,3,20,2
20644,"Ricky Whittle",2010-01-07,8,21,0
20644,"Ricky Whittle",2010-01-08,2,20,0
20644,"Ricky Whittle",2010-01-09,2,13,0
20644,"Ricky Whittle",2010-01-10,1,14,1
20644,"Ricky Whittle",2010-01-11,1,10,0
20644,"Ricky Whittle",2010-01-12,1,17,2
20644,"Ricky Whittle",2010-01-13,0,5,0
20644,"Ricky Whittle",2010-01-14,8,284,1
20644,"Ricky Whittle",2010-01-15,2,392,206
20644,"Ricky Whittle",2010-01-16,2,21,2
20644,"Ricky Whittle",2010-01-17,0,11,0
20644,"Ricky Whittle",2010-01-18,0,17,0
20644,"Ricky Whittle",2010-01-19,0,11,0
20644,"Ricky Whittle",2010-01-20,3,30,4
20644,"Ricky Whittle",2010-01-21,1,25,2
20644,"Ricky Whittle",2010-01-22,6,20,0
20644,"Ricky Whittle",2010-01-23,1,10,2
20644,"Ricky Whittle",2010-01-24,2,12,1
20644,"Ricky Whittle",2010-01-25,2,9,2
20644,"Ricky Whittle",2010-01-26,2,6,0
20644,"Ricky Whittle",2010-01-27,0,6,0
20644,"Ricky Whittle",2010-01-28,0,6,0
20644,"Ricky Whittle",2010-01-29,1,9,1
20644,"Ricky Whittle",2010-01-30,0,5,1
20644,"Ricky Whittle",2010-01-31,1,6,0
20644,"Ricky Whittle",2010-02-01,0,6,1
20644,"Ricky Whittle",2010-02-02,2,11,0
20644,"Ricky Whittle",2010-02-03,4,8,1
20644,"Ricky Whittle",2010-02-04,4,4,0
20644,"Ricky Whittle",2010-02-05,3,0,0
20644,"Ricky Whittle",2010-02-06,5,7,1
20644,"Ricky Whittle",2010-02-07,3,22,0
20644,"Ricky Whittle",2010-02-08,5,16,0
20644,"Ricky Whittle",2010-02-09,7,6,1
20644,"Ricky Whittle",2010-02-10,0,94,0
20644,"Ricky Whittle",2010-02-11,1,4,0
20644,"Ricky Whittle",2010-02-12,6,13,2
20644,"Ricky Whittle",2010-02-13,1,1,0
20644,"Ricky Whittle",2010-02-14,1,0,0
20644,"Ricky Whittle",2010-02-15,2,6,0
20644,"Ricky Whittle",2010-02-16,1,6,2
20644,"Ricky Whittle",2010-02-17,0,5,1
20644,"Ricky Whittle",2010-02-18,2,7,0
20644,"Ricky Whittle",2010-02-19,0,6,0
20644,"Ricky Whittle",2010-02-20,3,8,0
20644,"Ricky Whittle",2010-02-21,8,5,2
20644,"Ricky Whittle",2010-02-22,9,12,3
20644,"Ricky Whittle",2010-02-23,1,1,0
20644,"Ricky Whittle",2010-02-24,3,6,0
20644,"Ricky Whittle",2010-02-25,3,4,0
20644,"Ricky Whittle",2010-02-26,6,2,0
20644,"Ricky Whittle",2010-02-27,0,8,1
20644,"Ricky Whittle",2010-02-28,5,15,1
20644,"Ricky Whittle",2010-03-01,10,18,4
20644,"Ricky Whittle",2010-03-02,2,8,0
20644,"Ricky Whittle",2010-03-03,0,7,1
20644,"Ricky Whittle",2010-03-04,7,14,1
20644,"Ricky Whittle",2010-03-05,4,28,1
20644,"Ricky Whittle",2010-03-06,11,10,2
20644,"Ricky Whittle",2010-03-07,2,10,0
20644,"Ricky Whittle",2010-03-08,6,13,0
20644,"Ricky Whittle",2010-03-09,10,10,2
20644,"Ricky Whittle",2010-03-10,3,20,5
