"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
21321,"Alex Ovechkin",2010-01-01,10,26,3
21321,"Alex Ovechkin",2010-01-02,7,57,10
21321,"Alex Ovechkin",2010-01-03,7,29,8
21321,"Alex Ovechkin",2010-01-04,9,32,10
21321,"Alex Ovechkin",2010-01-05,24,178,16
21321,"Alex Ovechkin",2010-01-06,28,115,23
21321,"Alex Ovechkin",2010-01-07,11,111,12
21321,"Alex Ovechkin",2010-01-08,14,99,21
21321,"Alex Ovechkin",2010-01-09,5,50,5
21321,"Alex Ovechkin",2010-01-10,9,18,10
21321,"Alex Ovechkin",2010-01-11,2,46,7
21321,"Alex Ovechkin",2010-01-12,5,53,14
21321,"Alex Ovechkin",2010-01-13,18,103,25
21321,"Alex Ovechkin",2010-01-14,9,65,10
21321,"Alex Ovechkin",2010-01-15,19,143,15
21321,"Alex Ovechkin",2010-01-16,18,136,13
21321,"Alex Ovechkin",2010-01-17,17,99,17
21321,"Alex Ovechkin",2010-01-18,18,124,20
21321,"Alex Ovechkin",2010-01-19,19,77,18
21321,"Alex Ovechkin",2010-01-20,15,83,22
21321,"Alex Ovechkin",2010-01-21,28,280,19
21321,"Alex Ovechkin",2010-01-22,18,155,14
21321,"Alex Ovechkin",2010-01-23,13,54,5
21321,"Alex Ovechkin",2010-01-24,17,49,13
21321,"Alex Ovechkin",2010-01-25,10,27,14
21321,"Alex Ovechkin",2010-01-26,10,123,25
21321,"Alex Ovechkin",2010-01-27,19,167,41
21321,"Alex Ovechkin",2010-01-28,17,123,14
21321,"Alex Ovechkin",2010-01-29,9,84,4
21321,"Alex Ovechkin",2010-01-30,16,56,12
21321,"Alex Ovechkin",2010-01-31,11,119,16
21321,"Alex Ovechkin",2010-02-01,19,120,26
21321,"Alex Ovechkin",2010-02-02,22,105,18
21321,"Alex Ovechkin",2010-02-03,13,82,13
21321,"Alex Ovechkin",2010-02-04,36,125,34
21321,"Alex Ovechkin",2010-02-05,37,193,43
21321,"Alex Ovechkin",2010-02-06,33,93,18
21321,"Alex Ovechkin",2010-02-07,55,180,43
21321,"Alex Ovechkin",2010-02-08,32,120,33
21321,"Alex Ovechkin",2010-02-09,21,61,16
21321,"Alex Ovechkin",2010-02-10,28,91,30
21321,"Alex Ovechkin",2010-02-11,24,73,29
21321,"Alex Ovechkin",2010-02-12,17,57,15
21321,"Alex Ovechkin",2010-02-13,17,92,12
21321,"Alex Ovechkin",2010-02-14,20,68,11
21321,"Alex Ovechkin",2010-02-15,33,55,11
21321,"Alex Ovechkin",2010-02-16,34,84,23
21321,"Alex Ovechkin",2010-02-17,53,127,24
21321,"Alex Ovechkin",2010-02-18,32,81,17
21321,"Alex Ovechkin",2010-02-19,26,68,39
21321,"Alex Ovechkin",2010-02-20,20,37,18
21321,"Alex Ovechkin",2010-02-21,53,183,52
21321,"Alex Ovechkin",2010-02-22,50,152,47
21321,"Alex Ovechkin",2010-02-23,37,100,33
21321,"Alex Ovechkin",2010-02-24,86,208,91
21321,"Alex Ovechkin",2010-02-25,83,199,108
21321,"Alex Ovechkin",2010-02-26,56,100,41
21321,"Alex Ovechkin",2010-02-27,10,47,19
21321,"Alex Ovechkin",2010-02-28,19,42,28
21321,"Alex Ovechkin",2010-03-01,31,70,51
21321,"Alex Ovechkin",2010-03-02,34,47,29
21321,"Alex Ovechkin",2010-03-03,19,76,22
21321,"Alex Ovechkin",2010-03-04,9,44,9
21321,"Alex Ovechkin",2010-03-05,6,28,7
21321,"Alex Ovechkin",2010-03-06,13,43,15
21321,"Alex Ovechkin",2010-03-07,8,47,11
21321,"Alex Ovechkin",2010-03-08,13,79,13
21321,"Alex Ovechkin",2010-03-09,19,70,19
21321,"Alex Ovechkin",2010-03-10,9,59,13
21321,"Alex Ovechkin",2010-03-11,11,35,7
21321,"Alex Ovechkin",2010-03-12,13,54,6
21321,"Alex Ovechkin",2010-03-13,4,44,5
21321,"Alex Ovechkin",2010-03-14,21,273,54
21321,"Alex Ovechkin",2010-03-15,18,355,170
21321,"Alex Ovechkin",2010-03-16,14,314,215
21321,"Alex Ovechkin",2010-03-17,10,100,62
21321,"Alex Ovechkin",2010-03-18,7,78,57
21321,"Alex Ovechkin",2010-03-19,12,69,31
21321,"Alex Ovechkin",2010-03-20,2,97,17
21321,"Alex Ovechkin",2010-03-21,11,96,15
21321,"Alex Ovechkin",2010-03-22,9,65,26
21321,"Alex Ovechkin",2010-03-23,22,70,11
21321,"Alex Ovechkin",2010-03-24,15,101,28
21321,"Alex Ovechkin",2010-03-25,22,79,20
21321,"Alex Ovechkin",2010-03-26,19,59,12
21321,"Alex Ovechkin",2010-03-27,13,38,12
21321,"Alex Ovechkin",2010-03-28,19,161,18
21321,"Alex Ovechkin",2010-03-29,16,78,18
21321,"Alex Ovechkin",2010-03-30,17,74,14
21321,"Alex Ovechkin",2010-03-31,25,75,14
21321,"Alex Ovechkin",2010-04-01,22,59,11
21321,"Alex Ovechkin",2010-04-02,10,52,9
21321,"Alex Ovechkin",2010-04-03,7,32,5
21321,"Alex Ovechkin",2010-04-04,9,66,13
21321,"Alex Ovechkin",2010-04-05,26,102,14
21321,"Alex Ovechkin",2010-04-06,35,137,20
21321,"Alex Ovechkin",2010-04-07,32,114,19
21321,"Alex Ovechkin",2010-04-08,32,86,8
21321,"Alex Ovechkin",2010-04-09,38,202,18
21321,"Alex Ovechkin",2010-04-10,37,147,15
21321,"Alex Ovechkin",2010-04-11,71,199,81
21321,"Alex Ovechkin",2010-04-12,51,138,38
21321,"Alex Ovechkin",2010-04-13,41,113,36
21321,"Alex Ovechkin",2010-04-14,43,125,49
21321,"Alex Ovechkin",2010-04-15,35,102,55
21321,"Alex Ovechkin",2010-04-16,30,164,68
21321,"Alex Ovechkin",2010-04-17,28,138,40
21321,"Alex Ovechkin",2010-04-18,21,119,25
21321,"Alex Ovechkin",2010-04-19,20,140,33
21321,"Alex Ovechkin",2010-04-20,16,121,28
21321,"Alex Ovechkin",2010-04-21,15,168,30
21321,"Alex Ovechkin",2010-04-22,16,144,48
21321,"Alex Ovechkin",2010-04-23,16,103,21
21321,"Alex Ovechkin",2010-04-24,16,59,33
21321,"Alex Ovechkin",2010-04-25,7,62,24
21321,"Alex Ovechkin",2010-04-26,24,90,30
21321,"Alex Ovechkin",2010-04-27,39,104,28
21321,"Alex Ovechkin",2010-04-28,66,193,72
21321,"Alex Ovechkin",2010-04-29,78,306,111
21321,"Alex Ovechkin",2010-04-30,33,116,38
21321,"Alex Ovechkin",2010-05-01,8,52,22
21321,"Alex Ovechkin",2010-05-02,6,27,19
21321,"Alex Ovechkin",2010-05-03,14,36,17
21321,"Alex Ovechkin",2010-05-04,13,36,20
21321,"Alex Ovechkin",2010-05-05,14,36,10
21321,"Alex Ovechkin",2010-05-06,17,69,9
21321,"Alex Ovechkin",2010-05-07,12,44,17
21321,"Alex Ovechkin",2010-05-08,16,35,10
21321,"Alex Ovechkin",2010-05-09,9,37,8
21321,"Alex Ovechkin",2010-05-10,9,32,8
21321,"Alex Ovechkin",2010-05-11,14,49,10
21321,"Alex Ovechkin",2010-05-12,14,31,11
21321,"Alex Ovechkin",2010-05-13,20,56,25
21321,"Alex Ovechkin",2010-05-14,11,42,19
21321,"Alex Ovechkin",2010-05-15,8,46,16
21321,"Alex Ovechkin",2010-05-16,13,78,16
21321,"Alex Ovechkin",2010-05-17,21,83,25
21321,"Alex Ovechkin",2010-05-18,23,32,18
21321,"Alex Ovechkin",2010-05-19,14,32,13
21321,"Alex Ovechkin",2010-05-20,12,33,4
21321,"Alex Ovechkin",2010-05-21,14,20,4
21321,"Alex Ovechkin",2010-05-22,7,13,7
21321,"Alex Ovechkin",2010-05-23,10,34,12
21321,"Alex Ovechkin",2010-05-24,8,19,10
21321,"Alex Ovechkin",2010-05-25,9,29,7
21321,"Alex Ovechkin",2010-05-26,4,31,4
21321,"Alex Ovechkin",2010-05-27,8,47,7
21321,"Alex Ovechkin",2010-05-28,15,51,6
21321,"Alex Ovechkin",2010-05-29,14,37,6
21321,"Alex Ovechkin",2010-05-30,8,15,3
21321,"Alex Ovechkin",2010-05-31,11,22,12
21321,"Alex Ovechkin",2010-06-01,6,30,11
21321,"Alex Ovechkin",2010-06-02,7,18,2
21321,"Alex Ovechkin",2010-06-03,3,27,3
21321,"Alex Ovechkin",2010-06-04,2,18,5
21321,"Alex Ovechkin",2010-06-05,3,10,6
21321,"Alex Ovechkin",2010-06-06,3,16,3
21321,"Alex Ovechkin",2010-06-07,8,23,4
21321,"Alex Ovechkin",2010-06-08,8,25,8
21321,"Alex Ovechkin",2010-06-09,9,13,6
21321,"Alex Ovechkin",2010-06-10,12,28,16
21321,"Alex Ovechkin",2010-06-11,4,22,14
21321,"Alex Ovechkin",2010-06-12,5,46,9
21321,"Alex Ovechkin",2010-06-13,7,23,9
21321,"Alex Ovechkin",2010-06-14,3,23,6
21321,"Alex Ovechkin",2010-06-15,4,15,10
21321,"Alex Ovechkin",2010-06-16,1,32,13
21321,"Alex Ovechkin",2010-06-17,5,22,11
21321,"Alex Ovechkin",2010-06-18,6,37,10
21321,"Alex Ovechkin",2010-06-19,1,21,2
21321,"Alex Ovechkin",2010-06-20,10,32,5
21321,"Alex Ovechkin",2010-06-21,6,35,9
21321,"Alex Ovechkin",2010-06-22,22,131,18
21321,"Alex Ovechkin",2010-06-23,131,259,32
21321,"Alex Ovechkin",2010-06-24,107,184,18
21321,"Alex Ovechkin",2010-06-25,26,64,12
21321,"Alex Ovechkin",2010-06-26,8,24,6
21321,"Alex Ovechkin",2010-06-27,3,12,3
21321,"Alex Ovechkin",2010-06-28,8,25,2
21321,"Alex Ovechkin",2010-06-29,7,27,3
21321,"Alex Ovechkin",2010-06-30,8,27,1
21321,"Alex Ovechkin",2010-07-01,6,23,6
21321,"Alex Ovechkin",2010-07-02,5,33,9
21321,"Alex Ovechkin",2010-07-03,10,11,6
21321,"Alex Ovechkin",2010-07-04,3,19,0
21321,"Alex Ovechkin",2010-07-05,4,13,5
21321,"Alex Ovechkin",2010-07-06,10,18,6
21321,"Alex Ovechkin",2010-07-07,17,40,17
21321,"Alex Ovechkin",2010-07-08,13,25,10
21321,"Alex Ovechkin",2010-07-09,6,34,6
21321,"Alex Ovechkin",2010-07-10,8,12,3
21321,"Alex Ovechkin",2010-07-11,3,15,1
21321,"Alex Ovechkin",2010-07-12,4,17,2
21321,"Alex Ovechkin",2010-07-13,13,29,9
21321,"Alex Ovechkin",2010-07-14,13,24,5
21321,"Alex Ovechkin",2010-07-15,14,37,15
21321,"Alex Ovechkin",2010-07-16,20,65,13
21321,"Alex Ovechkin",2010-07-17,5,34,7
21321,"Alex Ovechkin",2010-07-18,6,27,7
21321,"Alex Ovechkin",2010-07-19,13,38,7
21321,"Alex Ovechkin",2010-07-20,36,30,24
21321,"Alex Ovechkin",2010-07-21,33,56,17
21321,"Alex Ovechkin",2010-07-22,7,26,14
21321,"Alex Ovechkin",2010-07-23,4,14,6
21321,"Alex Ovechkin",2010-07-24,8,19,4
21321,"Alex Ovechkin",2010-07-25,13,20,0
21321,"Alex Ovechkin",2010-07-26,5,23,7
21321,"Alex Ovechkin",2010-07-27,19,76,57
21321,"Alex Ovechkin",2010-07-28,11,66,67
21321,"Alex Ovechkin",2010-07-29,8,47,15
21321,"Alex Ovechkin",2010-07-30,8,38,10
21321,"Alex Ovechkin",2010-07-31,7,15,2
21321,"Alex Ovechkin",2010-08-01,5,19,1
21321,"Alex Ovechkin",2010-08-02,5,18,10
21321,"Alex Ovechkin",2010-08-03,7,19,17
21321,"Alex Ovechkin",2010-08-04,13,23,6
21321,"Alex Ovechkin",2010-08-05,14,30,7
21321,"Alex Ovechkin",2010-08-06,2,27,5
21321,"Alex Ovechkin",2010-08-07,9,17,2
21321,"Alex Ovechkin",2010-08-08,12,29,10
21321,"Alex Ovechkin",2010-08-09,22,40,13
21321,"Alex Ovechkin",2010-08-10,11,21,9
21321,"Alex Ovechkin",2010-08-11,9,24,1
21321,"Alex Ovechkin",2010-08-12,12,18,2
21321,"Alex Ovechkin",2010-08-13,24,22,3
21321,"Alex Ovechkin",2010-08-14,11,13,4
21321,"Alex Ovechkin",2010-08-15,6,6,2
21321,"Alex Ovechkin",2010-08-16,3,16,1
21321,"Alex Ovechkin",2010-08-17,7,28,5
21321,"Alex Ovechkin",2010-08-18,8,24,12
21321,"Alex Ovechkin",2010-08-19,12,28,31
21321,"Alex Ovechkin",2010-08-20,10,26,14
21321,"Alex Ovechkin",2010-08-21,11,19,10
21321,"Alex Ovechkin",2010-08-22,5,21,3
21321,"Alex Ovechkin",2010-08-23,8,18,4
21321,"Alex Ovechkin",2010-08-24,17,31,8
21321,"Alex Ovechkin",2010-08-25,15,38,5
21321,"Alex Ovechkin",2010-08-26,18,24,12
21321,"Alex Ovechkin",2010-08-27,15,14,9
21321,"Alex Ovechkin",2010-08-28,7,17,3
21321,"Alex Ovechkin",2010-08-29,9,26,6
21321,"Alex Ovechkin",2010-08-30,10,31,3
21321,"Alex Ovechkin",2010-08-31,9,28,7
21321,"Alex Ovechkin",2010-09-01,7,69,7
21321,"Alex Ovechkin",2010-09-02,7,22,7
21321,"Alex Ovechkin",2010-09-03,10,34,8
21321,"Alex Ovechkin",2010-09-04,12,21,6
21321,"Alex Ovechkin",2010-09-05,6,23,5
21321,"Alex Ovechkin",2010-09-06,7,32,2
21321,"Alex Ovechkin",2010-09-07,7,33,11
21321,"Alex Ovechkin",2010-09-08,14,25,12
21321,"Alex Ovechkin",2010-09-09,12,64,20
21321,"Alex Ovechkin",2010-09-10,7,26,4
21321,"Alex Ovechkin",2010-09-11,8,17,2
21321,"Alex Ovechkin",2010-09-12,7,17,1
21321,"Alex Ovechkin",2010-09-13,7,30,4
