"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
21330,"Davido",2010-01-01,0,1,0
21330,"Davido",2010-01-02,2,1,0
21330,"Davido",2010-01-03,0,1,1
21330,"Davido",2010-01-04,0,2,0
21330,"Davido",2010-01-05,0,2,2
21330,"Davido",2010-01-06,0,1,0
21330,"Davido",2010-01-07,1,1,2
21330,"Davido",2010-01-08,0,0,0
21330,"Davido",2010-01-09,0,0,0
21330,"Davido",2010-01-10,0,1,0
21330,"Davido",2010-01-11,0,1,1
21330,"Davido",2010-01-12,0,3,2
21330,"Davido",2010-01-13,1,3,3
21330,"Davido",2010-01-14,0,1,3
21330,"Davido",2010-01-15,0,4,1
21330,"Davido",2010-01-16,1,3,0
21330,"Davido",2010-01-17,3,1,0
21330,"Davido",2010-01-18,1,2,1
21330,"Davido",2010-01-19,1,3,3
21330,"Davido",2010-01-20,1,0,1
21330,"Davido",2010-01-21,0,2,1
21330,"Davido",2010-01-22,2,2,0
21330,"Davido",2010-01-23,1,1,0
21330,"Davido",2010-01-24,1,0,1
21330,"Davido",2010-01-25,0,5,0
21330,"Davido",2010-01-26,2,3,1
21330,"Davido",2010-01-27,1,2,0
21330,"Davido",2010-01-28,1,4,0
21330,"Davido",2010-01-29,0,0,0
21330,"Davido",2010-01-30,2,0,0
21330,"Davido",2010-01-31,0,2,3
21330,"Davido",2010-02-01,0,1,2
21330,"Davido",2010-02-02,0,1,1
21330,"Davido",2010-02-03,2,1,1
21330,"Davido",2010-02-04,1,4,0
21330,"Davido",2010-02-05,1,1,0
21330,"Davido",2010-02-06,1,2,0
21330,"Davido",2010-02-07,3,1,0
21330,"Davido",2010-02-08,1,4,0
21330,"Davido",2010-02-09,1,1,0
21330,"Davido",2010-02-10,0,1,0
21330,"Davido",2010-02-11,1,0,0
21330,"Davido",2010-02-12,1,0,0
21330,"Davido",2010-02-13,0,1,0
21330,"Davido",2010-02-14,1,0,0
21330,"Davido",2010-02-15,3,2,1
21330,"Davido",2010-02-16,0,2,0
21330,"Davido",2010-02-17,1,2,0
21330,"Davido",2010-02-18,2,0,2
21330,"Davido",2010-02-19,0,2,0
21330,"Davido",2010-02-20,3,3,5
21330,"Davido",2010-02-21,4,0,0
21330,"Davido",2010-02-22,0,3,0
21330,"Davido",2010-02-23,1,1,2
21330,"Davido",2010-02-24,4,4,0
21330,"Davido",2010-02-25,0,5,1
21330,"Davido",2010-02-26,0,1,0
21330,"Davido",2010-02-27,0,1,1
21330,"Davido",2010-02-28,0,2,0
21330,"Davido",2010-03-01,2,5,3
21330,"Davido",2010-03-02,0,3,0
21330,"Davido",2010-03-03,1,6,1
21330,"Davido",2010-03-04,0,1,1
21330,"Davido",2010-03-05,1,0,1
21330,"Davido",2010-03-06,2,1,0
21330,"Davido",2010-03-07,0,1,0
21330,"Davido",2010-03-08,2,0,0
21330,"Davido",2010-03-09,1,3,0
21330,"Davido",2010-03-10,0,1,1
21330,"Davido",2010-03-11,1,3,2
21330,"Davido",2010-03-12,0,3,1
21330,"Davido",2010-03-13,1,1,0
21330,"Davido",2010-03-14,0,4,0
21330,"Davido",2010-03-15,0,6,2
21330,"Davido",2010-03-16,0,1,2
21330,"Davido",2010-03-17,0,4,0
21330,"Davido",2010-03-18,1,0,0
21330,"Davido",2010-03-19,1,2,1
21330,"Davido",2010-03-20,2,1,0
21330,"Davido",2010-03-21,2,2,0
21330,"Davido",2010-03-22,3,9,0
21330,"Davido",2010-03-23,1,1,1
21330,"Davido",2010-03-24,0,6,0
21330,"Davido",2010-03-25,2,1,1
21330,"Davido",2010-03-26,0,3,2
21330,"Davido",2010-03-27,0,5,0
21330,"Davido",2010-03-28,1,0,2
21330,"Davido",2010-03-29,0,8,2
21330,"Davido",2010-03-30,1,4,0
21330,"Davido",2010-03-31,2,5,0
21330,"Davido",2010-04-01,2,5,0
21330,"Davido",2010-04-02,3,1,2
21330,"Davido",2010-04-03,0,1,0
21330,"Davido",2010-04-04,0,0,0
21330,"Davido",2010-04-05,1,3,1
21330,"Davido",2010-04-06,2,0,0
21330,"Davido",2010-04-07,5,1,2
21330,"Davido",2010-04-08,3,0,1
21330,"Davido",2010-04-09,1,2,1
21330,"Davido",2010-04-10,2,2,0
21330,"Davido",2010-04-11,2,6,0
21330,"Davido",2010-04-12,1,0,0
21330,"Davido",2010-04-13,1,2,0
21330,"Davido",2010-04-14,1,0,2
21330,"Davido",2010-04-15,1,1,0
21330,"Davido",2010-04-16,1,0,0
21330,"Davido",2010-04-17,0,3,0
21330,"Davido",2010-04-18,0,3,0
21330,"Davido",2010-04-19,2,1,1
21330,"Davido",2010-04-20,2,7,1
21330,"Davido",2010-04-21,2,4,0
21330,"Davido",2010-04-22,1,1,2
21330,"Davido",2010-04-23,0,3,0
21330,"Davido",2010-04-24,1,4,0
21330,"Davido",2010-04-25,0,2,0
21330,"Davido",2010-04-26,1,2,0
21330,"Davido",2010-04-27,0,13,1
21330,"Davido",2010-04-28,5,1,0
21330,"Davido",2010-04-29,4,1,1
21330,"Davido",2010-04-30,1,4,0
21330,"Davido",2010-05-01,0,4,1
21330,"Davido",2010-05-02,0,3,1
21330,"Davido",2010-05-03,2,0,0
21330,"Davido",2010-05-04,0,4,0
21330,"Davido",2010-05-05,0,3,0
21330,"Davido",2010-05-06,0,2,0
21330,"Davido",2010-05-07,1,3,1
21330,"Davido",2010-05-08,0,1,0
21330,"Davido",2010-05-09,0,0,0
21330,"Davido",2010-05-10,0,0,0
21330,"Davido",2010-05-11,3,2,0
21330,"Davido",2010-05-12,0,0,2
21330,"Davido",2010-05-13,1,2,1
21330,"Davido",2010-05-14,1,1,0
21330,"Davido",2010-05-15,0,0,0
21330,"Davido",2010-05-16,0,1,1
21330,"Davido",2010-05-17,2,2,1
21330,"Davido",2010-05-18,0,2,0
21330,"Davido",2010-05-19,1,0,0
