"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
21504,"Stephen King",2010-01-01,191,319,152
21504,"Stephen King",2010-01-02,137,261,174
21504,"Stephen King",2010-01-03,151,346,157
21504,"Stephen King",2010-01-04,200,415,189
21504,"Stephen King",2010-01-05,209,437,192
21504,"Stephen King",2010-01-06,168,415,257
21504,"Stephen King",2010-01-07,137,458,233
21504,"Stephen King",2010-01-08,153,351,283
21504,"Stephen King",2010-01-09,153,297,145
21504,"Stephen King",2010-01-10,143,296,182
21504,"Stephen King",2010-01-11,134,291,164
21504,"Stephen King",2010-01-12,129,380,153
21504,"Stephen King",2010-01-13,130,318,109
21504,"Stephen King",2010-01-14,121,287,118
21504,"Stephen King",2010-01-15,110,239,93
21504,"Stephen King",2010-01-16,129,261,88
21504,"Stephen King",2010-01-17,125,310,115
21504,"Stephen King",2010-01-18,110,240,93
21504,"Stephen King",2010-01-19,132,267,157
21504,"Stephen King",2010-01-20,124,218,109
21504,"Stephen King",2010-01-21,126,234,143
21504,"Stephen King",2010-01-22,92,220,92
21504,"Stephen King",2010-01-23,94,242,80
21504,"Stephen King",2010-01-24,135,225,136
21504,"Stephen King",2010-01-25,113,261,116
21504,"Stephen King",2010-01-26,89,200,111
21504,"Stephen King",2010-01-27,111,259,148
21504,"Stephen King",2010-01-28,130,361,165
21504,"Stephen King",2010-01-29,123,324,110
21504,"Stephen King",2010-01-30,120,209,160
21504,"Stephen King",2010-01-31,128,282,131
21504,"Stephen King",2010-02-01,103,215,124
21504,"Stephen King",2010-02-02,122,324,99
21504,"Stephen King",2010-02-03,126,311,142
21504,"Stephen King",2010-02-04,177,263,119
21504,"Stephen King",2010-02-05,134,322,105
21504,"Stephen King",2010-02-06,150,241,111
21504,"Stephen King",2010-02-07,216,335,134
21504,"Stephen King",2010-02-08,290,341,179
21504,"Stephen King",2010-02-09,172,285,147
21504,"Stephen King",2010-02-10,117,268,110
21504,"Stephen King",2010-02-11,109,245,115
21504,"Stephen King",2010-02-12,141,267,98
21504,"Stephen King",2010-02-13,100,209,89
21504,"Stephen King",2010-02-14,119,212,118
21504,"Stephen King",2010-02-15,121,275,122
21504,"Stephen King",2010-02-16,122,233,122
21504,"Stephen King",2010-02-17,137,280,138
21504,"Stephen King",2010-02-18,123,357,122
21504,"Stephen King",2010-02-19,122,280,122
21504,"Stephen King",2010-02-20,102,224,91
21504,"Stephen King",2010-02-21,108,203,104
21504,"Stephen King",2010-02-22,138,268,130
21504,"Stephen King",2010-02-23,113,299,156
21504,"Stephen King",2010-02-24,128,249,151
21504,"Stephen King",2010-02-25,109,248,119
21504,"Stephen King",2010-02-26,127,255,105
21504,"Stephen King",2010-02-27,108,208,97
21504,"Stephen King",2010-02-28,143,253,124
21504,"Stephen King",2010-03-01,138,416,147
21504,"Stephen King",2010-03-02,140,378,128
21504,"Stephen King",2010-03-03,124,308,141
21504,"Stephen King",2010-03-04,115,288,136
21504,"Stephen King",2010-03-05,129,356,123
21504,"Stephen King",2010-03-06,110,262,105
21504,"Stephen King",2010-03-07,151,201,96
21504,"Stephen King",2010-03-08,148,262,128
21504,"Stephen King",2010-03-09,132,266,135
21504,"Stephen King",2010-03-10,145,238,154
21504,"Stephen King",2010-03-11,106,249,107
21504,"Stephen King",2010-03-12,94,214,116
21504,"Stephen King",2010-03-13,94,177,85
21504,"Stephen King",2010-03-14,91,202,101
21504,"Stephen King",2010-03-15,148,244,109
21504,"Stephen King",2010-03-16,138,296,127
21504,"Stephen King",2010-03-17,92,314,98
21504,"Stephen King",2010-03-18,88,269,110
21504,"Stephen King",2010-03-19,87,241,81
21504,"Stephen King",2010-03-20,82,160,90
21504,"Stephen King",2010-03-21,88,203,99
21504,"Stephen King",2010-03-22,101,270,108
21504,"Stephen King",2010-03-23,102,249,72
21504,"Stephen King",2010-03-24,116,248,105
21504,"Stephen King",2010-03-25,108,278,120
21504,"Stephen King",2010-03-26,132,284,97
21504,"Stephen King",2010-03-27,84,206,95
21504,"Stephen King",2010-03-28,127,229,98
21504,"Stephen King",2010-03-29,118,301,135
21504,"Stephen King",2010-03-30,127,280,103
21504,"Stephen King",2010-03-31,152,444,136
21504,"Stephen King",2010-04-01,176,305,115
21504,"Stephen King",2010-04-02,107,255,88
21504,"Stephen King",2010-04-03,98,163,91
21504,"Stephen King",2010-04-04,135,209,117
21504,"Stephen King",2010-04-05,109,291,120
