"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
21571,"Wizkid",2010-01-01,3,12,2
21571,"Wizkid",2010-01-02,13,19,2
21571,"Wizkid",2010-01-03,9,10,1
21571,"Wizkid",2010-01-04,8,9,1
21571,"Wizkid",2010-01-05,30,18,6
21571,"Wizkid",2010-01-06,44,48,14
21571,"Wizkid",2010-01-07,13,11,5
21571,"Wizkid",2010-01-08,10,16,1
21571,"Wizkid",2010-01-09,15,14,3
21571,"Wizkid",2010-01-10,10,4,5
21571,"Wizkid",2010-01-11,13,8,4
21571,"Wizkid",2010-01-12,3,9,1
21571,"Wizkid",2010-01-13,2,5,4
21571,"Wizkid",2010-01-14,8,10,1
21571,"Wizkid",2010-01-15,8,6,1
21571,"Wizkid",2010-01-16,10,23,3
21571,"Wizkid",2010-01-17,12,16,3
21571,"Wizkid",2010-01-18,3,8,8
21571,"Wizkid",2010-01-19,2,15,3
21571,"Wizkid",2010-01-20,4,9,3
21571,"Wizkid",2010-01-21,1,8,0
21571,"Wizkid",2010-01-22,2,3,2
21571,"Wizkid",2010-01-23,2,10,0
21571,"Wizkid",2010-01-24,2,8,3
21571,"Wizkid",2010-01-25,2,2,2
21571,"Wizkid",2010-01-26,2,10,0
21571,"Wizkid",2010-01-27,4,5,2
21571,"Wizkid",2010-01-28,1,5,1
21571,"Wizkid",2010-01-29,1,8,2
21571,"Wizkid",2010-01-30,3,8,0
21571,"Wizkid",2010-01-31,2,8,1
21571,"Wizkid",2010-02-01,3,3,2
21571,"Wizkid",2010-02-02,5,6,3
21571,"Wizkid",2010-02-03,1,9,2
21571,"Wizkid",2010-02-04,1,1,2
21571,"Wizkid",2010-02-05,1,5,1
21571,"Wizkid",2010-02-06,8,9,3
21571,"Wizkid",2010-02-07,6,8,2
21571,"Wizkid",2010-02-08,9,14,3
21571,"Wizkid",2010-02-09,2,13,1
21571,"Wizkid",2010-02-10,2,19,3
21571,"Wizkid",2010-02-11,2,8,5
21571,"Wizkid",2010-02-12,2,18,2
21571,"Wizkid",2010-02-13,5,10,2
21571,"Wizkid",2010-02-14,9,5,1
21571,"Wizkid",2010-02-15,2,4,0
21571,"Wizkid",2010-02-16,9,6,2
21571,"Wizkid",2010-02-17,4,6,2
21571,"Wizkid",2010-02-18,3,1,2
21571,"Wizkid",2010-02-19,7,12,4
21571,"Wizkid",2010-02-20,5,5,0
21571,"Wizkid",2010-02-21,7,8,3
21571,"Wizkid",2010-02-22,7,10,1
21571,"Wizkid",2010-02-23,5,9,5
21571,"Wizkid",2010-02-24,5,6,0
21571,"Wizkid",2010-02-25,10,9,0
21571,"Wizkid",2010-02-26,1,3,0
21571,"Wizkid",2010-02-27,3,6,2
21571,"Wizkid",2010-02-28,0,6,2
21571,"Wizkid",2010-03-01,4,11,0
21571,"Wizkid",2010-03-02,2,9,1
21571,"Wizkid",2010-03-03,10,20,0
21571,"Wizkid",2010-03-04,8,1,1
21571,"Wizkid",2010-03-05,11,11,5
21571,"Wizkid",2010-03-06,4,6,0
21571,"Wizkid",2010-03-07,7,4,5
21571,"Wizkid",2010-03-08,2,5,0
21571,"Wizkid",2010-03-09,3,9,2
21571,"Wizkid",2010-03-10,7,12,3
21571,"Wizkid",2010-03-11,5,7,2
21571,"Wizkid",2010-03-12,8,15,3
21571,"Wizkid",2010-03-13,5,6,0
21571,"Wizkid",2010-03-14,4,2,1
21571,"Wizkid",2010-03-15,6,15,0
21571,"Wizkid",2010-03-16,0,5,1
21571,"Wizkid",2010-03-17,1,4,0
21571,"Wizkid",2010-03-18,1,8,1
21571,"Wizkid",2010-03-19,9,19,2
21571,"Wizkid",2010-03-20,8,7,2
21571,"Wizkid",2010-03-21,0,3,1
21571,"Wizkid",2010-03-22,1,2,1
21571,"Wizkid",2010-03-23,2,7,1
21571,"Wizkid",2010-03-24,3,7,1
21571,"Wizkid",2010-03-25,9,8,9
21571,"Wizkid",2010-03-26,7,7,1
21571,"Wizkid",2010-03-27,2,4,1
21571,"Wizkid",2010-03-28,2,3,0
21571,"Wizkid",2010-03-29,7,7,2
21571,"Wizkid",2010-03-30,2,5,1
21571,"Wizkid",2010-03-31,4,9,4
21571,"Wizkid",2010-04-01,5,5,0
21571,"Wizkid",2010-04-02,9,20,5
21571,"Wizkid",2010-04-03,17,12,2
21571,"Wizkid",2010-04-04,3,10,0
21571,"Wizkid",2010-04-05,8,15,2
21571,"Wizkid",2010-04-06,14,9,8
21571,"Wizkid",2010-04-07,4,17,4
21571,"Wizkid",2010-04-08,12,15,3
21571,"Wizkid",2010-04-09,3,12,6
21571,"Wizkid",2010-04-10,12,18,7
21571,"Wizkid",2010-04-11,5,10,0
21571,"Wizkid",2010-04-12,9,7,2
21571,"Wizkid",2010-04-13,5,11,0
21571,"Wizkid",2010-04-14,5,10,5
21571,"Wizkid",2010-04-15,7,12,1
21571,"Wizkid",2010-04-16,5,18,4
21571,"Wizkid",2010-04-17,0,7,2
21571,"Wizkid",2010-04-18,13,8,3
21571,"Wizkid",2010-04-19,7,14,8
21571,"Wizkid",2010-04-20,15,12,2
21571,"Wizkid",2010-04-21,5,8,1
21571,"Wizkid",2010-04-22,3,17,3
21571,"Wizkid",2010-04-23,2,11,3
21571,"Wizkid",2010-04-24,4,9,4
21571,"Wizkid",2010-04-25,10,7,8
21571,"Wizkid",2010-04-26,4,9,5
21571,"Wizkid",2010-04-27,2,9,3
21571,"Wizkid",2010-04-28,20,20,0
21571,"Wizkid",2010-04-29,10,15,3
21571,"Wizkid",2010-04-30,9,5,4
21571,"Wizkid",2010-05-01,7,11,4
21571,"Wizkid",2010-05-02,13,15,3
21571,"Wizkid",2010-05-03,8,17,6
21571,"Wizkid",2010-05-04,4,8,2
21571,"Wizkid",2010-05-05,6,6,0
21571,"Wizkid",2010-05-06,1,6,0
21571,"Wizkid",2010-05-07,6,10,0
21571,"Wizkid",2010-05-08,7,6,6
21571,"Wizkid",2010-05-09,2,5,0
21571,"Wizkid",2010-05-10,3,4,0
21571,"Wizkid",2010-05-11,7,6,0
21571,"Wizkid",2010-05-12,0,2,1
21571,"Wizkid",2010-05-13,4,6,4
21571,"Wizkid",2010-05-14,6,5,1
21571,"Wizkid",2010-05-15,10,10,1
21571,"Wizkid",2010-05-16,3,4,0
21571,"Wizkid",2010-05-17,3,4,2
21571,"Wizkid",2010-05-18,8,8,2
