"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
21585,"Romelu Lukaku",2010-01-01,0,1,1
21585,"Romelu Lukaku",2010-01-02,3,16,1
21585,"Romelu Lukaku",2010-01-03,4,10,0
21585,"Romelu Lukaku",2010-01-04,4,3,0
21585,"Romelu Lukaku",2010-01-05,2,3,2
21585,"Romelu Lukaku",2010-01-06,1,6,1
21585,"Romelu Lukaku",2010-01-07,0,1,3
21585,"Romelu Lukaku",2010-01-08,1,3,1
21585,"Romelu Lukaku",2010-01-09,0,11,3
21585,"Romelu Lukaku",2010-01-10,2,9,1
21585,"Romelu Lukaku",2010-01-11,0,9,5
21585,"Romelu Lukaku",2010-01-12,7,19,7
21585,"Romelu Lukaku",2010-01-13,16,19,7
21585,"Romelu Lukaku",2010-01-14,6,25,3
21585,"Romelu Lukaku",2010-01-15,0,14,4
21585,"Romelu Lukaku",2010-01-16,1,4,0
21585,"Romelu Lukaku",2010-01-17,8,23,5
21585,"Romelu Lukaku",2010-01-18,2,2,3
21585,"Romelu Lukaku",2010-01-19,0,3,0
21585,"Romelu Lukaku",2010-01-20,1,3,0
21585,"Romelu Lukaku",2010-01-21,0,0,0
21585,"Romelu Lukaku",2010-01-22,1,2,1
21585,"Romelu Lukaku",2010-01-23,0,1,0
21585,"Romelu Lukaku",2010-01-24,0,2,0
21585,"Romelu Lukaku",2010-01-25,0,9,0
21585,"Romelu Lukaku",2010-01-26,0,4,6
21585,"Romelu Lukaku",2010-01-27,0,4,0
21585,"Romelu Lukaku",2010-01-28,1,0,1
21585,"Romelu Lukaku",2010-01-29,0,12,0
21585,"Romelu Lukaku",2010-01-30,2,4,0
21585,"Romelu Lukaku",2010-01-31,1,2,0
21585,"Romelu Lukaku",2010-02-01,2,8,0
21585,"Romelu Lukaku",2010-02-02,1,0,1
21585,"Romelu Lukaku",2010-02-03,0,12,3
21585,"Romelu Lukaku",2010-02-04,1,11,0
21585,"Romelu Lukaku",2010-02-05,0,4,0
21585,"Romelu Lukaku",2010-02-06,3,11,1
21585,"Romelu Lukaku",2010-02-07,1,1,1
21585,"Romelu Lukaku",2010-02-08,2,1,3
21585,"Romelu Lukaku",2010-02-09,0,1,1
21585,"Romelu Lukaku",2010-02-10,2,12,4
21585,"Romelu Lukaku",2010-02-11,0,1,7
21585,"Romelu Lukaku",2010-02-12,3,6,3
21585,"Romelu Lukaku",2010-02-13,2,12,0
21585,"Romelu Lukaku",2010-02-14,2,14,1
21585,"Romelu Lukaku",2010-02-15,1,9,2
21585,"Romelu Lukaku",2010-02-16,3,3,2
21585,"Romelu Lukaku",2010-02-17,5,15,5
21585,"Romelu Lukaku",2010-02-18,2,7,2
21585,"Romelu Lukaku",2010-02-19,0,5,2
21585,"Romelu Lukaku",2010-02-20,1,3,3
21585,"Romelu Lukaku",2010-02-21,1,11,3
21585,"Romelu Lukaku",2010-02-22,3,13,4
21585,"Romelu Lukaku",2010-02-23,4,4,7
21585,"Romelu Lukaku",2010-02-24,2,28,8
21585,"Romelu Lukaku",2010-02-25,32,56,5
21585,"Romelu Lukaku",2010-02-26,20,29,7
21585,"Romelu Lukaku",2010-02-27,6,5,2
21585,"Romelu Lukaku",2010-02-28,2,5,1
21585,"Romelu Lukaku",2010-03-01,17,21,8
21585,"Romelu Lukaku",2010-03-02,9,53,12
21585,"Romelu Lukaku",2010-03-03,13,74,20
21585,"Romelu Lukaku",2010-03-04,18,47,16
21585,"Romelu Lukaku",2010-03-05,19,90,14
21585,"Romelu Lukaku",2010-03-06,5,29,6
21585,"Romelu Lukaku",2010-03-07,3,12,9
21585,"Romelu Lukaku",2010-03-08,9,12,8
21585,"Romelu Lukaku",2010-03-09,4,5,10
21585,"Romelu Lukaku",2010-03-10,32,41,20
21585,"Romelu Lukaku",2010-03-11,13,41,42
21585,"Romelu Lukaku",2010-03-12,3,20,8
21585,"Romelu Lukaku",2010-03-13,1,8,2
21585,"Romelu Lukaku",2010-03-14,2,10,2
21585,"Romelu Lukaku",2010-03-15,4,3,7
21585,"Romelu Lukaku",2010-03-16,4,0,6
21585,"Romelu Lukaku",2010-03-17,4,3,2
21585,"Romelu Lukaku",2010-03-18,5,61,31
21585,"Romelu Lukaku",2010-03-19,11,22,2
21585,"Romelu Lukaku",2010-03-20,6,10,12
