"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
21618,"Bryan Singer",2010-01-01,6,24,13
21618,"Bryan Singer",2010-01-02,5,24,6
21618,"Bryan Singer",2010-01-03,8,27,4
21618,"Bryan Singer",2010-01-04,2,35,10
21618,"Bryan Singer",2010-01-05,3,22,11
21618,"Bryan Singer",2010-01-06,6,21,13
21618,"Bryan Singer",2010-01-07,3,21,9
21618,"Bryan Singer",2010-01-08,3,39,8
21618,"Bryan Singer",2010-01-09,1,37,9
21618,"Bryan Singer",2010-01-10,7,25,8
21618,"Bryan Singer",2010-01-11,9,34,11
21618,"Bryan Singer",2010-01-12,13,46,16
21618,"Bryan Singer",2010-01-13,9,53,9
21618,"Bryan Singer",2010-01-14,8,47,10
21618,"Bryan Singer",2010-01-15,7,20,9
21618,"Bryan Singer",2010-01-16,3,21,10
21618,"Bryan Singer",2010-01-17,4,22,10
21618,"Bryan Singer",2010-01-18,3,26,9
21618,"Bryan Singer",2010-01-19,5,23,13
21618,"Bryan Singer",2010-01-20,2,28,4
21618,"Bryan Singer",2010-01-21,2,17,5
21618,"Bryan Singer",2010-01-22,1,23,6
21618,"Bryan Singer",2010-01-23,2,20,0
21618,"Bryan Singer",2010-01-24,2,21,4
21618,"Bryan Singer",2010-01-25,5,28,9
21618,"Bryan Singer",2010-01-26,3,21,2
21618,"Bryan Singer",2010-01-27,7,21,9
21618,"Bryan Singer",2010-01-28,3,34,2
21618,"Bryan Singer",2010-01-29,8,40,4
21618,"Bryan Singer",2010-01-30,4,17,4
21618,"Bryan Singer",2010-01-31,5,11,8
21618,"Bryan Singer",2010-02-01,4,31,4
21618,"Bryan Singer",2010-02-02,13,44,5
21618,"Bryan Singer",2010-02-03,7,27,6
21618,"Bryan Singer",2010-02-04,6,28,8
21618,"Bryan Singer",2010-02-05,5,22,6
21618,"Bryan Singer",2010-02-06,9,36,7
21618,"Bryan Singer",2010-02-07,5,33,6
21618,"Bryan Singer",2010-02-08,13,75,11
21618,"Bryan Singer",2010-02-09,34,109,57
21618,"Bryan Singer",2010-02-10,18,61,40
21618,"Bryan Singer",2010-02-11,7,43,13
21618,"Bryan Singer",2010-02-12,6,30,5
21618,"Bryan Singer",2010-02-13,5,22,3
21618,"Bryan Singer",2010-02-14,3,18,3
21618,"Bryan Singer",2010-02-15,2,19,5
21618,"Bryan Singer",2010-02-16,4,21,11
21618,"Bryan Singer",2010-02-17,9,35,5
21618,"Bryan Singer",2010-02-18,8,22,6
21618,"Bryan Singer",2010-02-19,3,32,7
21618,"Bryan Singer",2010-02-20,3,21,4
21618,"Bryan Singer",2010-02-21,2,27,5
21618,"Bryan Singer",2010-02-22,5,31,9
21618,"Bryan Singer",2010-02-23,20,24,16
21618,"Bryan Singer",2010-02-24,23,95,60
21618,"Bryan Singer",2010-02-25,19,91,39
21618,"Bryan Singer",2010-02-26,11,42,8
21618,"Bryan Singer",2010-02-27,7,27,6
21618,"Bryan Singer",2010-02-28,9,24,9
21618,"Bryan Singer",2010-03-01,9,26,11
21618,"Bryan Singer",2010-03-02,5,20,7
21618,"Bryan Singer",2010-03-03,13,33,9
21618,"Bryan Singer",2010-03-04,9,69,14
21618,"Bryan Singer",2010-03-05,11,54,11
21618,"Bryan Singer",2010-03-06,7,31,8
21618,"Bryan Singer",2010-03-07,7,34,3
21618,"Bryan Singer",2010-03-08,7,45,5
21618,"Bryan Singer",2010-03-09,15,63,8
21618,"Bryan Singer",2010-03-10,19,85,13
21618,"Bryan Singer",2010-03-11,21,49,11
21618,"Bryan Singer",2010-03-12,11,65,11
21618,"Bryan Singer",2010-03-13,5,25,2
21618,"Bryan Singer",2010-03-14,5,17,4
21618,"Bryan Singer",2010-03-15,6,64,2
21618,"Bryan Singer",2010-03-16,6,76,7
21618,"Bryan Singer",2010-03-17,10,70,7
21618,"Bryan Singer",2010-03-18,19,285,19
21618,"Bryan Singer",2010-03-19,21,173,18
21618,"Bryan Singer",2010-03-20,17,81,10
21618,"Bryan Singer",2010-03-21,18,168,17
21618,"Bryan Singer",2010-03-22,19,247,36
21618,"Bryan Singer",2010-03-23,4,147,37
21618,"Bryan Singer",2010-03-24,6,86,11
21618,"Bryan Singer",2010-03-25,10,99,12
21618,"Bryan Singer",2010-03-26,12,176,26
21618,"Bryan Singer",2010-03-27,26,243,40
21618,"Bryan Singer",2010-03-28,15,103,18
21618,"Bryan Singer",2010-03-29,28,179,30
21618,"Bryan Singer",2010-03-30,13,92,22
21618,"Bryan Singer",2010-03-31,12,65,10
21618,"Bryan Singer",2010-04-01,9,56,9
21618,"Bryan Singer",2010-04-02,8,41,7
21618,"Bryan Singer",2010-04-03,1,39,5
21618,"Bryan Singer",2010-04-04,8,11,9
21618,"Bryan Singer",2010-04-05,3,33,18
21618,"Bryan Singer",2010-04-06,2,46,13
21618,"Bryan Singer",2010-04-07,9,77,10
21618,"Bryan Singer",2010-04-08,7,64,9
21618,"Bryan Singer",2010-04-09,12,56,14
21618,"Bryan Singer",2010-04-10,3,25,9
21618,"Bryan Singer",2010-04-11,4,17,8
21618,"Bryan Singer",2010-04-12,17,64,8
21618,"Bryan Singer",2010-04-13,8,80,7
21618,"Bryan Singer",2010-04-14,9,59,5
21618,"Bryan Singer",2010-04-15,16,89,25
21618,"Bryan Singer",2010-04-16,8,75,52
21618,"Bryan Singer",2010-04-17,15,36,19
21618,"Bryan Singer",2010-04-18,15,38,20
21618,"Bryan Singer",2010-04-19,29,63,12
21618,"Bryan Singer",2010-04-20,16,85,13
21618,"Bryan Singer",2010-04-21,10,75,9
21618,"Bryan Singer",2010-04-22,16,138,27
21618,"Bryan Singer",2010-04-23,11,81,8
21618,"Bryan Singer",2010-04-24,11,26,11
21618,"Bryan Singer",2010-04-25,6,25,10
21618,"Bryan Singer",2010-04-26,5,50,12
21618,"Bryan Singer",2010-04-27,11,56,15
21618,"Bryan Singer",2010-04-28,14,73,14
21618,"Bryan Singer",2010-04-29,12,39,12
21618,"Bryan Singer",2010-04-30,9,85,13
21618,"Bryan Singer",2010-05-01,9,69,27
21618,"Bryan Singer",2010-05-02,27,46,12
21618,"Bryan Singer",2010-05-03,12,101,36
21618,"Bryan Singer",2010-05-04,26,151,52
21618,"Bryan Singer",2010-05-05,47,214,65
21618,"Bryan Singer",2010-05-06,20,89,46
21618,"Bryan Singer",2010-05-07,23,85,13
21618,"Bryan Singer",2010-05-08,9,35,8
21618,"Bryan Singer",2010-05-09,13,25,6
21618,"Bryan Singer",2010-05-10,12,60,8
21618,"Bryan Singer",2010-05-11,9,99,14
21618,"Bryan Singer",2010-05-12,6,80,14
21618,"Bryan Singer",2010-05-13,9,67,16
21618,"Bryan Singer",2010-05-14,13,74,10
21618,"Bryan Singer",2010-05-15,14,39,7
21618,"Bryan Singer",2010-05-16,8,17,8
21618,"Bryan Singer",2010-05-17,11,67,9
21618,"Bryan Singer",2010-05-18,15,50,14
21618,"Bryan Singer",2010-05-19,5,63,10
21618,"Bryan Singer",2010-05-20,5,49,4
21618,"Bryan Singer",2010-05-21,4,57,10
21618,"Bryan Singer",2010-05-22,6,22,6
21618,"Bryan Singer",2010-05-23,3,26,12
21618,"Bryan Singer",2010-05-24,7,47,12
21618,"Bryan Singer",2010-05-25,7,51,11
21618,"Bryan Singer",2010-05-26,19,96,18
21618,"Bryan Singer",2010-05-27,18,154,28
21618,"Bryan Singer",2010-05-28,30,198,52
21618,"Bryan Singer",2010-05-29,20,84,32
21618,"Bryan Singer",2010-05-30,10,41,12
21618,"Bryan Singer",2010-05-31,9,57,32
21618,"Bryan Singer",2010-06-01,10,56,40
21618,"Bryan Singer",2010-06-02,11,75,15
21618,"Bryan Singer",2010-06-03,13,55,4
21618,"Bryan Singer",2010-06-04,21,40,21
21618,"Bryan Singer",2010-06-05,18,18,12
21618,"Bryan Singer",2010-06-06,13,24,9
21618,"Bryan Singer",2010-06-07,32,66,12
21618,"Bryan Singer",2010-06-08,20,61,9
21618,"Bryan Singer",2010-06-09,13,65,10
21618,"Bryan Singer",2010-06-10,5,51,14
21618,"Bryan Singer",2010-06-11,5,97,5
21618,"Bryan Singer",2010-06-12,5,17,5
21618,"Bryan Singer",2010-06-13,6,21,7
21618,"Bryan Singer",2010-06-14,5,64,7
21618,"Bryan Singer",2010-06-15,9,60,8
21618,"Bryan Singer",2010-06-16,11,109,11
21618,"Bryan Singer",2010-06-17,10,118,10
21618,"Bryan Singer",2010-06-18,9,73,7
21618,"Bryan Singer",2010-06-19,9,66,6
21618,"Bryan Singer",2010-06-20,15,26,11
21618,"Bryan Singer",2010-06-21,11,125,6
21618,"Bryan Singer",2010-06-22,6,163,7
21618,"Bryan Singer",2010-06-23,11,103,5
21618,"Bryan Singer",2010-06-24,7,86,7
21618,"Bryan Singer",2010-06-25,7,53,2
21618,"Bryan Singer",2010-06-26,5,22,7
21618,"Bryan Singer",2010-06-27,3,25,3
21618,"Bryan Singer",2010-06-28,4,50,11
21618,"Bryan Singer",2010-06-29,5,36,8
21618,"Bryan Singer",2010-06-30,7,50,8
21618,"Bryan Singer",2010-07-01,7,84,8
21618,"Bryan Singer",2010-07-02,11,49,9
21618,"Bryan Singer",2010-07-03,8,24,4
21618,"Bryan Singer",2010-07-04,8,22,6
21618,"Bryan Singer",2010-07-05,10,183,19
21618,"Bryan Singer",2010-07-06,6,39,15
21618,"Bryan Singer",2010-07-07,14,47,23
21618,"Bryan Singer",2010-07-08,17,87,23
21618,"Bryan Singer",2010-07-09,15,77,30
21618,"Bryan Singer",2010-07-10,3,25,15
21618,"Bryan Singer",2010-07-11,7,71,6
21618,"Bryan Singer",2010-07-12,13,128,8
21618,"Bryan Singer",2010-07-13,20,65,16
21618,"Bryan Singer",2010-07-14,3,60,11
21618,"Bryan Singer",2010-07-15,11,126,22
21618,"Bryan Singer",2010-07-16,15,65,9
21618,"Bryan Singer",2010-07-17,9,56,9
21618,"Bryan Singer",2010-07-18,12,63,11
21618,"Bryan Singer",2010-07-19,82,588,43
21618,"Bryan Singer",2010-07-20,43,134,29
21618,"Bryan Singer",2010-07-21,11,82,11
21618,"Bryan Singer",2010-07-22,14,71,24
21618,"Bryan Singer",2010-07-23,12,44,8
21618,"Bryan Singer",2010-07-24,12,76,10
21618,"Bryan Singer",2010-07-25,8,14,13
21618,"Bryan Singer",2010-07-26,13,35,14
21618,"Bryan Singer",2010-07-27,12,55,12
21618,"Bryan Singer",2010-07-28,17,89,20
21618,"Bryan Singer",2010-07-29,11,46,13
21618,"Bryan Singer",2010-07-30,8,63,5
21618,"Bryan Singer",2010-07-31,5,28,12
21618,"Bryan Singer",2010-08-01,13,21,7
21618,"Bryan Singer",2010-08-02,12,70,11
21618,"Bryan Singer",2010-08-03,32,87,26
21618,"Bryan Singer",2010-08-04,23,57,16
21618,"Bryan Singer",2010-08-05,9,55,11
21618,"Bryan Singer",2010-08-06,9,61,18
21618,"Bryan Singer",2010-08-07,10,28,12
21618,"Bryan Singer",2010-08-08,21,113,8
21618,"Bryan Singer",2010-08-09,78,159,16
21618,"Bryan Singer",2010-08-10,27,96,20
21618,"Bryan Singer",2010-08-11,14,50,4
21618,"Bryan Singer",2010-08-12,13,57,10
21618,"Bryan Singer",2010-08-13,14,53,3
21618,"Bryan Singer",2010-08-14,6,23,18
21618,"Bryan Singer",2010-08-15,12,42,6
21618,"Bryan Singer",2010-08-16,16,99,10
21618,"Bryan Singer",2010-08-17,9,76,60
21618,"Bryan Singer",2010-08-18,6,83,16
21618,"Bryan Singer",2010-08-19,6,84,14
21618,"Bryan Singer",2010-08-20,28,189,25
21618,"Bryan Singer",2010-08-21,59,410,109
21618,"Bryan Singer",2010-08-22,31,163,38
21618,"Bryan Singer",2010-08-23,43,296,78
21618,"Bryan Singer",2010-08-24,44,103,26
21618,"Bryan Singer",2010-08-25,21,97,20
21618,"Bryan Singer",2010-08-26,9,81,19
21618,"Bryan Singer",2010-08-27,19,67,8
21618,"Bryan Singer",2010-08-28,11,34,19
21618,"Bryan Singer",2010-08-29,12,19,5
21618,"Bryan Singer",2010-08-30,16,58,13
21618,"Bryan Singer",2010-08-31,6,55,8
21618,"Bryan Singer",2010-09-01,17,45,5
21618,"Bryan Singer",2010-09-02,5,50,20
21618,"Bryan Singer",2010-09-03,15,37,7
21618,"Bryan Singer",2010-09-04,6,25,8
21618,"Bryan Singer",2010-09-05,7,20,9
21618,"Bryan Singer",2010-09-06,11,30,9
21618,"Bryan Singer",2010-09-07,10,43,3
21618,"Bryan Singer",2010-09-08,8,147,14
21618,"Bryan Singer",2010-09-09,8,59,13
21618,"Bryan Singer",2010-09-10,3,39,10
21618,"Bryan Singer",2010-09-11,5,24,6
21618,"Bryan Singer",2010-09-12,6,17,4
21618,"Bryan Singer",2010-09-13,11,56,12
21618,"Bryan Singer",2010-09-14,14,54,10
21618,"Bryan Singer",2010-09-15,10,48,12
21618,"Bryan Singer",2010-09-16,39,55,5
21618,"Bryan Singer",2010-09-17,38,80,21
21618,"Bryan Singer",2010-09-18,9,28,9
21618,"Bryan Singer",2010-09-19,10,27,17
21618,"Bryan Singer",2010-09-20,13,52,13
21618,"Bryan Singer",2010-09-21,15,67,10
21618,"Bryan Singer",2010-09-22,11,123,8
21618,"Bryan Singer",2010-09-23,14,139,14
21618,"Bryan Singer",2010-09-24,16,100,16
21618,"Bryan Singer",2010-09-25,10,42,18
21618,"Bryan Singer",2010-09-26,8,32,18
21618,"Bryan Singer",2010-09-27,22,79,11
21618,"Bryan Singer",2010-09-28,32,78,16
21618,"Bryan Singer",2010-09-29,22,46,15
21618,"Bryan Singer",2010-09-30,7,69,10
21618,"Bryan Singer",2010-10-01,11,79,13
21618,"Bryan Singer",2010-10-02,7,34,7
21618,"Bryan Singer",2010-10-03,3,41,14
21618,"Bryan Singer",2010-10-04,39,117,76
21618,"Bryan Singer",2010-10-05,52,164,107
21618,"Bryan Singer",2010-10-06,22,117,45
21618,"Bryan Singer",2010-10-07,19,62,23
21618,"Bryan Singer",2010-10-08,20,39,12
