"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
21901,"Hrithik Roshan",2010-01-01,13,41,0
21901,"Hrithik Roshan",2010-01-02,10,33,1
21901,"Hrithik Roshan",2010-01-03,6,13,3
21901,"Hrithik Roshan",2010-01-04,17,32,4
21901,"Hrithik Roshan",2010-01-05,16,29,10
21901,"Hrithik Roshan",2010-01-06,9,38,9
21901,"Hrithik Roshan",2010-01-07,9,50,3
21901,"Hrithik Roshan",2010-01-08,4,36,0
21901,"Hrithik Roshan",2010-01-09,57,90,9
21901,"Hrithik Roshan",2010-01-10,44,99,7
21901,"Hrithik Roshan",2010-01-11,33,88,5
21901,"Hrithik Roshan",2010-01-12,14,118,9
21901,"Hrithik Roshan",2010-01-13,10,53,18
21901,"Hrithik Roshan",2010-01-14,7,44,3
21901,"Hrithik Roshan",2010-01-15,15,69,4
21901,"Hrithik Roshan",2010-01-16,17,37,6
21901,"Hrithik Roshan",2010-01-17,21,34,8
21901,"Hrithik Roshan",2010-01-18,25,35,4
21901,"Hrithik Roshan",2010-01-19,10,28,2
21901,"Hrithik Roshan",2010-01-20,4,48,1
21901,"Hrithik Roshan",2010-01-21,3,46,3
21901,"Hrithik Roshan",2010-01-22,16,26,7
21901,"Hrithik Roshan",2010-01-23,9,43,10
21901,"Hrithik Roshan",2010-01-24,9,22,8
21901,"Hrithik Roshan",2010-01-25,10,22,3
21901,"Hrithik Roshan",2010-01-26,8,31,7
21901,"Hrithik Roshan",2010-01-27,10,58,10
21901,"Hrithik Roshan",2010-01-28,3,55,6
21901,"Hrithik Roshan",2010-01-29,3,45,11
21901,"Hrithik Roshan",2010-01-30,4,42,4
21901,"Hrithik Roshan",2010-01-31,4,40,7
21901,"Hrithik Roshan",2010-02-01,6,27,12
21901,"Hrithik Roshan",2010-02-02,2,28,6
21901,"Hrithik Roshan",2010-02-03,7,36,10
21901,"Hrithik Roshan",2010-02-04,13,70,13
21901,"Hrithik Roshan",2010-02-05,4,48,8
21901,"Hrithik Roshan",2010-02-06,19,56,26
21901,"Hrithik Roshan",2010-02-07,11,63,21
21901,"Hrithik Roshan",2010-02-08,13,70,27
21901,"Hrithik Roshan",2010-02-09,3,57,12
21901,"Hrithik Roshan",2010-02-10,7,115,13
21901,"Hrithik Roshan",2010-02-11,204,255,31
21901,"Hrithik Roshan",2010-02-12,195,220,40
21901,"Hrithik Roshan",2010-02-13,126,142,59
21901,"Hrithik Roshan",2010-02-14,59,86,15
21901,"Hrithik Roshan",2010-02-15,137,156,25
21901,"Hrithik Roshan",2010-02-16,219,206,33
21901,"Hrithik Roshan",2010-02-17,173,174,23
21901,"Hrithik Roshan",2010-02-18,161,217,41
21901,"Hrithik Roshan",2010-02-19,140,146,27
21901,"Hrithik Roshan",2010-02-20,459,480,145
21901,"Hrithik Roshan",2010-02-21,200,225,39
21901,"Hrithik Roshan",2010-02-22,246,217,56
21901,"Hrithik Roshan",2010-02-23,195,274,35
21901,"Hrithik Roshan",2010-02-24,87,161,22
21901,"Hrithik Roshan",2010-02-25,56,124,9
21901,"Hrithik Roshan",2010-02-26,46,88,6
21901,"Hrithik Roshan",2010-02-27,56,121,10
21901,"Hrithik Roshan",2010-02-28,34,72,5
21901,"Hrithik Roshan",2010-03-01,23,68,4
21901,"Hrithik Roshan",2010-03-02,25,104,1
21901,"Hrithik Roshan",2010-03-03,31,93,4
21901,"Hrithik Roshan",2010-03-04,24,59,6
21901,"Hrithik Roshan",2010-03-05,24,55,7
21901,"Hrithik Roshan",2010-03-06,22,67,6
21901,"Hrithik Roshan",2010-03-07,28,35,5
21901,"Hrithik Roshan",2010-03-08,27,42,1
21901,"Hrithik Roshan",2010-03-09,16,27,11
21901,"Hrithik Roshan",2010-03-10,14,38,6
21901,"Hrithik Roshan",2010-03-11,21,36,4
21901,"Hrithik Roshan",2010-03-12,20,34,12
21901,"Hrithik Roshan",2010-03-13,19,65,6
21901,"Hrithik Roshan",2010-03-14,18,33,4
21901,"Hrithik Roshan",2010-03-15,29,48,3
21901,"Hrithik Roshan",2010-03-16,18,45,3
21901,"Hrithik Roshan",2010-03-17,21,34,1
21901,"Hrithik Roshan",2010-03-18,14,64,22
21901,"Hrithik Roshan",2010-03-19,29,85,15
21901,"Hrithik Roshan",2010-03-20,22,58,7
21901,"Hrithik Roshan",2010-03-21,24,51,9
21901,"Hrithik Roshan",2010-03-22,102,111,14
21901,"Hrithik Roshan",2010-03-23,86,134,22
21901,"Hrithik Roshan",2010-03-24,47,140,6
21901,"Hrithik Roshan",2010-03-25,73,138,17
21901,"Hrithik Roshan",2010-03-26,47,111,6
