"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
22159,"Eoin Morgan",2010-01-01,0,3,2
22159,"Eoin Morgan",2010-01-02,0,13,1
22159,"Eoin Morgan",2010-01-03,2,22,0
22159,"Eoin Morgan",2010-01-04,1,13,0
22159,"Eoin Morgan",2010-01-05,15,227,1
22159,"Eoin Morgan",2010-01-06,8,2,6
22159,"Eoin Morgan",2010-01-07,5,21,2
22159,"Eoin Morgan",2010-01-08,2,7,2
22159,"Eoin Morgan",2010-01-09,4,3,1
22159,"Eoin Morgan",2010-01-10,0,1,0
22159,"Eoin Morgan",2010-01-11,1,3,0
22159,"Eoin Morgan",2010-01-12,0,3,0
22159,"Eoin Morgan",2010-01-13,0,2,0
22159,"Eoin Morgan",2010-01-14,0,2,2
22159,"Eoin Morgan",2010-01-15,2,6,2
22159,"Eoin Morgan",2010-01-16,1,19,3
22159,"Eoin Morgan",2010-01-17,3,39,4
22159,"Eoin Morgan",2010-01-18,22,71,9
22159,"Eoin Morgan",2010-01-19,39,554,43
22159,"Eoin Morgan",2010-01-20,8,59,25
22159,"Eoin Morgan",2010-01-21,9,18,4
22159,"Eoin Morgan",2010-01-22,1,8,8
22159,"Eoin Morgan",2010-01-23,1,2,2
22159,"Eoin Morgan",2010-01-24,0,3,1
22159,"Eoin Morgan",2010-01-25,3,4,0
22159,"Eoin Morgan",2010-01-26,0,1,0
22159,"Eoin Morgan",2010-01-27,0,3,2
22159,"Eoin Morgan",2010-01-28,0,10,1
22159,"Eoin Morgan",2010-01-29,0,9,1
22159,"Eoin Morgan",2010-01-30,0,1,0
22159,"Eoin Morgan",2010-01-31,0,4,0
22159,"Eoin Morgan",2010-02-01,1,1,1
22159,"Eoin Morgan",2010-02-02,0,0,1
22159,"Eoin Morgan",2010-02-03,0,5,0
22159,"Eoin Morgan",2010-02-04,13,2,0
22159,"Eoin Morgan",2010-02-05,0,3,1
22159,"Eoin Morgan",2010-02-06,0,0,1
22159,"Eoin Morgan",2010-02-07,0,1,0
22159,"Eoin Morgan",2010-02-08,1,2,1
22159,"Eoin Morgan",2010-02-09,0,0,0
22159,"Eoin Morgan",2010-02-10,0,1,0
22159,"Eoin Morgan",2010-02-11,1,3,0
22159,"Eoin Morgan",2010-02-12,2,2,0
22159,"Eoin Morgan",2010-02-13,0,11,0
22159,"Eoin Morgan",2010-02-14,1,3,0
22159,"Eoin Morgan",2010-02-15,4,13,0
22159,"Eoin Morgan",2010-02-16,0,5,4
22159,"Eoin Morgan",2010-02-17,184,86,6
22159,"Eoin Morgan",2010-02-18,5,28,8
22159,"Eoin Morgan",2010-02-19,287,150,33
22159,"Eoin Morgan",2010-02-20,8,361,370
22159,"Eoin Morgan",2010-02-21,9,23,12
22159,"Eoin Morgan",2010-02-22,4,11,7
22159,"Eoin Morgan",2010-02-23,1,9,8
22159,"Eoin Morgan",2010-02-24,2,11,2
22159,"Eoin Morgan",2010-02-25,5,266,2
22159,"Eoin Morgan",2010-02-26,4,9,2
22159,"Eoin Morgan",2010-02-27,3,15,5
22159,"Eoin Morgan",2010-02-28,729,565,132
22159,"Eoin Morgan",2010-03-01,13,37,10
22159,"Eoin Morgan",2010-03-02,104,723,32
22159,"Eoin Morgan",2010-03-03,292,123,11
22159,"Eoin Morgan",2010-03-04,17,45,14
22159,"Eoin Morgan",2010-03-05,13,74,244
22159,"Eoin Morgan",2010-03-06,5,9,5
22159,"Eoin Morgan",2010-03-07,259,14,4
22159,"Eoin Morgan",2010-03-08,137,22,7
22159,"Eoin Morgan",2010-03-09,6,5,3
22159,"Eoin Morgan",2010-03-10,9,17,3
22159,"Eoin Morgan",2010-03-11,4,12,3
22159,"Eoin Morgan",2010-03-12,7,15,1
22159,"Eoin Morgan",2010-03-13,13,26,2
22159,"Eoin Morgan",2010-03-14,12,48,28
22159,"Eoin Morgan",2010-03-15,7,26,5
22159,"Eoin Morgan",2010-03-16,7,27,5
22159,"Eoin Morgan",2010-03-17,4,16,3
22159,"Eoin Morgan",2010-03-18,4,37,3
22159,"Eoin Morgan",2010-03-19,4,5,0
22159,"Eoin Morgan",2010-03-20,7,16,5
22159,"Eoin Morgan",2010-03-21,3,11,0
22159,"Eoin Morgan",2010-03-22,4,16,2
22159,"Eoin Morgan",2010-03-23,15,27,16
22159,"Eoin Morgan",2010-03-24,7,9,14
22159,"Eoin Morgan",2010-03-25,16,16,14
22159,"Eoin Morgan",2010-03-26,4,10,6
22159,"Eoin Morgan",2010-03-27,0,2,1
22159,"Eoin Morgan",2010-03-28,2,3,1
22159,"Eoin Morgan",2010-03-29,3,3,0
22159,"Eoin Morgan",2010-03-30,2,155,3
22159,"Eoin Morgan",2010-03-31,7,44,9
22159,"Eoin Morgan",2010-04-01,3,14,3
22159,"Eoin Morgan",2010-04-02,6,9,4
22159,"Eoin Morgan",2010-04-03,1,3,1
22159,"Eoin Morgan",2010-04-04,0,8,2
22159,"Eoin Morgan",2010-04-05,1,3,0
22159,"Eoin Morgan",2010-04-06,1,7,1
22159,"Eoin Morgan",2010-04-07,0,24,0
22159,"Eoin Morgan",2010-04-08,5,4,2
22159,"Eoin Morgan",2010-04-09,2,5,1
22159,"Eoin Morgan",2010-04-10,1,13,2
22159,"Eoin Morgan",2010-04-11,3,5,4
22159,"Eoin Morgan",2010-04-12,2,3,1
22159,"Eoin Morgan",2010-04-13,3,5,0
22159,"Eoin Morgan",2010-04-14,6,6,4
22159,"Eoin Morgan",2010-04-15,2,9,2
22159,"Eoin Morgan",2010-04-16,1,1,4
22159,"Eoin Morgan",2010-04-17,3,8,0
22159,"Eoin Morgan",2010-04-18,4,9,4
22159,"Eoin Morgan",2010-04-19,1,16,6
22159,"Eoin Morgan",2010-04-20,25,275,3
