"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
22223,"Jim Harbaugh",2010-01-01,8,13,6
22223,"Jim Harbaugh",2010-01-02,9,8,6
22223,"Jim Harbaugh",2010-01-03,3,18,3
22223,"Jim Harbaugh",2010-01-04,4,33,8
22223,"Jim Harbaugh",2010-01-05,11,45,7
22223,"Jim Harbaugh",2010-01-06,5,29,3
22223,"Jim Harbaugh",2010-01-07,6,40,13
22223,"Jim Harbaugh",2010-01-08,16,39,16
22223,"Jim Harbaugh",2010-01-09,12,42,20
22223,"Jim Harbaugh",2010-01-10,12,23,17
22223,"Jim Harbaugh",2010-01-11,16,46,15
22223,"Jim Harbaugh",2010-01-12,6,23,21
22223,"Jim Harbaugh",2010-01-13,10,22,17
22223,"Jim Harbaugh",2010-01-14,26,20,6
22223,"Jim Harbaugh",2010-01-15,16,39,5
22223,"Jim Harbaugh",2010-01-16,10,43,9
22223,"Jim Harbaugh",2010-01-17,8,32,10
22223,"Jim Harbaugh",2010-01-18,4,25,15
22223,"Jim Harbaugh",2010-01-19,6,24,20
22223,"Jim Harbaugh",2010-01-20,6,107,34
22223,"Jim Harbaugh",2010-01-21,6,75,115
22223,"Jim Harbaugh",2010-01-22,7,37,8
22223,"Jim Harbaugh",2010-01-23,4,20,4
22223,"Jim Harbaugh",2010-01-24,0,5,5
22223,"Jim Harbaugh",2010-01-25,1,7,4
22223,"Jim Harbaugh",2010-01-26,2,11,0
22223,"Jim Harbaugh",2010-01-27,0,9,1
22223,"Jim Harbaugh",2010-01-28,3,9,0
22223,"Jim Harbaugh",2010-01-29,3,3,2
22223,"Jim Harbaugh",2010-01-30,1,6,1
22223,"Jim Harbaugh",2010-01-31,1,7,3
22223,"Jim Harbaugh",2010-02-01,7,8,2
22223,"Jim Harbaugh",2010-02-02,2,11,2
22223,"Jim Harbaugh",2010-02-03,12,35,4
22223,"Jim Harbaugh",2010-02-04,10,32,7
22223,"Jim Harbaugh",2010-02-05,3,15,9
22223,"Jim Harbaugh",2010-02-06,2,5,0
22223,"Jim Harbaugh",2010-02-07,6,3,4
22223,"Jim Harbaugh",2010-02-08,4,2,4
22223,"Jim Harbaugh",2010-02-09,2,19,2
22223,"Jim Harbaugh",2010-02-10,2,3,2
22223,"Jim Harbaugh",2010-02-11,1,4,3
22223,"Jim Harbaugh",2010-02-12,2,3,1
22223,"Jim Harbaugh",2010-02-13,1,3,0
22223,"Jim Harbaugh",2010-02-14,2,4,2
22223,"Jim Harbaugh",2010-02-15,14,50,1
22223,"Jim Harbaugh",2010-02-16,3,16,1
22223,"Jim Harbaugh",2010-02-17,6,11,1
22223,"Jim Harbaugh",2010-02-18,5,6,0
22223,"Jim Harbaugh",2010-02-19,9,10,2
22223,"Jim Harbaugh",2010-02-20,4,0,0
22223,"Jim Harbaugh",2010-02-21,6,8,1
22223,"Jim Harbaugh",2010-02-22,2,4,3
22223,"Jim Harbaugh",2010-02-23,2,0,0
22223,"Jim Harbaugh",2010-02-24,1,5,3
22223,"Jim Harbaugh",2010-02-25,1,8,1
22223,"Jim Harbaugh",2010-02-26,2,15,2
22223,"Jim Harbaugh",2010-02-27,0,19,2
22223,"Jim Harbaugh",2010-02-28,1,3,1
22223,"Jim Harbaugh",2010-03-01,3,8,2
22223,"Jim Harbaugh",2010-03-02,3,10,2
22223,"Jim Harbaugh",2010-03-03,1,4,2
22223,"Jim Harbaugh",2010-03-04,0,2,2
22223,"Jim Harbaugh",2010-03-05,3,1,1
22223,"Jim Harbaugh",2010-03-06,0,2,0
22223,"Jim Harbaugh",2010-03-07,0,4,1
22223,"Jim Harbaugh",2010-03-08,5,4,0
22223,"Jim Harbaugh",2010-03-09,1,8,6
22223,"Jim Harbaugh",2010-03-10,3,3,0
22223,"Jim Harbaugh",2010-03-11,0,5,0
22223,"Jim Harbaugh",2010-03-12,2,4,2
22223,"Jim Harbaugh",2010-03-13,0,1,3
22223,"Jim Harbaugh",2010-03-14,0,1,0
22223,"Jim Harbaugh",2010-03-15,0,3,5
22223,"Jim Harbaugh",2010-03-16,0,1,1
22223,"Jim Harbaugh",2010-03-17,0,0,0
22223,"Jim Harbaugh",2010-03-18,2,2,3
22223,"Jim Harbaugh",2010-03-19,4,1,4
22223,"Jim Harbaugh",2010-03-20,1,3,0
22223,"Jim Harbaugh",2010-03-21,0,5,1
22223,"Jim Harbaugh",2010-03-22,5,9,2
22223,"Jim Harbaugh",2010-03-23,1,2,2
22223,"Jim Harbaugh",2010-03-24,2,0,1
22223,"Jim Harbaugh",2010-03-25,2,3,2
22223,"Jim Harbaugh",2010-03-26,0,4,2
22223,"Jim Harbaugh",2010-03-27,0,2,0
22223,"Jim Harbaugh",2010-03-28,2,3,2
22223,"Jim Harbaugh",2010-03-29,0,2,1
22223,"Jim Harbaugh",2010-03-30,4,1,0
22223,"Jim Harbaugh",2010-03-31,3,2,0
22223,"Jim Harbaugh",2010-04-01,3,3,3
22223,"Jim Harbaugh",2010-04-02,3,10,1
22223,"Jim Harbaugh",2010-04-03,1,0,2
22223,"Jim Harbaugh",2010-04-04,1,2,0
22223,"Jim Harbaugh",2010-04-05,1,4,0
22223,"Jim Harbaugh",2010-04-06,2,4,0
22223,"Jim Harbaugh",2010-04-07,0,6,3
22223,"Jim Harbaugh",2010-04-08,2,4,2
22223,"Jim Harbaugh",2010-04-09,1,0,1
22223,"Jim Harbaugh",2010-04-10,3,6,2
22223,"Jim Harbaugh",2010-04-11,1,5,0
22223,"Jim Harbaugh",2010-04-12,3,2,1
22223,"Jim Harbaugh",2010-04-13,5,4,1
22223,"Jim Harbaugh",2010-04-14,3,8,0
22223,"Jim Harbaugh",2010-04-15,2,0,0
22223,"Jim Harbaugh",2010-04-16,6,1,3
22223,"Jim Harbaugh",2010-04-17,1,7,2
22223,"Jim Harbaugh",2010-04-18,1,1,0
22223,"Jim Harbaugh",2010-04-19,1,4,0
22223,"Jim Harbaugh",2010-04-20,1,12,0
22223,"Jim Harbaugh",2010-04-21,2,8,4
22223,"Jim Harbaugh",2010-04-22,1,2,3
22223,"Jim Harbaugh",2010-04-23,5,2,0
22223,"Jim Harbaugh",2010-04-24,2,2,2
22223,"Jim Harbaugh",2010-04-25,2,2,2
22223,"Jim Harbaugh",2010-04-26,1,5,1
22223,"Jim Harbaugh",2010-04-27,3,5,3
22223,"Jim Harbaugh",2010-04-28,2,15,1
22223,"Jim Harbaugh",2010-04-29,1,5,2
22223,"Jim Harbaugh",2010-04-30,0,6,0
22223,"Jim Harbaugh",2010-05-01,1,1,0
22223,"Jim Harbaugh",2010-05-02,1,5,0
22223,"Jim Harbaugh",2010-05-03,1,7,0
22223,"Jim Harbaugh",2010-05-04,2,5,1
22223,"Jim Harbaugh",2010-05-05,2,9,0
