"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
22230,"Alicia Fox",2010-01-01,9,44,10
22230,"Alicia Fox",2010-01-02,14,12,2
22230,"Alicia Fox",2010-01-03,14,11,4
22230,"Alicia Fox",2010-01-04,9,24,6
22230,"Alicia Fox",2010-01-05,3,14,8
22230,"Alicia Fox",2010-01-06,4,10,2
22230,"Alicia Fox",2010-01-07,5,20,3
22230,"Alicia Fox",2010-01-08,11,19,4
22230,"Alicia Fox",2010-01-09,11,42,12
22230,"Alicia Fox",2010-01-10,8,28,5
22230,"Alicia Fox",2010-01-11,26,61,15
22230,"Alicia Fox",2010-01-12,17,104,38
22230,"Alicia Fox",2010-01-13,8,23,6
22230,"Alicia Fox",2010-01-14,4,22,2
22230,"Alicia Fox",2010-01-15,5,15,4
22230,"Alicia Fox",2010-01-16,4,29,18
22230,"Alicia Fox",2010-01-17,9,17,10
22230,"Alicia Fox",2010-01-18,19,51,17
22230,"Alicia Fox",2010-01-19,7,54,25
22230,"Alicia Fox",2010-01-20,4,29,9
22230,"Alicia Fox",2010-01-21,8,23,7
22230,"Alicia Fox",2010-01-22,8,11,1
22230,"Alicia Fox",2010-01-23,8,33,3
22230,"Alicia Fox",2010-01-24,9,29,6
22230,"Alicia Fox",2010-01-25,17,42,21
22230,"Alicia Fox",2010-01-26,26,85,29
22230,"Alicia Fox",2010-01-27,10,28,5
22230,"Alicia Fox",2010-01-28,6,15,3
22230,"Alicia Fox",2010-01-29,13,17,6
22230,"Alicia Fox",2010-01-30,5,15,6
22230,"Alicia Fox",2010-01-31,10,38,12
22230,"Alicia Fox",2010-02-01,7,61,17
22230,"Alicia Fox",2010-02-02,13,30,7
22230,"Alicia Fox",2010-02-03,15,20,1
22230,"Alicia Fox",2010-02-04,16,44,3
22230,"Alicia Fox",2010-02-05,43,39,7
22230,"Alicia Fox",2010-02-06,16,12,7
22230,"Alicia Fox",2010-02-07,16,10,5
22230,"Alicia Fox",2010-02-08,31,15,5
22230,"Alicia Fox",2010-02-09,30,14,7
22230,"Alicia Fox",2010-02-10,30,3,7
22230,"Alicia Fox",2010-02-11,23,23,7
22230,"Alicia Fox",2010-02-12,11,4,4
22230,"Alicia Fox",2010-02-13,16,24,6
22230,"Alicia Fox",2010-02-14,2,12,6
22230,"Alicia Fox",2010-02-15,11,21,7
22230,"Alicia Fox",2010-02-16,24,22,5
22230,"Alicia Fox",2010-02-17,6,13,2
22230,"Alicia Fox",2010-02-18,3,15,1
22230,"Alicia Fox",2010-02-19,6,6,7
22230,"Alicia Fox",2010-02-20,4,40,10
22230,"Alicia Fox",2010-02-21,5,23,5
22230,"Alicia Fox",2010-02-22,5,11,6
22230,"Alicia Fox",2010-02-23,2,16,11
22230,"Alicia Fox",2010-02-24,3,11,6
22230,"Alicia Fox",2010-02-25,7,10,11
22230,"Alicia Fox",2010-02-26,7,11,6
