"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
22457,"Christopher Walken",2010-01-01,29,79,14
22457,"Christopher Walken",2010-01-02,20,51,14
22457,"Christopher Walken",2010-01-03,24,64,21
22457,"Christopher Walken",2010-01-04,28,62,17
22457,"Christopher Walken",2010-01-05,20,59,23
22457,"Christopher Walken",2010-01-06,30,49,16
22457,"Christopher Walken",2010-01-07,25,88,28
22457,"Christopher Walken",2010-01-08,31,57,24
22457,"Christopher Walken",2010-01-09,26,59,16
22457,"Christopher Walken",2010-01-10,35,47,26
22457,"Christopher Walken",2010-01-11,20,64,19
22457,"Christopher Walken",2010-01-12,18,49,11
22457,"Christopher Walken",2010-01-13,27,54,9
22457,"Christopher Walken",2010-01-14,21,69,20
22457,"Christopher Walken",2010-01-15,22,39,14
22457,"Christopher Walken",2010-01-16,21,26,15
22457,"Christopher Walken",2010-01-17,23,46,19
22457,"Christopher Walken",2010-01-18,22,39,14
22457,"Christopher Walken",2010-01-19,46,87,11
22457,"Christopher Walken",2010-01-20,50,90,25
22457,"Christopher Walken",2010-01-21,33,146,34
22457,"Christopher Walken",2010-01-22,40,94,30
22457,"Christopher Walken",2010-01-23,31,51,26
22457,"Christopher Walken",2010-01-24,37,55,21
22457,"Christopher Walken",2010-01-25,22,68,18
22457,"Christopher Walken",2010-01-26,25,62,17
22457,"Christopher Walken",2010-01-27,24,119,15
22457,"Christopher Walken",2010-01-28,33,52,17
22457,"Christopher Walken",2010-01-29,26,55,16
22457,"Christopher Walken",2010-01-30,41,48,18
22457,"Christopher Walken",2010-01-31,23,69,17
22457,"Christopher Walken",2010-02-01,23,74,23
22457,"Christopher Walken",2010-02-02,29,53,16
22457,"Christopher Walken",2010-02-03,27,67,10
22457,"Christopher Walken",2010-02-04,22,68,15
22457,"Christopher Walken",2010-02-05,21,53,20
22457,"Christopher Walken",2010-02-06,24,50,19
22457,"Christopher Walken",2010-02-07,26,59,14
22457,"Christopher Walken",2010-02-08,23,48,15
22457,"Christopher Walken",2010-02-09,32,57,17
22457,"Christopher Walken",2010-02-10,29,45,14
22457,"Christopher Walken",2010-02-11,30,37,22
22457,"Christopher Walken",2010-02-12,29,33,20
22457,"Christopher Walken",2010-02-13,15,38,18
22457,"Christopher Walken",2010-02-14,19,29,17
22457,"Christopher Walken",2010-02-15,33,44,23
22457,"Christopher Walken",2010-02-16,38,52,27
22457,"Christopher Walken",2010-02-17,26,36,21
22457,"Christopher Walken",2010-02-18,17,39,24
22457,"Christopher Walken",2010-02-19,36,74,15
22457,"Christopher Walken",2010-02-20,32,56,28
22457,"Christopher Walken",2010-02-21,35,61,29
22457,"Christopher Walken",2010-02-22,35,74,28
22457,"Christopher Walken",2010-02-23,38,55,18
22457,"Christopher Walken",2010-02-24,22,83,15
22457,"Christopher Walken",2010-02-25,18,71,22
22457,"Christopher Walken",2010-02-26,24,26,16
22457,"Christopher Walken",2010-02-27,15,48,17
22457,"Christopher Walken",2010-02-28,25,52,14
22457,"Christopher Walken",2010-03-01,27,60,25
22457,"Christopher Walken",2010-03-02,20,70,22
22457,"Christopher Walken",2010-03-03,24,64,24
22457,"Christopher Walken",2010-03-04,43,96,28
22457,"Christopher Walken",2010-03-05,43,94,20
22457,"Christopher Walken",2010-03-06,30,53,20
22457,"Christopher Walken",2010-03-07,28,35,22
22457,"Christopher Walken",2010-03-08,38,70,23
22457,"Christopher Walken",2010-03-09,19,71,32
22457,"Christopher Walken",2010-03-10,25,48,25
22457,"Christopher Walken",2010-03-11,40,86,21
22457,"Christopher Walken",2010-03-12,30,72,24
22457,"Christopher Walken",2010-03-13,17,55,25
22457,"Christopher Walken",2010-03-14,26,59,18
22457,"Christopher Walken",2010-03-15,30,68,26
22457,"Christopher Walken",2010-03-16,32,205,13
22457,"Christopher Walken",2010-03-17,38,72,16
22457,"Christopher Walken",2010-03-18,16,72,11
22457,"Christopher Walken",2010-03-19,26,87,14
22457,"Christopher Walken",2010-03-20,16,58,19
22457,"Christopher Walken",2010-03-21,29,55,15
22457,"Christopher Walken",2010-03-22,39,46,14
22457,"Christopher Walken",2010-03-23,37,49,20
22457,"Christopher Walken",2010-03-24,39,70,18
22457,"Christopher Walken",2010-03-25,46,74,31
22457,"Christopher Walken",2010-03-26,38,70,39
22457,"Christopher Walken",2010-03-27,26,51,8
22457,"Christopher Walken",2010-03-28,22,48,16
22457,"Christopher Walken",2010-03-29,34,87,26
22457,"Christopher Walken",2010-03-30,50,90,24
22457,"Christopher Walken",2010-03-31,256,275,35
22457,"Christopher Walken",2010-04-01,80,111,43
22457,"Christopher Walken",2010-04-02,29,50,13
22457,"Christopher Walken",2010-04-03,22,51,7
22457,"Christopher Walken",2010-04-04,31,40,17
22457,"Christopher Walken",2010-04-05,30,31,8
22457,"Christopher Walken",2010-04-06,24,39,16
22457,"Christopher Walken",2010-04-07,43,72,18
22457,"Christopher Walken",2010-04-08,37,80,29
22457,"Christopher Walken",2010-04-09,19,55,19
22457,"Christopher Walken",2010-04-10,38,54,13
22457,"Christopher Walken",2010-04-11,22,50,22
22457,"Christopher Walken",2010-04-12,29,82,34
22457,"Christopher Walken",2010-04-13,31,98,20
22457,"Christopher Walken",2010-04-14,35,69,32
22457,"Christopher Walken",2010-04-15,44,76,22
22457,"Christopher Walken",2010-04-16,33,79,27
22457,"Christopher Walken",2010-04-17,22,56,23
22457,"Christopher Walken",2010-04-18,24,55,19
22457,"Christopher Walken",2010-04-19,29,71,24
22457,"Christopher Walken",2010-04-20,28,81,17
22457,"Christopher Walken",2010-04-21,29,64,26
22457,"Christopher Walken",2010-04-22,28,58,27
22457,"Christopher Walken",2010-04-23,30,56,14
22457,"Christopher Walken",2010-04-24,29,57,21
22457,"Christopher Walken",2010-04-25,32,44,17
