"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
22486,"Rickie Fowler",2010-01-01,1,1,2
22486,"Rickie Fowler",2010-01-02,1,4,0
22486,"Rickie Fowler",2010-01-03,5,5,1
22486,"Rickie Fowler",2010-01-04,0,11,0
22486,"Rickie Fowler",2010-01-05,5,13,0
22486,"Rickie Fowler",2010-01-06,6,19,2
22486,"Rickie Fowler",2010-01-07,3,12,2
22486,"Rickie Fowler",2010-01-08,3,3,0
22486,"Rickie Fowler",2010-01-09,1,7,0
22486,"Rickie Fowler",2010-01-10,1,3,0
22486,"Rickie Fowler",2010-01-11,1,9,2
22486,"Rickie Fowler",2010-01-12,11,61,3
22486,"Rickie Fowler",2010-01-13,14,47,5
22486,"Rickie Fowler",2010-01-14,21,68,6
22486,"Rickie Fowler",2010-01-15,2,31,17
22486,"Rickie Fowler",2010-01-16,2,15,30
22486,"Rickie Fowler",2010-01-17,1,9,3
22486,"Rickie Fowler",2010-01-18,1,16,2
22486,"Rickie Fowler",2010-01-19,1,15,0
22486,"Rickie Fowler",2010-01-20,0,84,1
22486,"Rickie Fowler",2010-01-21,2,5,0
22486,"Rickie Fowler",2010-01-22,0,5,0
22486,"Rickie Fowler",2010-01-23,1,6,2
22486,"Rickie Fowler",2010-01-24,1,5,23
22486,"Rickie Fowler",2010-01-25,0,6,15
22486,"Rickie Fowler",2010-01-26,0,8,1
22486,"Rickie Fowler",2010-01-27,0,8,1
22486,"Rickie Fowler",2010-01-28,4,11,7
22486,"Rickie Fowler",2010-01-29,3,16,4
22486,"Rickie Fowler",2010-01-30,5,28,4
22486,"Rickie Fowler",2010-01-31,11,94,3
22486,"Rickie Fowler",2010-02-01,16,32,2
22486,"Rickie Fowler",2010-02-02,7,11,1
22486,"Rickie Fowler",2010-02-03,2,13,2
22486,"Rickie Fowler",2010-02-04,1,12,4
22486,"Rickie Fowler",2010-02-05,3,7,1
22486,"Rickie Fowler",2010-02-06,0,6,0
22486,"Rickie Fowler",2010-02-07,1,1,0
22486,"Rickie Fowler",2010-02-08,0,7,0
22486,"Rickie Fowler",2010-02-09,1,3,1
22486,"Rickie Fowler",2010-02-10,4,7,0
22486,"Rickie Fowler",2010-02-11,0,20,1
22486,"Rickie Fowler",2010-02-12,2,12,1
22486,"Rickie Fowler",2010-02-13,1,7,1
22486,"Rickie Fowler",2010-02-14,0,8,0
22486,"Rickie Fowler",2010-02-15,1,4,0
22486,"Rickie Fowler",2010-02-16,0,4,1
22486,"Rickie Fowler",2010-02-17,0,4,0
22486,"Rickie Fowler",2010-02-18,0,3,0
22486,"Rickie Fowler",2010-02-19,0,1,0
22486,"Rickie Fowler",2010-02-20,0,1,0
22486,"Rickie Fowler",2010-02-21,0,2,0
22486,"Rickie Fowler",2010-02-22,0,3,1
22486,"Rickie Fowler",2010-02-23,1,8,2
22486,"Rickie Fowler",2010-02-24,1,9,3
22486,"Rickie Fowler",2010-02-25,1,47,1
22486,"Rickie Fowler",2010-02-26,2,62,4
22486,"Rickie Fowler",2010-02-27,10,66,8
22486,"Rickie Fowler",2010-02-28,22,158,18
22486,"Rickie Fowler",2010-03-01,19,166,23
22486,"Rickie Fowler",2010-03-02,10,99,12
22486,"Rickie Fowler",2010-03-03,8,50,6
22486,"Rickie Fowler",2010-03-04,4,19,5
22486,"Rickie Fowler",2010-03-05,2,21,1
22486,"Rickie Fowler",2010-03-06,0,17,0
22486,"Rickie Fowler",2010-03-07,3,11,0
22486,"Rickie Fowler",2010-03-08,0,4,2
22486,"Rickie Fowler",2010-03-09,2,5,1
22486,"Rickie Fowler",2010-03-10,2,13,3
22486,"Rickie Fowler",2010-03-11,1,10,1
22486,"Rickie Fowler",2010-03-12,0,8,0
22486,"Rickie Fowler",2010-03-13,2,8,0
22486,"Rickie Fowler",2010-03-14,2,10,1
22486,"Rickie Fowler",2010-03-15,3,6,2
22486,"Rickie Fowler",2010-03-16,2,11,2
22486,"Rickie Fowler",2010-03-17,2,7,0
22486,"Rickie Fowler",2010-03-18,2,32,5
22486,"Rickie Fowler",2010-03-19,5,29,1
22486,"Rickie Fowler",2010-03-20,3,12,2
22486,"Rickie Fowler",2010-03-21,1,5,0
22486,"Rickie Fowler",2010-03-22,3,6,0
22486,"Rickie Fowler",2010-03-23,5,5,0
22486,"Rickie Fowler",2010-03-24,5,15,0
22486,"Rickie Fowler",2010-03-25,4,10,5
22486,"Rickie Fowler",2010-03-26,2,11,0
22486,"Rickie Fowler",2010-03-27,1,3,0
22486,"Rickie Fowler",2010-03-28,0,5,1
22486,"Rickie Fowler",2010-03-29,1,21,1
22486,"Rickie Fowler",2010-03-30,2,12,0
22486,"Rickie Fowler",2010-03-31,4,10,1
22486,"Rickie Fowler",2010-04-01,1,7,0
22486,"Rickie Fowler",2010-04-02,1,3,0
22486,"Rickie Fowler",2010-04-03,1,12,4
22486,"Rickie Fowler",2010-04-04,1,7,2
22486,"Rickie Fowler",2010-04-05,0,4,0
22486,"Rickie Fowler",2010-04-06,0,8,0
22486,"Rickie Fowler",2010-04-07,0,4,1
22486,"Rickie Fowler",2010-04-08,2,6,1
22486,"Rickie Fowler",2010-04-09,0,5,0
22486,"Rickie Fowler",2010-04-10,0,5,0
22486,"Rickie Fowler",2010-04-11,1,4,0
22486,"Rickie Fowler",2010-04-12,2,7,0
22486,"Rickie Fowler",2010-04-13,2,8,1
22486,"Rickie Fowler",2010-04-14,5,18,0
22486,"Rickie Fowler",2010-04-15,4,11,2
22486,"Rickie Fowler",2010-04-16,1,10,0
22486,"Rickie Fowler",2010-04-17,1,2,0
22486,"Rickie Fowler",2010-04-18,4,44,1
22486,"Rickie Fowler",2010-04-19,5,155,2
22486,"Rickie Fowler",2010-04-20,0,3,1
22486,"Rickie Fowler",2010-04-21,0,7,1
22486,"Rickie Fowler",2010-04-22,0,14,2
22486,"Rickie Fowler",2010-04-23,0,4,1
22486,"Rickie Fowler",2010-04-24,0,3,0
22486,"Rickie Fowler",2010-04-25,0,1,0
22486,"Rickie Fowler",2010-04-26,1,12,2
22486,"Rickie Fowler",2010-04-27,3,5,1
22486,"Rickie Fowler",2010-04-28,2,11,3
22486,"Rickie Fowler",2010-04-29,1,11,2
22486,"Rickie Fowler",2010-04-30,3,5,0
22486,"Rickie Fowler",2010-05-01,2,6,1
22486,"Rickie Fowler",2010-05-02,11,28,5
22486,"Rickie Fowler",2010-05-03,9,33,13
22486,"Rickie Fowler",2010-05-04,4,13,0
22486,"Rickie Fowler",2010-05-05,9,11,5
22486,"Rickie Fowler",2010-05-06,3,14,2
22486,"Rickie Fowler",2010-05-07,1,15,0
22486,"Rickie Fowler",2010-05-08,3,11,0
