"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
23061,"Bradley Chubb",2010-01-01,100,275,86
23061,"Bradley Chubb",2010-01-02,64,204,80
23061,"Bradley Chubb",2010-01-03,64,258,105
23061,"Bradley Chubb",2010-01-04,109,276,90
23061,"Bradley Chubb",2010-01-05,90,252,60
23061,"Bradley Chubb",2010-01-06,87,285,83
23061,"Bradley Chubb",2010-01-07,81,237,90
23061,"Bradley Chubb",2010-01-08,95,422,75
23061,"Bradley Chubb",2010-01-09,90,295,71
23061,"Bradley Chubb",2010-01-10,91,239,66
23061,"Bradley Chubb",2010-01-11,104,362,83
23061,"Bradley Chubb",2010-01-12,100,366,94
23061,"Bradley Chubb",2010-01-13,108,366,122
23061,"Bradley Chubb",2010-01-14,82,309,79
23061,"Bradley Chubb",2010-01-15,115,308,99
23061,"Bradley Chubb",2010-01-16,57,272,57
23061,"Bradley Chubb",2010-01-17,54,209,73
23061,"Bradley Chubb",2010-01-18,112,297,230
23061,"Bradley Chubb",2010-01-19,78,312,156
23061,"Bradley Chubb",2010-01-20,142,390,89
23061,"Bradley Chubb",2010-01-21,93,338,86
23061,"Bradley Chubb",2010-01-22,142,1336,93
23061,"Bradley Chubb",2010-01-23,114,689,54
23061,"Bradley Chubb",2010-01-24,99,400,67
23061,"Bradley Chubb",2010-01-25,92,531,86
23061,"Bradley Chubb",2010-01-26,123,394,77
23061,"Bradley Chubb",2010-01-27,111,480,127
23061,"Bradley Chubb",2010-01-28,126,513,118
23061,"Bradley Chubb",2010-01-29,93,440,78
23061,"Bradley Chubb",2010-01-30,109,278,73
23061,"Bradley Chubb",2010-01-31,110,276,59
23061,"Bradley Chubb",2010-02-01,110,544,83
23061,"Bradley Chubb",2010-02-02,107,390,78
23061,"Bradley Chubb",2010-02-03,104,459,233
23061,"Bradley Chubb",2010-02-04,135,465,137
23061,"Bradley Chubb",2010-02-05,837,825,115
23061,"Bradley Chubb",2010-02-06,189,861,71
23061,"Bradley Chubb",2010-02-07,166,807,90
23061,"Bradley Chubb",2010-02-08,167,1128,118
23061,"Bradley Chubb",2010-02-09,156,530,95
23061,"Bradley Chubb",2010-02-10,134,498,96
23061,"Bradley Chubb",2010-02-11,78,384,92
23061,"Bradley Chubb",2010-02-12,178,548,102
23061,"Bradley Chubb",2010-02-13,114,383,70
23061,"Bradley Chubb",2010-02-14,97,289,84
23061,"Bradley Chubb",2010-02-15,111,364,83
23061,"Bradley Chubb",2010-02-16,92,373,66
23061,"Bradley Chubb",2010-02-17,131,487,82
23061,"Bradley Chubb",2010-02-18,100,450,65
23061,"Bradley Chubb",2010-02-19,111,377,80
23061,"Bradley Chubb",2010-02-20,93,270,68
23061,"Bradley Chubb",2010-02-21,96,324,96
23061,"Bradley Chubb",2010-02-22,141,683,95
23061,"Bradley Chubb",2010-02-23,108,388,81
23061,"Bradley Chubb",2010-02-24,115,466,112
23061,"Bradley Chubb",2010-02-25,139,473,73
23061,"Bradley Chubb",2010-02-26,91,363,65
23061,"Bradley Chubb",2010-02-27,80,313,61
23061,"Bradley Chubb",2010-02-28,98,353,77
23061,"Bradley Chubb",2010-03-01,146,561,128
23061,"Bradley Chubb",2010-03-02,142,810,94
23061,"Bradley Chubb",2010-03-03,103,396,96
23061,"Bradley Chubb",2010-03-04,120,417,78
23061,"Bradley Chubb",2010-03-05,102,346,71
23061,"Bradley Chubb",2010-03-06,88,245,49
23061,"Bradley Chubb",2010-03-07,105,286,65
23061,"Bradley Chubb",2010-03-08,113,383,77
23061,"Bradley Chubb",2010-03-09,116,438,108
23061,"Bradley Chubb",2010-03-10,91,411,110
23061,"Bradley Chubb",2010-03-11,94,457,91
23061,"Bradley Chubb",2010-03-12,113,365,89
23061,"Bradley Chubb",2010-03-13,115,370,139
23061,"Bradley Chubb",2010-03-14,85,435,137
23061,"Bradley Chubb",2010-03-15,115,346,114
23061,"Bradley Chubb",2010-03-16,123,348,127
23061,"Bradley Chubb",2010-03-17,126,402,76
23061,"Bradley Chubb",2010-03-18,128,539,82
23061,"Bradley Chubb",2010-03-19,106,447,78
23061,"Bradley Chubb",2010-03-20,90,263,67
23061,"Bradley Chubb",2010-03-21,72,250,59
23061,"Bradley Chubb",2010-03-22,118,702,125
23061,"Bradley Chubb",2010-03-23,178,684,337
23061,"Bradley Chubb",2010-03-24,105,419,69
23061,"Bradley Chubb",2010-03-25,148,499,98
23061,"Bradley Chubb",2010-03-26,126,307,75
23061,"Bradley Chubb",2010-03-27,109,295,69
23061,"Bradley Chubb",2010-03-28,75,309,47
23061,"Bradley Chubb",2010-03-29,109,356,111
23061,"Bradley Chubb",2010-03-30,101,366,153
23061,"Bradley Chubb",2010-03-31,125,566,316
23061,"Bradley Chubb",2010-04-01,119,437,75
23061,"Bradley Chubb",2010-04-02,117,687,106
23061,"Bradley Chubb",2010-04-03,75,279,68
23061,"Bradley Chubb",2010-04-04,88,352,53
23061,"Bradley Chubb",2010-04-05,167,697,101
23061,"Bradley Chubb",2010-04-06,116,737,90
23061,"Bradley Chubb",2010-04-07,172,985,125
23061,"Bradley Chubb",2010-04-08,151,482,113
23061,"Bradley Chubb",2010-04-09,151,388,107
23061,"Bradley Chubb",2010-04-10,112,323,96
23061,"Bradley Chubb",2010-04-11,146,307,104
23061,"Bradley Chubb",2010-04-12,110,390,195
23061,"Bradley Chubb",2010-04-13,132,515,181
23061,"Bradley Chubb",2010-04-14,139,684,183
23061,"Bradley Chubb",2010-04-15,130,790,164
23061,"Bradley Chubb",2010-04-16,156,466,122
23061,"Bradley Chubb",2010-04-17,132,326,110
23061,"Bradley Chubb",2010-04-18,135,361,165
23061,"Bradley Chubb",2010-04-19,164,450,161
23061,"Bradley Chubb",2010-04-20,186,508,121
23061,"Bradley Chubb",2010-04-21,154,486,141
23061,"Bradley Chubb",2010-04-22,140,433,125
23061,"Bradley Chubb",2010-04-23,85,357,90
23061,"Bradley Chubb",2010-04-24,97,302,97
23061,"Bradley Chubb",2010-04-25,111,320,101
23061,"Bradley Chubb",2010-04-26,124,381,157
23061,"Bradley Chubb",2010-04-27,177,407,179
23061,"Bradley Chubb",2010-04-28,210,458,105
23061,"Bradley Chubb",2010-04-29,127,453,102
23061,"Bradley Chubb",2010-04-30,132,328,96
23061,"Bradley Chubb",2010-05-01,108,298,93
23061,"Bradley Chubb",2010-05-02,96,471,109
23061,"Bradley Chubb",2010-05-03,125,357,111
23061,"Bradley Chubb",2010-05-04,138,373,90
23061,"Bradley Chubb",2010-05-05,135,373,127
23061,"Bradley Chubb",2010-05-06,143,446,163
23061,"Bradley Chubb",2010-05-07,184,436,140
23061,"Bradley Chubb",2010-05-08,114,479,87
23061,"Bradley Chubb",2010-05-09,73,402,81
23061,"Bradley Chubb",2010-05-10,93,496,72
23061,"Bradley Chubb",2010-05-11,102,351,82
23061,"Bradley Chubb",2010-05-12,97,340,98
23061,"Bradley Chubb",2010-05-13,153,453,144
23061,"Bradley Chubb",2010-05-14,151,584,106
23061,"Bradley Chubb",2010-05-15,91,266,76
23061,"Bradley Chubb",2010-05-16,108,301,140
23061,"Bradley Chubb",2010-05-17,130,391,146
23061,"Bradley Chubb",2010-05-18,124,373,149
23061,"Bradley Chubb",2010-05-19,137,485,123
23061,"Bradley Chubb",2010-05-20,170,380,111
23061,"Bradley Chubb",2010-05-21,119,320,140
23061,"Bradley Chubb",2010-05-22,85,233,84
23061,"Bradley Chubb",2010-05-23,96,296,96
23061,"Bradley Chubb",2010-05-24,106,314,102
23061,"Bradley Chubb",2010-05-25,110,373,111
23061,"Bradley Chubb",2010-05-26,143,388,102
23061,"Bradley Chubb",2010-05-27,119,339,104
23061,"Bradley Chubb",2010-05-28,104,269,75
23061,"Bradley Chubb",2010-05-29,74,243,71
23061,"Bradley Chubb",2010-05-30,85,236,85
23061,"Bradley Chubb",2010-05-31,98,331,92
23061,"Bradley Chubb",2010-06-01,132,389,165
23061,"Bradley Chubb",2010-06-02,142,741,133
23061,"Bradley Chubb",2010-06-03,163,948,166
23061,"Bradley Chubb",2010-06-04,163,741,149
23061,"Bradley Chubb",2010-06-05,168,576,110
23061,"Bradley Chubb",2010-06-06,117,517,115
23061,"Bradley Chubb",2010-06-07,142,749,96
23061,"Bradley Chubb",2010-06-08,184,781,132
23061,"Bradley Chubb",2010-06-09,158,813,164
23061,"Bradley Chubb",2010-06-10,149,676,116
23061,"Bradley Chubb",2010-06-11,136,597,106
23061,"Bradley Chubb",2010-06-12,143,367,108
23061,"Bradley Chubb",2010-06-13,115,428,98
23061,"Bradley Chubb",2010-06-14,159,558,126
23061,"Bradley Chubb",2010-06-15,217,499,149
23061,"Bradley Chubb",2010-06-16,172,510,114
23061,"Bradley Chubb",2010-06-17,159,663,126
23061,"Bradley Chubb",2010-06-18,134,616,125
23061,"Bradley Chubb",2010-06-19,131,431,106
23061,"Bradley Chubb",2010-06-20,112,356,90
23061,"Bradley Chubb",2010-06-21,160,678,158
23061,"Bradley Chubb",2010-06-22,185,563,129
23061,"Bradley Chubb",2010-06-23,158,578,131
23061,"Bradley Chubb",2010-06-24,126,733,106
23061,"Bradley Chubb",2010-06-25,141,762,186
23061,"Bradley Chubb",2010-06-26,106,540,96
23061,"Bradley Chubb",2010-06-27,90,533,77
23061,"Bradley Chubb",2010-06-28,150,826,153
23061,"Bradley Chubb",2010-06-29,114,635,117
23061,"Bradley Chubb",2010-06-30,137,653,140
23061,"Bradley Chubb",2010-07-01,221,847,159
23061,"Bradley Chubb",2010-07-02,165,476,144
23061,"Bradley Chubb",2010-07-03,146,403,104
23061,"Bradley Chubb",2010-07-04,130,481,98
23061,"Bradley Chubb",2010-07-05,173,602,172
23061,"Bradley Chubb",2010-07-06,194,689,166
23061,"Bradley Chubb",2010-07-07,233,694,162
23061,"Bradley Chubb",2010-07-08,227,704,147
23061,"Bradley Chubb",2010-07-09,189,689,163
23061,"Bradley Chubb",2010-07-10,168,579,122
23061,"Bradley Chubb",2010-07-11,148,498,136
23061,"Bradley Chubb",2010-07-12,196,652,171
23061,"Bradley Chubb",2010-07-13,229,755,135
23061,"Bradley Chubb",2010-07-14,225,590,171
23061,"Bradley Chubb",2010-07-15,243,600,131
23061,"Bradley Chubb",2010-07-16,151,490,138
23061,"Bradley Chubb",2010-07-17,168,426,114
23061,"Bradley Chubb",2010-07-18,132,497,116
23061,"Bradley Chubb",2010-07-19,189,775,159
23061,"Bradley Chubb",2010-07-20,264,931,176
23061,"Bradley Chubb",2010-07-21,197,648,168
23061,"Bradley Chubb",2010-07-22,204,697,195
23061,"Bradley Chubb",2010-07-23,231,621,189
23061,"Bradley Chubb",2010-07-24,139,503,102
23061,"Bradley Chubb",2010-07-25,175,705,145
23061,"Bradley Chubb",2010-07-26,208,606,164
23061,"Bradley Chubb",2010-07-27,197,574,131
23061,"Bradley Chubb",2010-07-28,240,559,159
23061,"Bradley Chubb",2010-07-29,213,526,164
23061,"Bradley Chubb",2010-07-30,194,536,131
23061,"Bradley Chubb",2010-07-31,147,372,120
23061,"Bradley Chubb",2010-08-01,196,480,113
23061,"Bradley Chubb",2010-08-02,254,673,185
23061,"Bradley Chubb",2010-08-03,259,777,163
23061,"Bradley Chubb",2010-08-04,269,680,180
23061,"Bradley Chubb",2010-08-05,246,699,175
23061,"Bradley Chubb",2010-08-06,227,696,213
23061,"Bradley Chubb",2010-08-07,182,483,148
23061,"Bradley Chubb",2010-08-08,223,484,130
23061,"Bradley Chubb",2010-08-09,218,591,181
23061,"Bradley Chubb",2010-08-10,311,587,167
23061,"Bradley Chubb",2010-08-11,204,756,190
23061,"Bradley Chubb",2010-08-12,197,583,157
23061,"Bradley Chubb",2010-08-13,165,530,131
23061,"Bradley Chubb",2010-08-14,147,418,122
23061,"Bradley Chubb",2010-08-15,146,493,138
23061,"Bradley Chubb",2010-08-16,178,632,165
23061,"Bradley Chubb",2010-08-17,209,575,217
23061,"Bradley Chubb",2010-08-18,235,674,247
23061,"Bradley Chubb",2010-08-19,228,697,203
23061,"Bradley Chubb",2010-08-20,230,1010,227
23061,"Bradley Chubb",2010-08-21,165,443,127
23061,"Bradley Chubb",2010-08-22,145,474,125
23061,"Bradley Chubb",2010-08-23,233,784,179
23061,"Bradley Chubb",2010-08-24,312,654,237
23061,"Bradley Chubb",2010-08-25,188,721,197
23061,"Bradley Chubb",2010-08-26,199,714,187
23061,"Bradley Chubb",2010-08-27,228,584,186
23061,"Bradley Chubb",2010-08-28,189,539,168
23061,"Bradley Chubb",2010-08-29,183,450,142
23061,"Bradley Chubb",2010-08-30,229,623,155
23061,"Bradley Chubb",2010-08-31,243,684,168
23061,"Bradley Chubb",2010-09-01,297,926,207
23061,"Bradley Chubb",2010-09-02,642,1330,189
23061,"Bradley Chubb",2010-09-03,231,780,132
23061,"Bradley Chubb",2010-09-04,182,463,96
23061,"Bradley Chubb",2010-09-05,188,475,119
23061,"Bradley Chubb",2010-09-06,170,437,202
23061,"Bradley Chubb",2010-09-07,223,636,175
23061,"Bradley Chubb",2010-09-08,255,533,178
23061,"Bradley Chubb",2010-09-09,203,682,128
23061,"Bradley Chubb",2010-09-10,198,541,163
23061,"Bradley Chubb",2010-09-11,183,420,107
23061,"Bradley Chubb",2010-09-12,267,479,176
23061,"Bradley Chubb",2010-09-13,246,552,159
23061,"Bradley Chubb",2010-09-14,205,529,148
23061,"Bradley Chubb",2010-09-15,220,931,184
23061,"Bradley Chubb",2010-09-16,202,634,157
23061,"Bradley Chubb",2010-09-17,181,534,149
23061,"Bradley Chubb",2010-09-18,132,413,119
23061,"Bradley Chubb",2010-09-19,169,411,127
23061,"Bradley Chubb",2010-09-20,272,674,293
23061,"Bradley Chubb",2010-09-21,252,629,202
23061,"Bradley Chubb",2010-09-22,209,505,143
23061,"Bradley Chubb",2010-09-23,195,631,141
23061,"Bradley Chubb",2010-09-24,208,673,238
23061,"Bradley Chubb",2010-09-25,177,1097,328
23061,"Bradley Chubb",2010-09-26,158,562,143
23061,"Bradley Chubb",2010-09-27,214,586,174
23061,"Bradley Chubb",2010-09-28,199,594,150
23061,"Bradley Chubb",2010-09-29,180,535,202
23061,"Bradley Chubb",2010-09-30,239,486,175
