"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
24595,"Urban Meyer",2010-01-01,155,485,228
24595,"Urban Meyer",2010-01-02,250,571,243
24595,"Urban Meyer",2010-01-03,50,137,56
24595,"Urban Meyer",2010-01-04,40,175,56
24595,"Urban Meyer",2010-01-05,25,131,85
24595,"Urban Meyer",2010-01-06,33,104,54
24595,"Urban Meyer",2010-01-07,25,89,48
24595,"Urban Meyer",2010-01-08,43,181,85
24595,"Urban Meyer",2010-01-09,41,153,48
24595,"Urban Meyer",2010-01-10,18,66,32
24595,"Urban Meyer",2010-01-11,67,112,61
24595,"Urban Meyer",2010-01-12,59,180,138
24595,"Urban Meyer",2010-01-13,31,133,161
24595,"Urban Meyer",2010-01-14,12,60,110
24595,"Urban Meyer",2010-01-15,32,65,67
24595,"Urban Meyer",2010-01-16,6,24,34
24595,"Urban Meyer",2010-01-17,6,19,36
24595,"Urban Meyer",2010-01-18,14,43,39
24595,"Urban Meyer",2010-01-19,13,33,41
24595,"Urban Meyer",2010-01-20,8,80,31
24595,"Urban Meyer",2010-01-21,21,59,35
24595,"Urban Meyer",2010-01-22,7,44,48
24595,"Urban Meyer",2010-01-23,47,290,96
24595,"Urban Meyer",2010-01-24,47,184,65
24595,"Urban Meyer",2010-01-25,35,81,75
24595,"Urban Meyer",2010-01-26,20,62,51
24595,"Urban Meyer",2010-01-27,10,41,46
24595,"Urban Meyer",2010-01-28,10,20,38
24595,"Urban Meyer",2010-01-29,11,39,37
24595,"Urban Meyer",2010-01-30,6,27,25
24595,"Urban Meyer",2010-01-31,0,14,35
24595,"Urban Meyer",2010-02-01,10,46,28
24595,"Urban Meyer",2010-02-02,14,63,43
24595,"Urban Meyer",2010-02-03,50,255,142
24595,"Urban Meyer",2010-02-04,47,244,92
24595,"Urban Meyer",2010-02-05,17,74,32
24595,"Urban Meyer",2010-02-06,5,27,14
24595,"Urban Meyer",2010-02-07,11,19,20
24595,"Urban Meyer",2010-02-08,8,18,23
24595,"Urban Meyer",2010-02-09,14,26,30
24595,"Urban Meyer",2010-02-10,7,27,12
24595,"Urban Meyer",2010-02-11,4,44,12
24595,"Urban Meyer",2010-02-12,10,49,31
24595,"Urban Meyer",2010-02-13,8,13,3
24595,"Urban Meyer",2010-02-14,7,17,12
24595,"Urban Meyer",2010-02-15,10,32,26
24595,"Urban Meyer",2010-02-16,12,32,14
24595,"Urban Meyer",2010-02-17,10,24,15
24595,"Urban Meyer",2010-02-18,8,22,8
24595,"Urban Meyer",2010-02-19,6,17,12
24595,"Urban Meyer",2010-02-20,1,11,6
24595,"Urban Meyer",2010-02-21,0,17,4
24595,"Urban Meyer",2010-02-22,15,30,26
24595,"Urban Meyer",2010-02-23,11,52,28
24595,"Urban Meyer",2010-02-24,7,63,31
24595,"Urban Meyer",2010-02-25,10,23,28
24595,"Urban Meyer",2010-02-26,7,33,27
24595,"Urban Meyer",2010-02-27,7,7,11
24595,"Urban Meyer",2010-02-28,6,49,36
24595,"Urban Meyer",2010-03-01,1,55,41
24595,"Urban Meyer",2010-03-02,8,11,16
24595,"Urban Meyer",2010-03-03,5,30,4
24595,"Urban Meyer",2010-03-04,1,35,4
24595,"Urban Meyer",2010-03-05,7,15,8
24595,"Urban Meyer",2010-03-06,2,6,6
24595,"Urban Meyer",2010-03-07,3,8,6
24595,"Urban Meyer",2010-03-08,5,13,8
24595,"Urban Meyer",2010-03-09,6,18,11
24595,"Urban Meyer",2010-03-10,8,17,13
24595,"Urban Meyer",2010-03-11,3,16,13
24595,"Urban Meyer",2010-03-12,7,17,8
24595,"Urban Meyer",2010-03-13,3,15,3
24595,"Urban Meyer",2010-03-14,12,10,5
24595,"Urban Meyer",2010-03-15,6,15,6
24595,"Urban Meyer",2010-03-16,16,28,11
24595,"Urban Meyer",2010-03-17,19,119,31
24595,"Urban Meyer",2010-03-18,13,69,27
24595,"Urban Meyer",2010-03-19,15,37,11
24595,"Urban Meyer",2010-03-20,5,7,8
24595,"Urban Meyer",2010-03-21,3,11,6
24595,"Urban Meyer",2010-03-22,7,22,9
24595,"Urban Meyer",2010-03-23,4,14,11
24595,"Urban Meyer",2010-03-24,25,161,82
24595,"Urban Meyer",2010-03-25,75,527,306
24595,"Urban Meyer",2010-03-26,69,212,147
