"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
25085,"The Undertaker",2010-01-01,31,97,38
25085,"The Undertaker",2010-01-02,49,181,72
25085,"The Undertaker",2010-01-03,61,138,48
25085,"The Undertaker",2010-01-04,47,135,30
25085,"The Undertaker",2010-01-05,35,139,36
25085,"The Undertaker",2010-01-06,36,130,43
25085,"The Undertaker",2010-01-07,36,85,41
25085,"The Undertaker",2010-01-08,33,89,47
25085,"The Undertaker",2010-01-09,53,100,46
25085,"The Undertaker",2010-01-10,42,102,44
25085,"The Undertaker",2010-01-11,47,87,51
25085,"The Undertaker",2010-01-12,45,110,34
25085,"The Undertaker",2010-01-13,32,102,71
25085,"The Undertaker",2010-01-14,37,82,67
25085,"The Undertaker",2010-01-15,50,136,45
25085,"The Undertaker",2010-01-16,59,148,55
25085,"The Undertaker",2010-01-17,58,164,54
25085,"The Undertaker",2010-01-18,106,310,89
25085,"The Undertaker",2010-01-19,61,166,90
25085,"The Undertaker",2010-01-20,49,127,56
25085,"The Undertaker",2010-01-21,24,135,58
25085,"The Undertaker",2010-01-22,27,143,47
25085,"The Undertaker",2010-01-23,39,119,55
25085,"The Undertaker",2010-01-24,40,111,42
25085,"The Undertaker",2010-01-25,39,215,81
25085,"The Undertaker",2010-01-26,73,172,100
25085,"The Undertaker",2010-01-27,61,120,73
25085,"The Undertaker",2010-01-28,66,133,58
25085,"The Undertaker",2010-01-29,56,119,60
25085,"The Undertaker",2010-01-30,60,131,86
25085,"The Undertaker",2010-01-31,79,238,97
25085,"The Undertaker",2010-02-01,72,246,86
25085,"The Undertaker",2010-02-02,58,195,90
25085,"The Undertaker",2010-02-03,77,198,95
25085,"The Undertaker",2010-02-04,34,112,51
25085,"The Undertaker",2010-02-05,40,170,68
25085,"The Undertaker",2010-02-06,55,191,74
25085,"The Undertaker",2010-02-07,65,176,78
25085,"The Undertaker",2010-02-08,45,185,62
25085,"The Undertaker",2010-02-09,64,147,53
25085,"The Undertaker",2010-02-10,77,118,66
25085,"The Undertaker",2010-02-11,45,147,58
25085,"The Undertaker",2010-02-12,61,287,118
25085,"The Undertaker",2010-02-13,61,140,60
25085,"The Undertaker",2010-02-14,105,235,79
25085,"The Undertaker",2010-02-15,54,224,97
25085,"The Undertaker",2010-02-16,54,152,74
25085,"The Undertaker",2010-02-17,34,129,45
25085,"The Undertaker",2010-02-18,38,152,71
25085,"The Undertaker",2010-02-19,27,147,61
25085,"The Undertaker",2010-02-20,46,206,71
25085,"The Undertaker",2010-02-21,107,343,150
25085,"The Undertaker",2010-02-22,151,640,252
25085,"The Undertaker",2010-02-23,96,459,184
25085,"The Undertaker",2010-02-24,35,200,76
25085,"The Undertaker",2010-02-25,35,147,74
25085,"The Undertaker",2010-02-26,56,189,72
25085,"The Undertaker",2010-02-27,55,118,68
25085,"The Undertaker",2010-02-28,52,109,68
25085,"The Undertaker",2010-03-01,42,159,65
25085,"The Undertaker",2010-03-02,51,142,78
25085,"The Undertaker",2010-03-03,49,92,51
25085,"The Undertaker",2010-03-04,27,110,44
25085,"The Undertaker",2010-03-05,40,80,58
25085,"The Undertaker",2010-03-06,30,95,55
25085,"The Undertaker",2010-03-07,49,132,56
25085,"The Undertaker",2010-03-08,71,225,79
25085,"The Undertaker",2010-03-09,44,168,73
25085,"The Undertaker",2010-03-10,37,117,70
25085,"The Undertaker",2010-03-11,38,113,54
25085,"The Undertaker",2010-03-12,73,144,64
25085,"The Undertaker",2010-03-13,42,128,71
25085,"The Undertaker",2010-03-14,61,111,38
25085,"The Undertaker",2010-03-15,56,143,83
25085,"The Undertaker",2010-03-16,44,114,96
25085,"The Undertaker",2010-03-17,41,109,51
25085,"The Undertaker",2010-03-18,35,97,46
25085,"The Undertaker",2010-03-19,41,208,37
25085,"The Undertaker",2010-03-20,60,145,66
25085,"The Undertaker",2010-03-21,58,113,58
25085,"The Undertaker",2010-03-22,55,155,65
25085,"The Undertaker",2010-03-23,55,183,78
25085,"The Undertaker",2010-03-24,81,248,72
25085,"The Undertaker",2010-03-25,49,203,70
25085,"The Undertaker",2010-03-26,71,272,91
25085,"The Undertaker",2010-03-27,89,290,105
25085,"The Undertaker",2010-03-28,380,641,234
25085,"The Undertaker",2010-03-29,298,551,207
25085,"The Undertaker",2010-03-30,128,285,117
25085,"The Undertaker",2010-03-31,112,183,82
25085,"The Undertaker",2010-04-01,49,185,67
25085,"The Undertaker",2010-04-02,45,187,71
25085,"The Undertaker",2010-04-03,42,121,46
25085,"The Undertaker",2010-04-04,47,107,56
25085,"The Undertaker",2010-04-05,35,141,37
25085,"The Undertaker",2010-04-06,44,119,39
25085,"The Undertaker",2010-04-07,47,99,41
25085,"The Undertaker",2010-04-08,39,104,46
25085,"The Undertaker",2010-04-09,37,111,39
25085,"The Undertaker",2010-04-10,37,113,39
25085,"The Undertaker",2010-04-11,40,115,40
25085,"The Undertaker",2010-04-12,45,128,42
25085,"The Undertaker",2010-04-13,23,118,31
25085,"The Undertaker",2010-04-14,27,104,29
25085,"The Undertaker",2010-04-15,34,108,33
25085,"The Undertaker",2010-04-16,21,94,38
25085,"The Undertaker",2010-04-17,40,80,33
25085,"The Undertaker",2010-04-18,55,77,38
25085,"The Undertaker",2010-04-19,86,223,65
25085,"The Undertaker",2010-04-20,73,247,71
25085,"The Undertaker",2010-04-21,43,180,73
25085,"The Undertaker",2010-04-22,57,111,50
25085,"The Undertaker",2010-04-23,27,125,70
25085,"The Undertaker",2010-04-24,46,105,53
25085,"The Undertaker",2010-04-25,79,155,80
25085,"The Undertaker",2010-04-26,51,145,41
25085,"The Undertaker",2010-04-27,35,107,49
