"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
28206,"Shane Black",2010-01-01,2,1,1
28206,"Shane Black",2010-01-02,0,3,0
28206,"Shane Black",2010-01-03,5,0,0
28206,"Shane Black",2010-01-04,1,7,2
28206,"Shane Black",2010-01-05,0,3,1
28206,"Shane Black",2010-01-06,2,1,3
28206,"Shane Black",2010-01-07,4,4,2
28206,"Shane Black",2010-01-08,4,13,4
28206,"Shane Black",2010-01-09,0,1,2
28206,"Shane Black",2010-01-10,0,7,3
28206,"Shane Black",2010-01-11,2,3,1
28206,"Shane Black",2010-01-12,3,43,4
28206,"Shane Black",2010-01-13,7,45,4
28206,"Shane Black",2010-01-14,5,19,3
28206,"Shane Black",2010-01-15,1,2,2
28206,"Shane Black",2010-01-16,2,2,0
28206,"Shane Black",2010-01-17,2,2,2
28206,"Shane Black",2010-01-18,0,3,0
28206,"Shane Black",2010-01-19,1,2,0
28206,"Shane Black",2010-01-20,5,2,0
28206,"Shane Black",2010-01-21,2,3,2
28206,"Shane Black",2010-01-22,3,0,2
28206,"Shane Black",2010-01-23,1,1,1
28206,"Shane Black",2010-01-24,1,1,2
28206,"Shane Black",2010-01-25,1,1,1
28206,"Shane Black",2010-01-26,4,7,0
28206,"Shane Black",2010-01-27,5,41,15
28206,"Shane Black",2010-01-28,16,201,45
28206,"Shane Black",2010-01-29,0,44,6
28206,"Shane Black",2010-01-30,5,21,2
28206,"Shane Black",2010-01-31,0,9,1
28206,"Shane Black",2010-02-01,3,6,3
28206,"Shane Black",2010-02-02,2,8,1
28206,"Shane Black",2010-02-03,3,1,2
28206,"Shane Black",2010-02-04,1,6,0
28206,"Shane Black",2010-02-05,2,5,3
28206,"Shane Black",2010-02-06,1,4,3
28206,"Shane Black",2010-02-07,3,3,9
28206,"Shane Black",2010-02-08,3,6,6
28206,"Shane Black",2010-02-09,4,12,2
28206,"Shane Black",2010-02-10,0,5,0
28206,"Shane Black",2010-02-11,6,2,2
28206,"Shane Black",2010-02-12,1,4,1
28206,"Shane Black",2010-02-13,0,3,0
28206,"Shane Black",2010-02-14,0,4,0
28206,"Shane Black",2010-02-15,3,5,2
28206,"Shane Black",2010-02-16,2,3,0
28206,"Shane Black",2010-02-17,0,18,0
28206,"Shane Black",2010-02-18,1,152,2
28206,"Shane Black",2010-02-19,3,5,1
28206,"Shane Black",2010-02-20,4,0,2
28206,"Shane Black",2010-02-21,0,5,1
28206,"Shane Black",2010-02-22,8,21,10
28206,"Shane Black",2010-02-23,47,214,63
28206,"Shane Black",2010-02-24,3,36,12
28206,"Shane Black",2010-02-25,4,9,3
28206,"Shane Black",2010-02-26,0,19,7
28206,"Shane Black",2010-02-27,4,22,1
28206,"Shane Black",2010-02-28,4,5,3
28206,"Shane Black",2010-03-01,3,6,6
28206,"Shane Black",2010-03-02,6,1,1
28206,"Shane Black",2010-03-03,5,5,1
28206,"Shane Black",2010-03-04,4,9,3
28206,"Shane Black",2010-03-05,1,6,2
28206,"Shane Black",2010-03-06,4,4,0
28206,"Shane Black",2010-03-07,1,1,1
28206,"Shane Black",2010-03-08,0,7,2
28206,"Shane Black",2010-03-09,2,4,0
28206,"Shane Black",2010-03-10,0,7,0
28206,"Shane Black",2010-03-11,1,8,0
28206,"Shane Black",2010-03-12,1,11,0
28206,"Shane Black",2010-03-13,1,5,2
28206,"Shane Black",2010-03-14,1,4,1
28206,"Shane Black",2010-03-15,1,2,2
28206,"Shane Black",2010-03-16,2,7,1
28206,"Shane Black",2010-03-17,1,9,3
28206,"Shane Black",2010-03-18,6,10,3
28206,"Shane Black",2010-03-19,7,12,19
28206,"Shane Black",2010-03-20,1,6,1
28206,"Shane Black",2010-03-21,1,3,0
28206,"Shane Black",2010-03-22,6,4,2
28206,"Shane Black",2010-03-23,3,7,3
28206,"Shane Black",2010-03-24,2,0,2
28206,"Shane Black",2010-03-25,4,3,2
28206,"Shane Black",2010-03-26,0,4,0
28206,"Shane Black",2010-03-27,1,5,2
28206,"Shane Black",2010-03-28,1,1,3
28206,"Shane Black",2010-03-29,2,4,3
28206,"Shane Black",2010-03-30,0,3,1
28206,"Shane Black",2010-03-31,4,1,5
28206,"Shane Black",2010-04-01,1,4,0
28206,"Shane Black",2010-04-02,3,4,5
28206,"Shane Black",2010-04-03,4,2,4
28206,"Shane Black",2010-04-04,2,14,2
28206,"Shane Black",2010-04-05,1,8,1
28206,"Shane Black",2010-04-06,4,1,2
28206,"Shane Black",2010-04-07,4,26,5
28206,"Shane Black",2010-04-08,1,16,3
28206,"Shane Black",2010-04-09,2,14,1
28206,"Shane Black",2010-04-10,1,2,3
28206,"Shane Black",2010-04-11,2,8,0
28206,"Shane Black",2010-04-12,0,6,1
28206,"Shane Black",2010-04-13,1,9,2
