"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
507,"Olivia Munn",2010-01-01,28,59,8
507,"Olivia Munn",2010-01-02,19,60,9
507,"Olivia Munn",2010-01-03,31,59,14
507,"Olivia Munn",2010-01-04,74,151,40
507,"Olivia Munn",2010-01-05,60,75,32
507,"Olivia Munn",2010-01-06,78,82,14
507,"Olivia Munn",2010-01-07,108,221,50
507,"Olivia Munn",2010-01-08,68,111,13
507,"Olivia Munn",2010-01-09,72,67,26
507,"Olivia Munn",2010-01-10,52,91,22
507,"Olivia Munn",2010-01-11,95,101,22
507,"Olivia Munn",2010-01-12,47,63,13
507,"Olivia Munn",2010-01-13,77,107,27
507,"Olivia Munn",2010-01-14,71,110,50
507,"Olivia Munn",2010-01-15,29,131,15
507,"Olivia Munn",2010-01-16,28,67,6
507,"Olivia Munn",2010-01-17,21,50,13
507,"Olivia Munn",2010-01-18,44,90,24
507,"Olivia Munn",2010-01-19,107,218,66
507,"Olivia Munn",2010-01-20,83,125,78
507,"Olivia Munn",2010-01-21,34,49,18
507,"Olivia Munn",2010-01-22,80,166,24
507,"Olivia Munn",2010-01-23,25,84,10
507,"Olivia Munn",2010-01-24,24,89,12
507,"Olivia Munn",2010-01-25,45,76,5
507,"Olivia Munn",2010-01-26,45,91,9
507,"Olivia Munn",2010-01-27,44,66,9
507,"Olivia Munn",2010-01-28,24,47,11
507,"Olivia Munn",2010-01-29,39,89,5
507,"Olivia Munn",2010-01-30,37,57,14
507,"Olivia Munn",2010-01-31,60,81,18
507,"Olivia Munn",2010-02-01,50,75,15
507,"Olivia Munn",2010-02-02,35,105,16
507,"Olivia Munn",2010-02-03,69,120,19
507,"Olivia Munn",2010-02-04,63,133,25
507,"Olivia Munn",2010-02-05,47,177,26
507,"Olivia Munn",2010-02-06,80,212,43
507,"Olivia Munn",2010-02-07,186,375,97
507,"Olivia Munn",2010-02-08,83,193,58
507,"Olivia Munn",2010-02-09,66,122,23
507,"Olivia Munn",2010-02-10,51,78,15
507,"Olivia Munn",2010-02-11,37,65,11
507,"Olivia Munn",2010-02-12,50,110,24
507,"Olivia Munn",2010-02-13,79,141,25
507,"Olivia Munn",2010-02-14,45,95,12
507,"Olivia Munn",2010-02-15,54,58,17
507,"Olivia Munn",2010-02-16,49,69,5
507,"Olivia Munn",2010-02-17,29,52,11
507,"Olivia Munn",2010-02-18,24,68,12
507,"Olivia Munn",2010-02-19,34,57,14
507,"Olivia Munn",2010-02-20,14,17,3
507,"Olivia Munn",2010-02-21,15,83,2
507,"Olivia Munn",2010-02-22,24,44,5
507,"Olivia Munn",2010-02-23,42,114,18
507,"Olivia Munn",2010-02-24,37,87,18
507,"Olivia Munn",2010-02-25,25,61,22
507,"Olivia Munn",2010-02-26,56,87,17
507,"Olivia Munn",2010-02-27,20,32,4
507,"Olivia Munn",2010-02-28,27,47,13
507,"Olivia Munn",2010-03-01,41,107,19
507,"Olivia Munn",2010-03-02,34,50,10
507,"Olivia Munn",2010-03-03,43,47,6
507,"Olivia Munn",2010-03-04,64,99,18
507,"Olivia Munn",2010-03-05,33,92,27
507,"Olivia Munn",2010-03-06,30,96,25
507,"Olivia Munn",2010-03-07,71,165,35
507,"Olivia Munn",2010-03-08,78,160,41
507,"Olivia Munn",2010-03-09,52,102,22
507,"Olivia Munn",2010-03-10,58,106,9
507,"Olivia Munn",2010-03-11,102,74,38
507,"Olivia Munn",2010-03-12,80,62,7
507,"Olivia Munn",2010-03-13,61,72,14
507,"Olivia Munn",2010-03-14,49,53,16
507,"Olivia Munn",2010-03-15,71,47,10
507,"Olivia Munn",2010-03-16,54,50,10
507,"Olivia Munn",2010-03-17,95,97,16
507,"Olivia Munn",2010-03-18,16,58,9
507,"Olivia Munn",2010-03-19,38,120,15
507,"Olivia Munn",2010-03-20,19,64,13
507,"Olivia Munn",2010-03-21,12,34,6
507,"Olivia Munn",2010-03-22,84,174,22
507,"Olivia Munn",2010-03-23,125,279,46
507,"Olivia Munn",2010-03-24,114,288,41
507,"Olivia Munn",2010-03-25,143,224,37
507,"Olivia Munn",2010-03-26,193,230,39
507,"Olivia Munn",2010-03-27,31,115,34
507,"Olivia Munn",2010-03-28,25,99,31
507,"Olivia Munn",2010-03-29,27,116,59
507,"Olivia Munn",2010-03-30,38,122,66
507,"Olivia Munn",2010-03-31,18,116,48
507,"Olivia Munn",2010-04-01,59,142,47
507,"Olivia Munn",2010-04-02,61,145,16
507,"Olivia Munn",2010-04-03,23,95,13
507,"Olivia Munn",2010-04-04,54,129,14
507,"Olivia Munn",2010-04-05,93,144,20
507,"Olivia Munn",2010-04-06,157,160,37
507,"Olivia Munn",2010-04-07,142,243,54
507,"Olivia Munn",2010-04-08,140,208,71
507,"Olivia Munn",2010-04-09,155,300,64
507,"Olivia Munn",2010-04-10,117,135,37
507,"Olivia Munn",2010-04-11,90,108,24
507,"Olivia Munn",2010-04-12,58,111,38
507,"Olivia Munn",2010-04-13,50,99,18
507,"Olivia Munn",2010-04-14,67,138,26
507,"Olivia Munn",2010-04-15,82,168,42
507,"Olivia Munn",2010-04-16,48,131,39
507,"Olivia Munn",2010-04-17,39,108,13
507,"Olivia Munn",2010-04-18,22,46,10
507,"Olivia Munn",2010-04-19,62,127,26
507,"Olivia Munn",2010-04-20,48,145,19
507,"Olivia Munn",2010-04-21,46,71,22
507,"Olivia Munn",2010-04-22,45,113,41
507,"Olivia Munn",2010-04-23,56,137,44
507,"Olivia Munn",2010-04-24,86,112,16
507,"Olivia Munn",2010-04-25,40,91,9
507,"Olivia Munn",2010-04-26,50,147,55
507,"Olivia Munn",2010-04-27,135,846,205
507,"Olivia Munn",2010-04-28,181,711,189
507,"Olivia Munn",2010-04-29,87,263,102
507,"Olivia Munn",2010-04-30,100,247,44
507,"Olivia Munn",2010-05-01,62,148,58
507,"Olivia Munn",2010-05-02,52,175,34
507,"Olivia Munn",2010-05-03,107,220,75
507,"Olivia Munn",2010-05-04,80,133,32
507,"Olivia Munn",2010-05-05,64,128,20
507,"Olivia Munn",2010-05-06,85,117,20
507,"Olivia Munn",2010-05-07,124,166,64
507,"Olivia Munn",2010-05-08,70,105,29
507,"Olivia Munn",2010-05-09,46,98,18
507,"Olivia Munn",2010-05-10,157,265,49
507,"Olivia Munn",2010-05-11,125,244,43
507,"Olivia Munn",2010-05-12,107,121,46
507,"Olivia Munn",2010-05-13,110,110,35
507,"Olivia Munn",2010-05-14,60,88,21
507,"Olivia Munn",2010-05-15,57,68,23
507,"Olivia Munn",2010-05-16,31,66,28
507,"Olivia Munn",2010-05-17,94,94,62
507,"Olivia Munn",2010-05-18,52,85,20
507,"Olivia Munn",2010-05-19,63,65,18
507,"Olivia Munn",2010-05-20,144,167,37
507,"Olivia Munn",2010-05-21,48,63,19
507,"Olivia Munn",2010-05-22,32,41,15
507,"Olivia Munn",2010-05-23,42,42,11
507,"Olivia Munn",2010-05-24,53,48,10
507,"Olivia Munn",2010-05-25,35,46,16
507,"Olivia Munn",2010-05-26,62,73,17
507,"Olivia Munn",2010-05-27,75,89,18
507,"Olivia Munn",2010-05-28,59,56,31
507,"Olivia Munn",2010-05-29,33,40,23
