"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
541,"Sophia Bush",2010-01-01,33,37,7
541,"Sophia Bush",2010-01-02,28,48,10
541,"Sophia Bush",2010-01-03,28,51,8
541,"Sophia Bush",2010-01-04,19,32,13
541,"Sophia Bush",2010-01-05,28,57,8
541,"Sophia Bush",2010-01-06,21,21,11
541,"Sophia Bush",2010-01-07,15,23,11
541,"Sophia Bush",2010-01-08,15,27,6
541,"Sophia Bush",2010-01-09,42,59,7
541,"Sophia Bush",2010-01-10,30,36,10
541,"Sophia Bush",2010-01-11,19,31,8
541,"Sophia Bush",2010-01-12,22,26,10
541,"Sophia Bush",2010-01-13,16,43,15
541,"Sophia Bush",2010-01-14,18,30,5
541,"Sophia Bush",2010-01-15,25,25,4
541,"Sophia Bush",2010-01-16,37,48,9
541,"Sophia Bush",2010-01-17,66,89,14
541,"Sophia Bush",2010-01-18,47,127,14
541,"Sophia Bush",2010-01-19,33,53,5
541,"Sophia Bush",2010-01-20,26,34,11
541,"Sophia Bush",2010-01-21,25,32,16
541,"Sophia Bush",2010-01-22,18,36,9
541,"Sophia Bush",2010-01-23,27,60,4
541,"Sophia Bush",2010-01-24,26,38,12
541,"Sophia Bush",2010-01-25,19,49,8
541,"Sophia Bush",2010-01-26,13,43,9
541,"Sophia Bush",2010-01-27,34,54,10
541,"Sophia Bush",2010-01-28,30,37,7
541,"Sophia Bush",2010-01-29,46,49,9
541,"Sophia Bush",2010-01-30,15,39,17
541,"Sophia Bush",2010-01-31,32,30,7
541,"Sophia Bush",2010-02-01,19,34,9
541,"Sophia Bush",2010-02-02,9,30,8
541,"Sophia Bush",2010-02-03,21,35,11
541,"Sophia Bush",2010-02-04,11,30,4
541,"Sophia Bush",2010-02-05,25,44,9
541,"Sophia Bush",2010-02-06,26,26,12
541,"Sophia Bush",2010-02-07,52,49,7
541,"Sophia Bush",2010-02-08,48,67,9
541,"Sophia Bush",2010-02-09,24,58,11
541,"Sophia Bush",2010-02-10,29,38,16
541,"Sophia Bush",2010-02-11,32,33,9
541,"Sophia Bush",2010-02-12,31,32,6
541,"Sophia Bush",2010-02-13,41,23,9
541,"Sophia Bush",2010-02-14,65,146,16
541,"Sophia Bush",2010-02-15,97,199,29
541,"Sophia Bush",2010-02-16,70,84,20
541,"Sophia Bush",2010-02-17,24,71,9
541,"Sophia Bush",2010-02-18,31,52,12
541,"Sophia Bush",2010-02-19,27,51,16
