"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
746,"Pete Wentz",2010-01-01,456,407,153
746,"Pete Wentz",2010-01-02,147,277,60
746,"Pete Wentz",2010-01-03,259,343,149
746,"Pete Wentz",2010-01-04,203,310,104
746,"Pete Wentz",2010-01-05,180,308,89
746,"Pete Wentz",2010-01-06,440,639,222
746,"Pete Wentz",2010-01-07,235,338,105
746,"Pete Wentz",2010-01-08,231,343,78
746,"Pete Wentz",2010-01-09,113,182,52
746,"Pete Wentz",2010-01-10,202,298,91
746,"Pete Wentz",2010-01-11,197,274,96
746,"Pete Wentz",2010-01-12,259,460,73
746,"Pete Wentz",2010-01-13,326,443,90
746,"Pete Wentz",2010-01-14,143,294,72
746,"Pete Wentz",2010-01-15,245,385,146
746,"Pete Wentz",2010-01-16,194,339,80
746,"Pete Wentz",2010-01-17,183,267,77
746,"Pete Wentz",2010-01-18,291,342,119
746,"Pete Wentz",2010-01-19,379,783,151
746,"Pete Wentz",2010-01-20,180,271,84
746,"Pete Wentz",2010-01-21,195,277,73
746,"Pete Wentz",2010-01-22,249,351,81
746,"Pete Wentz",2010-01-23,216,281,62
746,"Pete Wentz",2010-01-24,190,307,75
746,"Pete Wentz",2010-01-25,195,327,105
746,"Pete Wentz",2010-01-26,178,278,67
746,"Pete Wentz",2010-01-27,146,188,59
746,"Pete Wentz",2010-01-28,142,216,40
746,"Pete Wentz",2010-01-29,199,381,64
746,"Pete Wentz",2010-01-30,102,198,51
746,"Pete Wentz",2010-01-31,173,258,84
746,"Pete Wentz",2010-02-01,145,271,49
746,"Pete Wentz",2010-02-02,551,1105,571
746,"Pete Wentz",2010-02-03,398,987,376
746,"Pete Wentz",2010-02-04,351,907,296
746,"Pete Wentz",2010-02-05,311,740,249
746,"Pete Wentz",2010-02-06,179,623,113
746,"Pete Wentz",2010-02-07,177,315,88
746,"Pete Wentz",2010-02-08,254,572,177
746,"Pete Wentz",2010-02-09,206,328,110
746,"Pete Wentz",2010-02-10,132,265,98
746,"Pete Wentz",2010-02-11,112,196,61
746,"Pete Wentz",2010-02-12,302,473,151
746,"Pete Wentz",2010-02-13,193,333,110
746,"Pete Wentz",2010-02-14,173,243,58
746,"Pete Wentz",2010-02-15,115,203,45
746,"Pete Wentz",2010-02-16,229,418,93
746,"Pete Wentz",2010-02-17,193,439,82
746,"Pete Wentz",2010-02-18,277,494,109
746,"Pete Wentz",2010-02-19,181,445,79
746,"Pete Wentz",2010-02-20,191,364,93
746,"Pete Wentz",2010-02-21,266,312,75
746,"Pete Wentz",2010-02-22,234,349,56
746,"Pete Wentz",2010-02-23,136,308,75
746,"Pete Wentz",2010-02-24,135,277,90
746,"Pete Wentz",2010-02-25,119,193,51
746,"Pete Wentz",2010-02-26,181,469,106
746,"Pete Wentz",2010-02-27,88,185,25
