"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
828,"Kevin Spacey",2010-01-01,36,53,20
828,"Kevin Spacey",2010-01-02,28,52,20
828,"Kevin Spacey",2010-01-03,49,75,23
828,"Kevin Spacey",2010-01-04,26,73,36
828,"Kevin Spacey",2010-01-05,30,85,25
828,"Kevin Spacey",2010-01-06,37,49,32
828,"Kevin Spacey",2010-01-07,26,66,27
828,"Kevin Spacey",2010-01-08,56,121,33
828,"Kevin Spacey",2010-01-09,30,71,16
828,"Kevin Spacey",2010-01-10,38,68,16
828,"Kevin Spacey",2010-01-11,28,120,25
828,"Kevin Spacey",2010-01-12,24,144,26
828,"Kevin Spacey",2010-01-13,30,403,29
828,"Kevin Spacey",2010-01-14,25,197,22
828,"Kevin Spacey",2010-01-15,17,101,20
828,"Kevin Spacey",2010-01-16,61,81,30
828,"Kevin Spacey",2010-01-17,61,74,24
828,"Kevin Spacey",2010-01-18,43,63,18
828,"Kevin Spacey",2010-01-19,37,70,20
828,"Kevin Spacey",2010-01-20,27,74,26
828,"Kevin Spacey",2010-01-21,29,59,14
828,"Kevin Spacey",2010-01-22,29,69,24
828,"Kevin Spacey",2010-01-23,30,67,17
828,"Kevin Spacey",2010-01-24,27,48,14
828,"Kevin Spacey",2010-01-25,33,68,13
828,"Kevin Spacey",2010-01-26,34,67,23
828,"Kevin Spacey",2010-01-27,42,63,24
828,"Kevin Spacey",2010-01-28,75,78,22
828,"Kevin Spacey",2010-01-29,23,71,22
828,"Kevin Spacey",2010-01-30,21,57,14
828,"Kevin Spacey",2010-01-31,31,60,15
828,"Kevin Spacey",2010-02-01,27,59,26
828,"Kevin Spacey",2010-02-02,17,76,13
828,"Kevin Spacey",2010-02-03,64,81,40
828,"Kevin Spacey",2010-02-04,30,89,37
828,"Kevin Spacey",2010-02-05,27,63,18
828,"Kevin Spacey",2010-02-06,35,67,9
828,"Kevin Spacey",2010-02-07,38,74,17
828,"Kevin Spacey",2010-02-08,45,78,21
828,"Kevin Spacey",2010-02-09,22,86,30
828,"Kevin Spacey",2010-02-10,27,72,35
828,"Kevin Spacey",2010-02-11,20,91,26
