"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
932,"Morgan Freeman",2010-01-01,105,158,53
932,"Morgan Freeman",2010-01-02,117,183,59
932,"Morgan Freeman",2010-01-03,125,213,85
932,"Morgan Freeman",2010-01-04,152,725,117
932,"Morgan Freeman",2010-01-05,150,579,102
932,"Morgan Freeman",2010-01-06,142,456,80
932,"Morgan Freeman",2010-01-07,136,325,62
932,"Morgan Freeman",2010-01-08,95,225,71
932,"Morgan Freeman",2010-01-09,88,194,83
932,"Morgan Freeman",2010-01-10,108,222,65
932,"Morgan Freeman",2010-01-11,172,409,129
932,"Morgan Freeman",2010-01-12,238,293,147
932,"Morgan Freeman",2010-01-13,205,373,155
932,"Morgan Freeman",2010-01-14,129,283,325
932,"Morgan Freeman",2010-01-15,248,313,129
932,"Morgan Freeman",2010-01-16,198,291,102
932,"Morgan Freeman",2010-01-17,453,776,158
932,"Morgan Freeman",2010-01-18,359,642,116
932,"Morgan Freeman",2010-01-19,118,267,94
932,"Morgan Freeman",2010-01-20,128,254,69
932,"Morgan Freeman",2010-01-21,101,341,93
932,"Morgan Freeman",2010-01-22,213,670,156
932,"Morgan Freeman",2010-01-23,194,441,102
932,"Morgan Freeman",2010-01-24,226,338,99
932,"Morgan Freeman",2010-01-25,162,328,85
932,"Morgan Freeman",2010-01-26,135,479,75
932,"Morgan Freeman",2010-01-27,141,524,129
932,"Morgan Freeman",2010-01-28,186,605,141
932,"Morgan Freeman",2010-01-29,147,348,99
932,"Morgan Freeman",2010-01-30,145,218,95
932,"Morgan Freeman",2010-01-31,157,617,139
932,"Morgan Freeman",2010-02-01,416,634,366
932,"Morgan Freeman",2010-02-02,1512,2314,565
932,"Morgan Freeman",2010-02-03,635,779,169
932,"Morgan Freeman",2010-02-04,250,477,139
932,"Morgan Freeman",2010-02-05,225,552,103
932,"Morgan Freeman",2010-02-06,171,302,108
932,"Morgan Freeman",2010-02-07,226,310,73
932,"Morgan Freeman",2010-02-08,249,340,110
932,"Morgan Freeman",2010-02-09,204,392,79
932,"Morgan Freeman",2010-02-10,185,334,87
932,"Morgan Freeman",2010-02-11,206,338,82
932,"Morgan Freeman",2010-02-12,215,263,88
932,"Morgan Freeman",2010-02-13,152,194,67
932,"Morgan Freeman",2010-02-14,139,180,60
932,"Morgan Freeman",2010-02-15,226,263,98
932,"Morgan Freeman",2010-02-16,160,250,99
932,"Morgan Freeman",2010-02-17,216,317,109
932,"Morgan Freeman",2010-02-18,163,312,119
932,"Morgan Freeman",2010-02-19,191,327,144
932,"Morgan Freeman",2010-02-20,143,217,82
932,"Morgan Freeman",2010-02-21,206,247,83
932,"Morgan Freeman",2010-02-22,171,344,86
932,"Morgan Freeman",2010-02-23,163,320,90
932,"Morgan Freeman",2010-02-24,166,473,70
932,"Morgan Freeman",2010-02-25,122,252,71
932,"Morgan Freeman",2010-02-26,208,372,108
932,"Morgan Freeman",2010-02-27,135,223,77
932,"Morgan Freeman",2010-02-28,172,216,61
932,"Morgan Freeman",2010-03-01,169,261,78
932,"Morgan Freeman",2010-03-02,171,304,74
932,"Morgan Freeman",2010-03-03,196,277,95
932,"Morgan Freeman",2010-03-04,247,348,93
932,"Morgan Freeman",2010-03-05,302,369,128
932,"Morgan Freeman",2010-03-06,349,541,148
932,"Morgan Freeman",2010-03-07,1302,1891,658
932,"Morgan Freeman",2010-03-08,729,910,284
932,"Morgan Freeman",2010-03-09,167,242,89
932,"Morgan Freeman",2010-03-10,115,186,85
932,"Morgan Freeman",2010-03-11,140,232,84
932,"Morgan Freeman",2010-03-12,81,137,45
932,"Morgan Freeman",2010-03-13,65,101,38
932,"Morgan Freeman",2010-03-14,63,150,56
932,"Morgan Freeman",2010-03-15,81,138,53
932,"Morgan Freeman",2010-03-16,83,124,43
932,"Morgan Freeman",2010-03-17,115,128,43
932,"Morgan Freeman",2010-03-18,88,128,37
932,"Morgan Freeman",2010-03-19,83,114,48
932,"Morgan Freeman",2010-03-20,89,136,50
932,"Morgan Freeman",2010-03-21,72,118,64
932,"Morgan Freeman",2010-03-22,88,122,46
932,"Morgan Freeman",2010-03-23,91,142,48
932,"Morgan Freeman",2010-03-24,88,139,40
932,"Morgan Freeman",2010-03-25,95,118,43
932,"Morgan Freeman",2010-03-26,64,142,40
932,"Morgan Freeman",2010-03-27,65,113,30
932,"Morgan Freeman",2010-03-28,98,111,52
932,"Morgan Freeman",2010-03-29,104,117,54
932,"Morgan Freeman",2010-03-30,89,119,39
932,"Morgan Freeman",2010-03-31,84,118,32
932,"Morgan Freeman",2010-04-01,103,163,75
932,"Morgan Freeman",2010-04-02,95,139,54
932,"Morgan Freeman",2010-04-03,90,130,41
932,"Morgan Freeman",2010-04-04,106,118,33
932,"Morgan Freeman",2010-04-05,113,153,74
932,"Morgan Freeman",2010-04-06,86,152,48
932,"Morgan Freeman",2010-04-07,85,142,80
932,"Morgan Freeman",2010-04-08,107,203,58
932,"Morgan Freeman",2010-04-09,96,126,44
932,"Morgan Freeman",2010-04-10,85,95,42
932,"Morgan Freeman",2010-04-11,60,114,39
932,"Morgan Freeman",2010-04-12,74,104,60
932,"Morgan Freeman",2010-04-13,88,139,46
932,"Morgan Freeman",2010-04-14,84,133,53
932,"Morgan Freeman",2010-04-15,67,111,36
932,"Morgan Freeman",2010-04-16,75,99,43
932,"Morgan Freeman",2010-04-17,86,158,48
932,"Morgan Freeman",2010-04-18,99,174,60
932,"Morgan Freeman",2010-04-19,103,175,58
932,"Morgan Freeman",2010-04-20,84,172,49
932,"Morgan Freeman",2010-04-21,201,290,108
932,"Morgan Freeman",2010-04-22,128,397,81
932,"Morgan Freeman",2010-04-23,120,191,77
932,"Morgan Freeman",2010-04-24,55,135,85
932,"Morgan Freeman",2010-04-25,63,126,40
932,"Morgan Freeman",2010-04-26,110,182,53
932,"Morgan Freeman",2010-04-27,77,119,43
932,"Morgan Freeman",2010-04-28,90,120,63
932,"Morgan Freeman",2010-04-29,111,182,59
932,"Morgan Freeman",2010-04-30,88,171,57
932,"Morgan Freeman",2010-05-01,114,171,83
932,"Morgan Freeman",2010-05-02,81,173,51
932,"Morgan Freeman",2010-05-03,74,205,52
932,"Morgan Freeman",2010-05-04,105,179,72
932,"Morgan Freeman",2010-05-05,65,112,60
932,"Morgan Freeman",2010-05-06,63,115,46
932,"Morgan Freeman",2010-05-07,65,147,57
932,"Morgan Freeman",2010-05-08,51,121,47
932,"Morgan Freeman",2010-05-09,50,91,37
932,"Morgan Freeman",2010-05-10,62,117,70
932,"Morgan Freeman",2010-05-11,55,127,64
932,"Morgan Freeman",2010-05-12,55,144,80
932,"Morgan Freeman",2010-05-13,59,117,77
932,"Morgan Freeman",2010-05-14,56,131,49
932,"Morgan Freeman",2010-05-15,66,112,37
932,"Morgan Freeman",2010-05-16,60,129,51
932,"Morgan Freeman",2010-05-17,92,156,64
932,"Morgan Freeman",2010-05-18,89,196,59
932,"Morgan Freeman",2010-05-19,103,142,38
932,"Morgan Freeman",2010-05-20,110,142,60
932,"Morgan Freeman",2010-05-21,96,142,51
932,"Morgan Freeman",2010-05-22,73,95,57
932,"Morgan Freeman",2010-05-23,67,134,54
932,"Morgan Freeman",2010-05-24,66,166,53
932,"Morgan Freeman",2010-05-25,84,135,44
932,"Morgan Freeman",2010-05-26,63,126,65
932,"Morgan Freeman",2010-05-27,98,158,64
932,"Morgan Freeman",2010-05-28,96,122,100
932,"Morgan Freeman",2010-05-29,89,111,46
932,"Morgan Freeman",2010-05-30,80,143,52
932,"Morgan Freeman",2010-05-31,114,192,57
932,"Morgan Freeman",2010-06-01,185,293,77
932,"Morgan Freeman",2010-06-02,195,364,103
932,"Morgan Freeman",2010-06-03,180,393,130
932,"Morgan Freeman",2010-06-04,121,239,86
932,"Morgan Freeman",2010-06-05,164,170,63
932,"Morgan Freeman",2010-06-06,152,240,67
932,"Morgan Freeman",2010-06-07,154,337,88
932,"Morgan Freeman",2010-06-08,111,371,87
932,"Morgan Freeman",2010-06-09,214,358,113
932,"Morgan Freeman",2010-06-10,192,339,121
932,"Morgan Freeman",2010-06-11,148,277,90
932,"Morgan Freeman",2010-06-12,91,217,70
932,"Morgan Freeman",2010-06-13,122,181,66
932,"Morgan Freeman",2010-06-14,113,223,66
932,"Morgan Freeman",2010-06-15,118,190,68
932,"Morgan Freeman",2010-06-16,149,241,85
932,"Morgan Freeman",2010-06-17,152,236,73
932,"Morgan Freeman",2010-06-18,145,201,75
932,"Morgan Freeman",2010-06-19,107,249,84
932,"Morgan Freeman",2010-06-20,138,236,97
932,"Morgan Freeman",2010-06-21,196,390,95
932,"Morgan Freeman",2010-06-22,116,254,94
932,"Morgan Freeman",2010-06-23,162,278,97
932,"Morgan Freeman",2010-06-24,242,495,161
932,"Morgan Freeman",2010-06-25,136,288,101
932,"Morgan Freeman",2010-06-26,117,207,77
932,"Morgan Freeman",2010-06-27,119,163,59
932,"Morgan Freeman",2010-06-28,124,283,95
932,"Morgan Freeman",2010-06-29,120,317,80
932,"Morgan Freeman",2010-06-30,199,338,105
932,"Morgan Freeman",2010-07-01,224,448,126
932,"Morgan Freeman",2010-07-02,188,256,81
932,"Morgan Freeman",2010-07-03,178,212,81
932,"Morgan Freeman",2010-07-04,158,231,76
932,"Morgan Freeman",2010-07-05,203,328,91
932,"Morgan Freeman",2010-07-06,160,267,85
932,"Morgan Freeman",2010-07-07,190,281,86
932,"Morgan Freeman",2010-07-08,218,404,129
932,"Morgan Freeman",2010-07-09,178,358,69
932,"Morgan Freeman",2010-07-10,179,341,93
932,"Morgan Freeman",2010-07-11,1478,7588,1088
932,"Morgan Freeman",2010-07-12,252,532,167
932,"Morgan Freeman",2010-07-13,248,515,158
932,"Morgan Freeman",2010-07-14,288,500,162
932,"Morgan Freeman",2010-07-15,266,602,147
932,"Morgan Freeman",2010-07-16,203,468,135
932,"Morgan Freeman",2010-07-17,162,337,72
932,"Morgan Freeman",2010-07-18,275,477,145
932,"Morgan Freeman",2010-07-19,219,453,99
932,"Morgan Freeman",2010-07-20,187,396,108
932,"Morgan Freeman",2010-07-21,241,423,133
932,"Morgan Freeman",2010-07-22,233,578,147
932,"Morgan Freeman",2010-07-23,220,778,161
