"celebrityid","fullname","Analysis Date","Basic Positive","Basic Neutral","Basic Negative"
987,"Tom Hanks",2010-01-01,71,130,51
987,"Tom Hanks",2010-01-02,73,160,51
987,"Tom Hanks",2010-01-03,96,177,130
987,"Tom Hanks",2010-01-04,114,216,157
987,"Tom Hanks",2010-01-05,81,158,71
987,"Tom Hanks",2010-01-06,61,329,80
987,"Tom Hanks",2010-01-07,85,224,84
987,"Tom Hanks",2010-01-08,67,221,66
987,"Tom Hanks",2010-01-09,88,159,51
987,"Tom Hanks",2010-01-10,110,192,65
987,"Tom Hanks",2010-01-11,220,550,91
987,"Tom Hanks",2010-01-12,200,754,145
987,"Tom Hanks",2010-01-13,252,724,92
987,"Tom Hanks",2010-01-14,177,518,102
987,"Tom Hanks",2010-01-15,157,336,96
987,"Tom Hanks",2010-01-16,83,198,45
987,"Tom Hanks",2010-01-17,438,619,138
987,"Tom Hanks",2010-01-18,116,415,107
987,"Tom Hanks",2010-01-19,97,283,71
987,"Tom Hanks",2010-01-20,163,480,64
987,"Tom Hanks",2010-01-21,180,1114,93
987,"Tom Hanks",2010-01-22,244,964,133
987,"Tom Hanks",2010-01-23,453,1004,180
987,"Tom Hanks",2010-01-24,147,310,66
987,"Tom Hanks",2010-01-25,125,405,90
987,"Tom Hanks",2010-01-26,114,329,64
987,"Tom Hanks",2010-01-27,138,314,71
987,"Tom Hanks",2010-01-28,150,252,60
987,"Tom Hanks",2010-01-29,81,228,42
987,"Tom Hanks",2010-01-30,76,142,40
987,"Tom Hanks",2010-01-31,63,161,52
987,"Tom Hanks",2010-02-01,52,174,34
987,"Tom Hanks",2010-02-02,105,347,54
987,"Tom Hanks",2010-02-03,73,232,59
987,"Tom Hanks",2010-02-04,111,325,107
987,"Tom Hanks",2010-02-05,142,354,76
987,"Tom Hanks",2010-02-06,74,297,50
987,"Tom Hanks",2010-02-07,65,205,62
987,"Tom Hanks",2010-02-08,86,267,57
987,"Tom Hanks",2010-02-09,99,320,72
987,"Tom Hanks",2010-02-10,145,565,151
987,"Tom Hanks",2010-02-11,112,420,104
987,"Tom Hanks",2010-02-12,96,268,81
987,"Tom Hanks",2010-02-13,76,170,55
987,"Tom Hanks",2010-02-14,65,186,56
987,"Tom Hanks",2010-02-15,73,198,55
987,"Tom Hanks",2010-02-16,85,193,33
987,"Tom Hanks",2010-02-17,65,192,61
987,"Tom Hanks",2010-02-18,87,188,55
